	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2715	Tennessee	US	03/22/2020	36.4552395	-81.84886538	0	0	0	Johnson
1447	Tennessee	US	03/23/2020	36.45523950000001	-81.84886538	0	0	0	Johnson
1447	Tennessee	US	03/24/2020	36.45523950000001	-81.84886538	0	0	0	Johnson
1447	Tennessee	US	03/25/2020	36.45523950000001	-81.84886538	0	0	0	Johnson
1446	Tennessee	US	03/26/2020	36.45523950000001	-81.84886538	0	0	0	Johnson
1446	Tennessee	US	03/27/2020	36.45523950000001	-81.84886538	0	0	0	Johnson
1446	Tennessee	US	03/28/2020	36.4552395	-81.84886538	0	0	0	Johnson
1446	Tennessee	US	03/29/2020	36.4552395	-81.84886538	2	0	0	Johnson
1446	Tennessee	US	03/30/2020	36.4552395	-81.84886538	2	0	0	Johnson
974	Tennessee	US	03/31/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1001	Tennessee	US	04/01/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1039	Tennessee	US	04/02/2020	36.4552395	-81.84886538	2	0	0	Johnson
1058	Tennessee	US	04/03/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1084	Tennessee	US	04/04/2020	36.4552395	-81.84886538	2	0	0	Johnson
1124	Tennessee	US	04/05/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1139	Tennessee	US	04/06/2020	36.4552395	-81.84886538	2	0	0	Johnson
1163	Tennessee	US	04/07/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1177	Tennessee	US	04/08/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1190	Tennessee	US	04/09/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1197	Tennessee	US	04/10/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1210	Tennessee	US	04/11/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1218	Tennessee	US	04/12/2020	36.4552395	-81.84886538	2	0	0	Johnson
1228	Tennessee	US	04/13/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1233	Tennessee	US	04/14/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1239	Tennessee	US	04/15/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1242	Tennessee	US	04/16/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1242	Tennessee	US	04/17/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1247	Tennessee	US	04/18/2020	36.4552395	-81.84886538	2	0	0	Johnson
1257	Tennessee	US	04/19/2020	36.4552395	-81.84886538	2	0	0	Johnson
1261	Tennessee	US	04/20/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1267	Tennessee	US	04/21/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1271	Tennessee	US	04/22/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1280	Tennessee	US	04/23/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1282	Tennessee	US	04/24/2020	36.45523950000001	-81.84886538	2	0	0	Johnson
1283	Tennessee	US	04/25/2020	36.45523950000001	-81.84886538	3	0	0	Johnson
1289	Tennessee	US	04/26/2020	36.45523950000001	-81.84886538	4	0	0	Johnson
1291	Tennessee	US	04/27/2020	36.45523950000001	-81.84886538	4	0	0	Johnson
1296	Tennessee	US	04/28/2020	36.45523950000001	-81.84886538	4	0	0	Johnson
1298	Tennessee	US	04/29/2020	36.45523950000001	-81.84886538	4	0	0	Johnson
1304	Tennessee	US	04/30/2020	36.45523950000001	-81.84886538	4	0	0	Johnson
1310	Tennessee	US	05/01/2020	36.45523950000001	-81.84886538	4	0	0	Johnson
1313	Tennessee	US	05/02/2020	36.45523950000001	-81.84886538	4	0	0	Johnson
1315	Tennessee	US	05/03/2020	36.45523950000001	-81.84886538	6	0	0	Johnson
1317	Tennessee	US	05/04/2020	36.45523950000001	-81.84886538	6	0	0	Johnson
1322	Tennessee	US	05/05/2020	36.45523950000001	-81.84886538	6	0	0	Johnson
1325	Tennessee	US	05/06/2020	36.45523950000001	-81.84886538	6	0	0	Johnson
1328	Tennessee	US	05/07/2020	36.45523950000001	-81.84886538	6	0	0	Johnson
1332	Tennessee	US	05/08/2020	36.45523950000001	-81.84886538	6	0	0	Johnson
1332	Tennessee	US	05/09/2020	36.45523950000001	-81.84886538	6	0	0	Johnson
1333	Tennessee	US	05/10/2020	36.45523950000001	-81.84886538	6	0	0	Johnson
1333	Tennessee	US	05/11/2020	36.45523950000001	-81.84886538	6	0	0	Johnson
1335	Tennessee	US	05/12/2020	36.45523950000001	-81.84886538	16	0	0	Johnson
1335	Tennessee	US	05/13/2020	36.45523950000001	-81.84886538	16	0	0	Johnson
1336	Tennessee	US	05/14/2020	36.45523950000001	-81.84886538	16	0	0	Johnson
1340	Tennessee	US	05/15/2020	36.45523950000001	-81.84886538	16	0	0	Johnson
1341	Tennessee	US	05/16/2020	36.45523950000001	-81.84886538	16	0	0	Johnson
1342	Tennessee	US	05/17/2020	36.45523950000001	-81.84886538	16	0	0	Johnson
1343	Tennessee	US	05/18/2020	36.45523950000001	-81.84886538	16	0	0	Johnson
1345	Tennessee	US	05/19/2020	36.45523950000001	-81.84886538	16	0	0	Johnson
1348	Tennessee	US	05/20/2020	36.45523950000001	-81.84886538	16	0	0	Johnson
1348	Tennessee	US	05/21/2020	36.45523950000001	-81.84886538	16	0	0	Johnson
1353	Tennessee	US	05/22/2020	36.45523950000001	-81.84886538	16	0	0	Johnson
1354	Tennessee	US	05/23/2020	36.45523950000001	-81.84886538	16	0	0	Johnson
1357	Tennessee	US	05/24/2020	36.45523950000001	-81.84886538	16	0	0	Johnson
1357	Tennessee	US	05/25/2020	36.45523950000001	-81.84886538	16	0	0	Johnson
1358	Tennessee	US	05/26/2020	36.45523950000001	-81.84886538	16	0	0	Johnson
1359	Tennessee	US	05/27/2020	36.45523950000001	-81.84886538	17	0	0	Johnson
1359	Tennessee	US	05/28/2020	36.45523950000001	-81.84886538	17	0	0	Johnson
1362	Tennessee	US	05/29/2020	36.45523950000001	-81.84886538	17	0	0	Johnson
1363	Tennessee	US	05/30/2020	36.45523950000001	-81.84886538	17	0	0	Johnson
1364	Tennessee	US	05/31/2020	36.45523950000001	-81.84886538	17	0	0	Johnson
1366	Tennessee	US	06/01/2020	36.45523950000001	-81.84886538	17	0	0	Johnson
1370	Tennessee	US	06/02/2020	36.45523950000001	-81.84886538	19	0	0	Johnson
1371	Tennessee	US	06/03/2020	36.45523950000001	-81.84886538	19	0	0	Johnson
1372	Tennessee	US	06/04/2020	36.45523950000001	-81.84886538	19	0	0	Johnson
1374	Tennessee	US	06/05/2020	36.45523950000001	-81.84886538	21	0	0	Johnson
1374	Tennessee	US	06/06/2020	36.45523950000001	-81.84886538	22	0	0	Johnson
1374	Tennessee	US	06/07/2020	36.45523950000001	-81.84886538	22	0	0	Johnson
1374	Tennessee	US	06/08/2020	36.45523950000001	-81.84886538	23	0	0	Johnson
1375	Tennessee	US	06/09/2020	36.45523950000001	-81.84886538	24	0	0	Johnson
1376	Tennessee	US	06/10/2020	36.45523950000001	-81.84886538	25	0	0	Johnson
1377	Tennessee	US	06/11/2020	36.45523950000001	-81.84886538	25	0	0	Johnson
1384	Tennessee	US	06/12/2020	36.45523950000001	-81.84886538	25	0	0	Johnson
1385	Tennessee	US	06/13/2020	36.45523950000001	-81.84886538	25	0	0	Johnson
1385	Tennessee	US	06/14/2020	36.45523950000001	-81.84886538	26	0	0	Johnson
1387	Tennessee	US	06/15/2020	36.45523950000001	-81.84886538	26	0	0	Johnson
1386	Tennessee	US	06/16/2020	36.45523950000001	-81.84886538	26	0	0	Johnson
1388	Tennessee	US	06/17/2020	36.45523950000001	-81.84886538	27	0	0	Johnson
1388	Tennessee	US	06/18/2020	36.45523950000001	-81.84886538	27	0	0	Johnson
1388	Tennessee	US	06/19/2020	36.45523950000001	-81.84886538	27	0	0	Johnson
1392	Tennessee	US	06/20/2020	36.45523950000001	-81.84886538	27	0	0	Johnson
1392	Tennessee	US	06/21/2020	36.45523950000001	-81.84886538	27	0	0	Johnson
1393	Tennessee	US	06/22/2020	36.45523950000001	-81.84886538	27	0	0	Johnson
1394	Tennessee	US	06/23/2020	36.45523950000001	-81.84886538	27	0	0	Johnson
1400	Tennessee	US	06/24/2020	36.45523950000001	-81.84886538	29	0	0	Johnson
1405	Tennessee	US	06/25/2020	36.45523950000001	-81.84886538	29	0	0	Johnson
1406	Tennessee	US	06/26/2020	36.45523950000001	-81.84886538	35	0	0	Johnson
1407	Tennessee	US	06/27/2020	36.45523950000001	-81.84886538	35	0	0	Johnson
1407	Tennessee	US	06/28/2020	36.45523950000001	-81.84886538	36	0	0	Johnson
1407	Tennessee	US	06/29/2020	36.45523950000001	-81.84886538	37	0	0	Johnson
1408	Tennessee	US	06/30/2020	36.45523950000001	-81.84886538	38	0	0	Johnson
1408	Tennessee	US	07/01/2020	36.45523950000001	-81.84886538	39	0	0	Johnson
1410	Tennessee	US	07/02/2020	36.45523950000001	-81.84886538	40	0	0	Johnson
1411	Tennessee	US	07/03/2020	36.45523950000001	-81.84886538	45	0	0	Johnson
1411	Tennessee	US	07/04/2020	36.45523950000001	-81.84886538	45	0	0	Johnson
1411	Tennessee	US	07/05/2020	36.45523950000001	-81.84886538	45	0	0	Johnson
1413	Tennessee	US	07/06/2020	36.45523950000001	-81.84886538	45	0	0	Johnson
1413	Tennessee	US	07/07/2020	36.45523950000001	-81.84886538	45	0	0	Johnson
1414	Tennessee	US	07/08/2020	36.45523950000001	-81.84886538	45	0	0	Johnson
1414	Tennessee	US	07/09/2020	36.45523950000001	-81.84886538	46	0	0	Johnson
1416	Tennessee	US	07/10/2020	36.45523950000001	-81.84886538	46	0	0	Johnson
1416	Tennessee	US	07/11/2020	36.45523950000001	-81.84886538	47	0	0	Johnson
1418	Tennessee	US	07/12/2020	36.45523950000001	-81.84886538	48	0	0	Johnson
1420	Tennessee	US	07/13/2020	36.45523950000001	-81.84886538	49	0	0	Johnson
1421	Tennessee	US	07/14/2020	36.45523950000001	-81.84886538	49	0	0	Johnson
1421	Tennessee	US	07/15/2020	36.45523950000001	-81.84886538	52	0	0	Johnson
1423	Tennessee	US	07/16/2020	36.45523950000001	-81.84886538	52	0	0	Johnson
1423	Tennessee	US	07/17/2020	36.45523950000001	-81.84886538	52	0	0	Johnson
1461	Tennessee	US	07/18/2020	36.45523950000001	-81.84886538	54	0	0	Johnson
1462	Tennessee	US	07/19/2020	36.45523950000001	-81.84886538	55	0	0	Johnson
1431	Tennessee	US	07/20/2020	36.45523950000001	-81.84886538	55	0	0	Johnson
1465	Tennessee	US	07/21/2020	36.45523950000001	-81.84886538	55	0	0	Johnson
1465	Tennessee	US	07/22/2020	36.45523950000001	-81.84886538	56	0	0	Johnson
