	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
491	Tennessee	US	03/22/2020	35.99508821	-83.94635435	5	0	0	Knox
1534	Tennessee	US	03/23/2020	35.99508821	-83.94635435	12	0	0	Knox
1534	Tennessee	US	03/24/2020	35.99508821	-83.94635435	15	0	0	Knox
1534	Tennessee	US	03/25/2020	35.99508821	-83.94635435	20	0	0	Knox
1533	Tennessee	US	03/26/2020	35.99508821	-83.94635435	26	0	0	Knox
1533	Tennessee	US	03/27/2020	35.99508821	-83.94635435	31	0	0	Knox
1533	Tennessee	US	03/28/2020	35.99508821	-83.94635435	33	0	0	Knox
1533	Tennessee	US	03/29/2020	35.99508821	-83.94635435	38	0	0	Knox
1533	Tennessee	US	03/30/2020	35.99508821	-83.94635435	57	1	0	Knox
1030	Tennessee	US	03/31/2020	35.99508821	-83.94635435	66	1	0	Knox
1058	Tennessee	US	04/01/2020	35.99508821	-83.94635435	86	0	0	Knox
1099	Tennessee	US	04/02/2020	35.99508821	-83.94635435	93	1	0	Knox
1117	Tennessee	US	04/03/2020	35.99508821	-83.94635435	97	1	0	Knox
1143	Tennessee	US	04/04/2020	35.99508821	-83.94635435	112	1	0	Knox
1184	Tennessee	US	04/05/2020	35.99508821	-83.94635435	116	1	0	Knox
1200	Tennessee	US	04/06/2020	35.99508821	-83.94635435	124	3	0	Knox
1225	Tennessee	US	04/07/2020	35.99508821	-83.94635435	144	3	0	Knox
1240	Tennessee	US	04/08/2020	35.99508821	-83.94635435	152	3	0	Knox
1253	Tennessee	US	04/09/2020	35.99508821	-83.94635435	153	3	0	Knox
1260	Tennessee	US	04/10/2020	35.99508821	-83.94635435	157	3	0	Knox
1273	Tennessee	US	04/11/2020	35.99508821	-83.94635435	162	4	0	Knox
1284	Tennessee	US	04/12/2020	35.99508821	-83.94635435	167	4	0	Knox
1294	Tennessee	US	04/13/2020	35.99508821	-83.94635435	171	4	0	Knox
1300	Tennessee	US	04/14/2020	35.99508821	-83.94635435	175	4	0	Knox
1306	Tennessee	US	04/15/2020	35.99508821	-83.94635435	184	4	0	Knox
1309	Tennessee	US	04/16/2020	35.99508821	-83.94635435	191	4	0	Knox
1308	Tennessee	US	04/17/2020	35.99508821	-83.94635435	193	4	0	Knox
1314	Tennessee	US	04/18/2020	35.99508821	-83.94635435	193	4	0	Knox
