	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2720	Tennessee	US	03/22/2020	35.13738622	-86.58910106	0	0	0	Lincoln
1683	Tennessee	US	03/23/2020	35.13738622	-86.58910106	1	0	0	Lincoln
1683	Tennessee	US	03/24/2020	35.13738622	-86.58910106	1	0	0	Lincoln
1683	Tennessee	US	03/25/2020	35.13738622	-86.58910106	1	0	0	Lincoln
1682	Tennessee	US	03/26/2020	35.13738622	-86.58910106	1	0	0	Lincoln
1682	Tennessee	US	03/27/2020	35.13738622	-86.58910106	1	0	0	Lincoln
1682	Tennessee	US	03/28/2020	35.13738622	-86.58910106	1	0	0	Lincoln
1682	Tennessee	US	03/29/2020	35.13738622	-86.58910106	1	0	0	Lincoln
1682	Tennessee	US	03/30/2020	35.13738622	-86.58910106	1	0	0	Lincoln
1132	Tennessee	US	03/31/2020	35.13738622	-86.58910106	1	0	0	Lincoln
1163	Tennessee	US	04/01/2020	35.13738622	-86.58910106	2	0	0	Lincoln
1209	Tennessee	US	04/02/2020	35.13738622	-86.58910106	4	0	0	Lincoln
1230	Tennessee	US	04/03/2020	35.13738622	-86.58910106	5	0	0	Lincoln
1260	Tennessee	US	04/04/2020	35.13738622	-86.58910106	5	0	0	Lincoln
1302	Tennessee	US	04/05/2020	35.13738622	-86.58910106	5	0	0	Lincoln
1321	Tennessee	US	04/06/2020	35.13738622	-86.58910106	6	0	0	Lincoln
1350	Tennessee	US	04/07/2020	35.13738622	-86.58910106	7	0	0	Lincoln
1365	Tennessee	US	04/08/2020	35.13738622	-86.58910106	7	0	0	Lincoln
1381	Tennessee	US	04/09/2020	35.13738622	-86.58910106	8	0	0	Lincoln
1388	Tennessee	US	04/10/2020	35.13738622	-86.58910106	8	0	0	Lincoln
1403	Tennessee	US	04/11/2020	35.13738622	-86.58910106	8	0	0	Lincoln
1415	Tennessee	US	04/12/2020	35.13738622	-86.58910106	8	0	0	Lincoln
1425	Tennessee	US	04/13/2020	35.13738622	-86.58910106	9	0	0	Lincoln
1431	Tennessee	US	04/14/2020	35.13738622	-86.58910106	9	0	0	Lincoln
1437	Tennessee	US	04/15/2020	35.13738622	-86.58910106	9	0	0	Lincoln
1442	Tennessee	US	04/16/2020	35.13738622	-86.58910106	9	0	0	Lincoln
1441	Tennessee	US	04/17/2020	35.13738622	-86.58910106	9	0	0	Lincoln
1447	Tennessee	US	04/18/2020	35.13738622	-86.58910106	10	0	0	Lincoln
1457	Tennessee	US	04/19/2020	35.13738622	-86.58910106	10	0	0	Lincoln
1461	Tennessee	US	04/20/2020	35.13738622	-86.58910106	11	0	0	Lincoln
1468	Tennessee	US	04/21/2020	35.13738622	-86.58910106	11	0	0	Lincoln
1473	Tennessee	US	04/22/2020	35.13738622	-86.58910106	11	0	0	Lincoln
1483	Tennessee	US	04/23/2020	35.13738622	-86.58910106	11	0	0	Lincoln
1485	Tennessee	US	04/24/2020	35.13738622	-86.58910106	12	0	0	Lincoln
1487	Tennessee	US	04/25/2020	35.13738622	-86.58910106	12	0	0	Lincoln
