	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2723	Tennessee	US	03/22/2020	35.45798777	-86.76420988	0	0	0	Marshall
1823	Tennessee	US	03/23/2020	35.45798777	-86.76420988	0	0	0	Marshall
1823	Tennessee	US	03/24/2020	35.45798777	-86.76420988	0	0	0	Marshall
1823	Tennessee	US	03/25/2020	35.45798777	-86.76420988	0	0	0	Marshall
1822	Tennessee	US	03/26/2020	35.45798777	-86.76420988	0	0	0	Marshall
1822	Tennessee	US	03/27/2020	35.45798777	-86.76420988	0	0	0	Marshall
1822	Tennessee	US	03/28/2020	35.45798777	-86.76420988	0	0	0	Marshall
1822	Tennessee	US	03/29/2020	35.45798777	-86.76420988	0	0	0	Marshall
1822	Tennessee	US	03/30/2020	35.45798777	-86.76420988	0	0	0	Marshall
1229	Tennessee	US	03/31/2020	35.45798777	-86.76420988	1	0	0	Marshall
1262	Tennessee	US	04/01/2020	35.45798777	-86.76420988	2	0	0	Marshall
1312	Tennessee	US	04/02/2020	35.45798777	-86.76420988	2	0	0	Marshall
1340	Tennessee	US	04/03/2020	35.45798777	-86.76420988	3	0	0	Marshall
1371	Tennessee	US	04/04/2020	35.45798777	-86.76420988	3	0	0	Marshall
1416	Tennessee	US	04/05/2020	35.45798777	-86.76420988	6	0	0	Marshall
1438	Tennessee	US	04/06/2020	35.45798777	-86.76420988	8	0	0	Marshall
1469	Tennessee	US	04/07/2020	35.45798777	-86.76420988	8	0	0	Marshall
1484	Tennessee	US	04/08/2020	35.45798777	-86.76420988	8	1	0	Marshall
1502	Tennessee	US	04/09/2020	35.45798777	-86.76420988	8	1	0	Marshall
1509	Tennessee	US	04/10/2020	35.45798777	-86.76420988	8	1	0	Marshall
1526	Tennessee	US	04/11/2020	35.45798777	-86.76420988	8	1	0	Marshall
1538	Tennessee	US	04/12/2020	35.45798777	-86.76420988	8	1	0	Marshall
1548	Tennessee	US	04/13/2020	35.45798777	-86.76420988	8	1	0	Marshall
1554	Tennessee	US	04/14/2020	35.45798777	-86.76420988	9	1	0	Marshall
1562	Tennessee	US	04/15/2020	35.45798777	-86.76420988	12	1	0	Marshall
1568	Tennessee	US	04/16/2020	35.45798777	-86.76420988	12	1	0	Marshall
