	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
516	Tennessee	US	03/22/2020	35.42812616	-84.61520715	1	0	0	McMinn
1872	Tennessee	US	03/23/2020	35.42812616	-84.61520715	2	0	0	McMinn
1872	Tennessee	US	03/24/2020	35.42812616	-84.61520715	2	0	0	McMinn
1872	Tennessee	US	03/25/2020	35.42812616	-84.61520715	2	0	0	McMinn
1871	Tennessee	US	03/26/2020	35.42812616	-84.61520715	3	0	0	McMinn
1871	Tennessee	US	03/27/2020	35.42812616	-84.61520715	3	0	0	McMinn
1871	Tennessee	US	03/28/2020	35.42812616	-84.61520715	3	0	0	McMinn
1871	Tennessee	US	03/29/2020	35.42812616	-84.61520715	3	0	0	McMinn
1871	Tennessee	US	03/30/2020	35.42812616	-84.61520715	3	0	0	McMinn
1263	Tennessee	US	03/31/2020	35.42812616	-84.61520715	3	0	0	McMinn
1297	Tennessee	US	04/01/2020	35.42812616	-84.61520715	3	0	0	McMinn
1349	Tennessee	US	04/02/2020	35.42812616	-84.61520715	3	0	0	McMinn
1378	Tennessee	US	04/03/2020	35.42812616	-84.61520715	3	0	0	McMinn
1413	Tennessee	US	04/04/2020	35.42812616	-84.61520715	3	0	0	McMinn
1460	Tennessee	US	04/05/2020	35.42812616	-84.61520715	3	0	0	McMinn
1482	Tennessee	US	04/06/2020	35.42812616	-84.61520715	3	0	0	McMinn
1516	Tennessee	US	04/07/2020	35.42812616	-84.61520715	3	0	0	McMinn
1531	Tennessee	US	04/08/2020	35.42812616	-84.61520715	3	0	0	McMinn
1549	Tennessee	US	04/09/2020	35.42812616	-84.61520715	4	0	0	McMinn
1556	Tennessee	US	04/10/2020	35.42812616	-84.61520715	4	0	0	McMinn
1574	Tennessee	US	04/11/2020	35.42812616	-84.61520715	4	0	0	McMinn
1586	Tennessee	US	04/12/2020	35.42812616	-84.61520715	4	0	0	McMinn
1596	Tennessee	US	04/13/2020	35.42812616	-84.61520715	5	0	0	McMinn
1602	Tennessee	US	04/14/2020	35.42812616	-84.61520715	5	0	0	McMinn
1610	Tennessee	US	04/15/2020	35.42812616	-84.61520715	5	0	0	McMinn
1616	Tennessee	US	04/16/2020	35.42812616	-84.61520715	6	0	0	McMinn
1615	Tennessee	US	04/17/2020	35.42812616	-84.61520715	6	0	0	McMinn
1621	Tennessee	US	04/18/2020	35.42812616	-84.61520715	6	0	0	McMinn
1629	Tennessee	US	04/19/2020	35.42812616	-84.61520715	6	0	0	McMinn
1636	Tennessee	US	04/20/2020	35.42812616	-84.61520715	6	0	0	McMinn
1644	Tennessee	US	04/21/2020	35.42812616	-84.61520715	6	0	0	McMinn
1649	Tennessee	US	04/22/2020	35.42812616	-84.61520715	7	0	0	McMinn
1659	Tennessee	US	04/23/2020	35.42812616	-84.61520715	8	0	0	McMinn
1661	Tennessee	US	04/24/2020	35.42812616	-84.61520715	11	0	0	McMinn
1664	Tennessee	US	04/25/2020	35.42812616	-84.61520715	18	0	0	McMinn
1670	Tennessee	US	04/26/2020	35.42812616	-84.61520715	22	0	0	McMinn
1672	Tennessee	US	04/27/2020	35.42812616	-84.61520715	72	0	0	McMinn
1678	Tennessee	US	04/28/2020	35.42812616	-84.61520715	77	0	0	McMinn
1681	Tennessee	US	04/29/2020	35.42812616	-84.61520715	96	1	0	McMinn
1687	Tennessee	US	04/30/2020	35.42812616	-84.61520715	97	1	0	McMinn
1695	Tennessee	US	05/01/2020	35.42812616	-84.61520715	99	1	0	McMinn
1699	Tennessee	US	05/02/2020	35.42812616	-84.61520715	102	1	0	McMinn
1701	Tennessee	US	05/03/2020	35.42812616	-84.61520715	103	1	0	McMinn
1703	Tennessee	US	05/04/2020	35.42812616	-84.61520715	112	1	0	McMinn
1709	Tennessee	US	05/05/2020	35.42812616	-84.61520715	113	2	0	McMinn
1712	Tennessee	US	05/06/2020	35.42812616	-84.61520715	114	3	0	McMinn
