	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
498	Tennessee	US	03/22/2020	35.44550387	-84.24902965	3	0	0	Monroe
1971	Tennessee	US	03/23/2020	35.44550387	-84.24902965	2	0	0	Monroe
1971	Tennessee	US	03/24/2020	35.44550387	-84.24902965	2	0	0	Monroe
1971	Tennessee	US	03/25/2020	35.44550387	-84.24902965	2	0	0	Monroe
1970	Tennessee	US	03/26/2020	35.44550387	-84.24902965	2	0	0	Monroe
1970	Tennessee	US	03/27/2020	35.44550387	-84.24902965	2	0	0	Monroe
1970	Tennessee	US	03/28/2020	35.44550387	-84.24902965	3	0	0	Monroe
1970	Tennessee	US	03/29/2020	35.44550387	-84.24902965	3	0	0	Monroe
1970	Tennessee	US	03/30/2020	35.44550387	-84.24902965	3	0	0	Monroe
1325	Tennessee	US	03/31/2020	35.44550387	-84.24902965	5	0	0	Monroe
1361	Tennessee	US	04/01/2020	35.44550387	-84.24902965	5	0	0	Monroe
1415	Tennessee	US	04/02/2020	35.44550387	-84.24902965	5	0	0	Monroe
1446	Tennessee	US	04/03/2020	35.44550387	-84.24902965	6	0	0	Monroe
1485	Tennessee	US	04/04/2020	35.44550387	-84.24902965	6	0	0	Monroe
1535	Tennessee	US	04/05/2020	35.44550387	-84.24902965	6	0	0	Monroe
1557	Tennessee	US	04/06/2020	35.44550387	-84.24902965	6	0	0	Monroe
1593	Tennessee	US	04/07/2020	35.44550387	-84.24902965	6	0	0	Monroe
1608	Tennessee	US	04/08/2020	35.44550387	-84.24902965	7	0	0	Monroe
1627	Tennessee	US	04/09/2020	35.44550387	-84.24902965	7	0	0	Monroe
1636	Tennessee	US	04/10/2020	35.44550387	-84.24902965	8	0	0	Monroe
1654	Tennessee	US	04/11/2020	35.44550387	-84.24902965	8	0	0	Monroe
1666	Tennessee	US	04/12/2020	35.44550387	-84.24902965	8	0	0	Monroe
1678	Tennessee	US	04/13/2020	35.44550387	-84.24902965	9	0	0	Monroe
1684	Tennessee	US	04/14/2020	35.44550387	-84.24902965	9	0	0	Monroe
