	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
497	Tennessee	US	03/22/2020	36.49609412	-87.38550661	3	0	0	Montgomery
1993	Tennessee	US	03/23/2020	36.49609412	-87.38550661	3	0	0	Montgomery
1993	Tennessee	US	03/24/2020	36.49609412	-87.38550661	6	0	0	Montgomery
1993	Tennessee	US	03/25/2020	36.49609412	-87.38550661	6	0	0	Montgomery
1992	Tennessee	US	03/26/2020	36.49609412	-87.38550661	6	0	0	Montgomery
1992	Tennessee	US	03/27/2020	36.49609412	-87.38550661	9	0	0	Montgomery
1992	Tennessee	US	03/28/2020	36.49609412	-87.38550661	11	0	0	Montgomery
1992	Tennessee	US	03/29/2020	36.49609412	-87.38550661	13	0	0	Montgomery
1992	Tennessee	US	03/30/2020	36.49609412	-87.38550661	13	0	0	Montgomery
1344	Tennessee	US	03/31/2020	36.49609412	-87.38550661	19	0	0	Montgomery
1380	Tennessee	US	04/01/2020	36.49609412	-87.38550661	36	0	0	Montgomery
1434	Tennessee	US	04/02/2020	36.49609412	-87.38550661	43	0	0	Montgomery
1465	Tennessee	US	04/03/2020	36.49609412	-87.38550661	46	0	0	Montgomery
1504	Tennessee	US	04/04/2020	36.49609412	-87.38550661	50	1	0	Montgomery
1554	Tennessee	US	04/05/2020	36.49609412	-87.38550661	53	1	0	Montgomery
1576	Tennessee	US	04/06/2020	36.49609412	-87.38550661	60	1	0	Montgomery
1612	Tennessee	US	04/07/2020	36.49609412	-87.38550661	69	2	0	Montgomery
1627	Tennessee	US	04/08/2020	36.49609412	-87.38550661	76	2	0	Montgomery
1646	Tennessee	US	04/09/2020	36.49609412	-87.38550661	83	2	0	Montgomery
1656	Tennessee	US	04/10/2020	36.49609412	-87.38550661	84	2	0	Montgomery
1674	Tennessee	US	04/11/2020	36.49609412	-87.38550661	94	2	0	Montgomery
1687	Tennessee	US	04/12/2020	36.49609412	-87.38550661	100	2	0	Montgomery
1699	Tennessee	US	04/13/2020	36.49609412	-87.38550661	102	2	0	Montgomery
1705	Tennessee	US	04/14/2020	36.49609412	-87.38550661	104	2	0	Montgomery
1713	Tennessee	US	04/15/2020	36.49609412	-87.38550661	106	2	0	Montgomery
1719	Tennessee	US	04/16/2020	36.49609412	-87.38550661	107	2	0	Montgomery
1720	Tennessee	US	04/17/2020	36.49609412	-87.38550661	112	2	0	Montgomery
1726	Tennessee	US	04/18/2020	36.49609412	-87.38550661	117	2	0	Montgomery
1734	Tennessee	US	04/19/2020	36.49609412	-87.38550661	121	2	0	Montgomery
1741	Tennessee	US	04/20/2020	36.49609412	-87.38550661	123	2	0	Montgomery
