	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2728	Tennessee	US	03/22/2020	36.35732446	-89.14921589	0	0	0	Obion
2111	Tennessee	US	03/23/2020	36.35732446	-89.14921589	0	0	0	Obion
2111	Tennessee	US	03/24/2020	36.35732446	-89.14921589	0	0	0	Obion
2111	Tennessee	US	03/25/2020	36.35732446	-89.14921589	0	0	0	Obion
2110	Tennessee	US	03/26/2020	36.35732446	-89.14921589	0	0	0	Obion
2110	Tennessee	US	03/27/2020	36.35732446	-89.14921589	0	0	0	Obion
2110	Tennessee	US	03/28/2020	36.35732446	-89.14921589	0	0	0	Obion
2110	Tennessee	US	03/29/2020	36.35732446	-89.14921589	1	0	0	Obion
2110	Tennessee	US	03/30/2020	36.35732446	-89.14921589	1	0	0	Obion
1427	Tennessee	US	03/31/2020	36.35732446	-89.14921589	1	0	0	Obion
1464	Tennessee	US	04/01/2020	36.35732446	-89.14921589	2	0	0	Obion
1521	Tennessee	US	04/02/2020	36.35732446	-89.14921589	2	1	0	Obion
1553	Tennessee	US	04/03/2020	36.35732446	-89.14921589	2	1	0	Obion
1591	Tennessee	US	04/04/2020	36.35732446	-89.14921589	2	1	0	Obion
1643	Tennessee	US	04/05/2020	36.35732446	-89.14921589	2	1	0	Obion
1669	Tennessee	US	04/06/2020	36.35732446	-89.14921589	3	1	0	Obion
1706	Tennessee	US	04/07/2020	36.35732446	-89.14921589	4	1	0	Obion
1721	Tennessee	US	04/08/2020	36.35732446	-89.14921589	4	1	0	Obion
1741	Tennessee	US	04/09/2020	36.35732446	-89.14921589	4	1	0	Obion
1753	Tennessee	US	04/10/2020	36.35732446	-89.14921589	7	1	0	Obion
1771	Tennessee	US	04/11/2020	36.35732446	-89.14921589	7	1	0	Obion
1784	Tennessee	US	04/12/2020	36.35732446	-89.14921589	9	1	0	Obion
1798	Tennessee	US	04/13/2020	36.35732446	-89.14921589	9	1	0	Obion
1805	Tennessee	US	04/14/2020	36.35732446	-89.14921589	9	1	0	Obion
1815	Tennessee	US	04/15/2020	36.35732446	-89.14921589	9	1	0	Obion
1823	Tennessee	US	04/16/2020	36.35732446	-89.14921589	9	1	0	Obion
1825	Tennessee	US	04/17/2020	36.35732446	-89.14921589	9	1	0	Obion
1831	Tennessee	US	04/18/2020	36.35732446	-89.14921589	9	1	0	Obion
1842	Tennessee	US	04/19/2020	36.35732446	-89.14921589	9	1	0	Obion
