	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
518	Tennessee	US	03/22/2020	35.84923189	-84.52458689	1	0	0	Roane
2441	Tennessee	US	03/23/2020	35.84923189	-84.52458689	1	0	0	Roane
2441	Tennessee	US	03/24/2020	35.84923189	-84.52458689	1	0	0	Roane
2441	Tennessee	US	03/25/2020	35.84923189	-84.52458689	1	0	0	Roane
2440	Tennessee	US	03/26/2020	35.84923189	-84.52458689	1	0	0	Roane
2440	Tennessee	US	03/27/2020	35.84923189	-84.52458689	1	0	0	Roane
2440	Tennessee	US	03/28/2020	35.84923189	-84.52458689	1	0	0	Roane
2440	Tennessee	US	03/29/2020	35.84923189	-84.52458689	2	0	0	Roane
2440	Tennessee	US	03/30/2020	35.84923189	-84.52458689	2	0	0	Roane
1638	Tennessee	US	03/31/2020	35.84923189	-84.52458689	2	0	0	Roane
1679	Tennessee	US	04/01/2020	35.84923189	-84.52458689	2	0	0	Roane
1743	Tennessee	US	04/02/2020	35.84923189	-84.52458689	3	0	0	Roane
1787	Tennessee	US	04/03/2020	35.84923189	-84.52458689	3	0	0	Roane
1831	Tennessee	US	04/04/2020	35.84923189	-84.52458689	5	0	0	Roane
1895	Tennessee	US	04/05/2020	35.84923189	-84.52458689	5	0	0	Roane
1928	Tennessee	US	04/06/2020	35.84923189	-84.52458689	5	0	0	Roane
1969	Tennessee	US	04/07/2020	35.84923189	-84.52458689	5	0	0	Roane
1987	Tennessee	US	04/08/2020	35.84923189	-84.52458689	5	0	0	Roane
2010	Tennessee	US	04/09/2020	35.84923189	-84.52458689	5	0	0	Roane
2029	Tennessee	US	04/10/2020	35.84923189	-84.52458689	5	0	0	Roane
2053	Tennessee	US	04/11/2020	35.84923189	-84.52458689	5	0	0	Roane
2068	Tennessee	US	04/12/2020	35.84923189	-84.52458689	5	0	0	Roane
2082	Tennessee	US	04/13/2020	35.84923189	-84.52458689	5	0	0	Roane
2090	Tennessee	US	04/14/2020	35.84923189	-84.52458689	5	0	0	Roane
2101	Tennessee	US	04/15/2020	35.84923189	-84.52458689	5	0	0	Roane
2111	Tennessee	US	04/16/2020	35.84923189	-84.52458689	6	0	0	Roane
2113	Tennessee	US	04/17/2020	35.84923189	-84.52458689	7	0	0	Roane
2120	Tennessee	US	04/18/2020	35.84923189	-84.52458689	8	0	0	Roane
2133	Tennessee	US	04/19/2020	35.84923189	-84.52458689	8	0	0	Roane
2140	Tennessee	US	04/20/2020	35.84923189	-84.52458689	8	0	0	Roane
2149	Tennessee	US	04/21/2020	35.84923189	-84.52458689	8	0	0	Roane
2156	Tennessee	US	04/22/2020	35.84923189	-84.52458689	8	0	0	Roane
2170	Tennessee	US	04/23/2020	35.84923189	-84.52458689	8	0	0	Roane
2175	Tennessee	US	04/24/2020	35.84923189	-84.52458689	8	0	0	Roane
2180	Tennessee	US	04/25/2020	35.84923189	-84.52458689	7	0	0	Roane
2187	Tennessee	US	04/26/2020	35.84923189	-84.52458689	7	0	0	Roane
2193	Tennessee	US	04/27/2020	35.84923189	-84.52458689	7	0	0	Roane
2201	Tennessee	US	04/28/2020	35.84923189	-84.52458689	7	0	0	Roane
2204	Tennessee	US	04/29/2020	35.84923189	-84.52458689	7	0	0	Roane
2210	Tennessee	US	04/30/2020	35.84923189	-84.52458689	7	0	0	Roane
2220	Tennessee	US	05/01/2020	35.84923189	-84.52458689	7	0	0	Roane
2224	Tennessee	US	05/02/2020	35.84923189	-84.52458689	7	0	0	Roane
2228	Tennessee	US	05/03/2020	35.84923189	-84.52458689	7	0	0	Roane
2231	Tennessee	US	05/04/2020	35.84923189	-84.52458689	8	0	0	Roane
2238	Tennessee	US	05/05/2020	35.84923189	-84.52458689	8	0	0	Roane
2243	Tennessee	US	05/06/2020	35.84923189	-84.52458689	7	0	0	Roane
2247	Tennessee	US	05/07/2020	35.84923189	-84.52458689	8	0	0	Roane
2254	Tennessee	US	05/08/2020	35.84923189	-84.52458689	8	0	0	Roane
2255	Tennessee	US	05/09/2020	35.84923189	-84.52458689	8	0	0	Roane
2257	Tennessee	US	05/10/2020	35.84923189	-84.52458689	8	0	0	Roane
2257	Tennessee	US	05/11/2020	35.84923189	-84.52458689	8	0	0	Roane
2260	Tennessee	US	05/12/2020	35.84923189	-84.52458689	8	0	0	Roane
2261	Tennessee	US	05/13/2020	35.84923189	-84.52458689	8	0	0	Roane
2262	Tennessee	US	05/14/2020	35.84923189	-84.52458689	8	0	0	Roane
2266	Tennessee	US	05/15/2020	35.84923189	-84.52458689	8	0	0	Roane
2271	Tennessee	US	05/16/2020	35.84923189	-84.52458689	8	0	0	Roane
2273	Tennessee	US	05/17/2020	35.84923189	-84.52458689	8	0	0	Roane
2275	Tennessee	US	05/18/2020	35.84923189	-84.52458689	9	0	0	Roane
2278	Tennessee	US	05/19/2020	35.84923189	-84.52458689	9	0	0	Roane
2284	Tennessee	US	05/20/2020	35.84923189	-84.52458689	9	0	0	Roane
2285	Tennessee	US	05/21/2020	35.84923189	-84.52458689	9	0	0	Roane
2289	Tennessee	US	05/22/2020	35.84923189	-84.52458689	10	0	0	Roane
2291	Tennessee	US	05/23/2020	35.84923189	-84.52458689	13	0	0	Roane
