	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
495	Tennessee	US	03/22/2020	36.52454807	-86.87346725	3	0	0	Robertson
2448	Tennessee	US	03/23/2020	36.52454807	-86.87346725	6	0	0	Robertson
2448	Tennessee	US	03/24/2020	36.52454807	-86.87346725	12	0	0	Robertson
2448	Tennessee	US	03/25/2020	36.52454807	-86.87346725	15	0	0	Robertson
2447	Tennessee	US	03/26/2020	36.52454807	-86.87346725	20	0	0	Robertson
2447	Tennessee	US	03/27/2020	36.52454807	-86.87346725	22	0	0	Robertson
2447	Tennessee	US	03/28/2020	36.52454807	-86.87346725	23	0	0	Robertson
2447	Tennessee	US	03/29/2020	36.52454807	-86.87346725	25	0	0	Robertson
2447	Tennessee	US	03/30/2020	36.52454807	-86.87346725	25	0	0	Robertson
1643	Tennessee	US	03/31/2020	36.52454807	-86.87346725	28	0	0	Robertson
1684	Tennessee	US	04/01/2020	36.52454807	-86.87346725	36	1	0	Robertson
1748	Tennessee	US	04/02/2020	36.52454807	-86.87346725	46	1	0	Robertson
1792	Tennessee	US	04/03/2020	36.52454807	-86.87346725	48	1	0	Robertson
1836	Tennessee	US	04/04/2020	36.52454807	-86.87346725	54	1	0	Robertson
1900	Tennessee	US	04/05/2020	36.52454807	-86.87346725	57	1	0	Robertson
1933	Tennessee	US	04/06/2020	36.52454807	-86.87346725	60	1	0	Robertson
1974	Tennessee	US	04/07/2020	36.52454807	-86.87346725	62	1	0	Robertson
1992	Tennessee	US	04/08/2020	36.52454807	-86.87346725	64	1	0	Robertson
2015	Tennessee	US	04/09/2020	36.52454807	-86.87346725	71	1	0	Robertson
2034	Tennessee	US	04/10/2020	36.52454807	-86.87346725	77	1	0	Robertson
2058	Tennessee	US	04/11/2020	36.52454807	-86.87346725	81	1	0	Robertson
2073	Tennessee	US	04/12/2020	36.52454807	-86.87346725	82	1	0	Robertson
2087	Tennessee	US	04/13/2020	36.52454807	-86.87346725	87	1	0	Robertson
2095	Tennessee	US	04/14/2020	36.52454807	-86.87346725	91	1	0	Robertson
2106	Tennessee	US	04/15/2020	36.52454807	-86.87346725	92	1	0	Robertson
2117	Tennessee	US	04/16/2020	36.52454807	-86.87346725	94	1	0	Robertson
2119	Tennessee	US	04/17/2020	36.52454807	-86.87346725	100	1	0	Robertson
2126	Tennessee	US	04/18/2020	36.52454807	-86.87346725	101	1	0	Robertson
2139	Tennessee	US	04/19/2020	36.52454807	-86.87346725	110	1	0	Robertson
2146	Tennessee	US	04/20/2020	36.52454807	-86.87346725	112	1	0	Robertson
