	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
489	Tennessee	US	03/22/2020	35.84591405	-86.4107263	8	0	0	Rutherford
2486	Tennessee	US	03/23/2020	35.84591405	-86.4107263	9	0	0	Rutherford
2486	Tennessee	US	03/24/2020	35.84591405	-86.4107263	13	0	0	Rutherford
2486	Tennessee	US	03/25/2020	35.84591405	-86.4107263	19	0	0	Rutherford
2485	Tennessee	US	03/26/2020	35.84591405	-86.4107263	27	0	0	Rutherford
2485	Tennessee	US	03/27/2020	35.84591405	-86.4107263	39	0	0	Rutherford
2485	Tennessee	US	03/28/2020	35.84591405	-86.4107263	46	0	0	Rutherford
2485	Tennessee	US	03/29/2020	35.84591405	-86.4107263	48	0	0	Rutherford
2485	Tennessee	US	03/30/2020	35.84591405	-86.4107263	48	0	0	Rutherford
1667	Tennessee	US	03/31/2020	35.84591405	-86.4107263	68	0	0	Rutherford
1709	Tennessee	US	04/01/2020	35.84591405	-86.4107263	110	0	0	Rutherford
1773	Tennessee	US	04/02/2020	35.84591405	-86.4107263	129	1	0	Rutherford
1817	Tennessee	US	04/03/2020	35.84591405	-86.4107263	141	3	0	Rutherford
1862	Tennessee	US	04/04/2020	35.84591405	-86.4107263	151	3	0	Rutherford
1928	Tennessee	US	04/05/2020	35.84591405	-86.4107263	165	3	0	Rutherford
1961	Tennessee	US	04/06/2020	35.84591405	-86.4107263	174	3	0	Rutherford
2002	Tennessee	US	04/07/2020	35.84591405	-86.4107263	199	3	0	Rutherford
2022	Tennessee	US	04/08/2020	35.84591405	-86.4107263	213	3	0	Rutherford
2045	Tennessee	US	04/09/2020	35.84591405	-86.4107263	229	6	0	Rutherford
2064	Tennessee	US	04/10/2020	35.84591405	-86.4107263	239	6	0	Rutherford
2088	Tennessee	US	04/11/2020	35.84591405	-86.4107263	250	6	0	Rutherford
2105	Tennessee	US	04/12/2020	35.84591405	-86.4107263	260	6	0	Rutherford
2119	Tennessee	US	04/13/2020	35.84591405	-86.4107263	268	6	0	Rutherford
2127	Tennessee	US	04/14/2020	35.84591405	-86.4107263	276	6	0	Rutherford
2138	Tennessee	US	04/15/2020	35.84591405	-86.4107263	292	6	0	Rutherford
2149	Tennessee	US	04/16/2020	35.84591405	-86.4107263	300	6	0	Rutherford
2151	Tennessee	US	04/17/2020	35.84591405	-86.4107263	311	6	0	Rutherford
2158	Tennessee	US	04/18/2020	35.84591405	-86.4107263	320	6	0	Rutherford
2171	Tennessee	US	04/19/2020	35.84591405	-86.4107263	332	6	0	Rutherford
2178	Tennessee	US	04/20/2020	35.84591405	-86.4107263	343	7	0	Rutherford
2187	Tennessee	US	04/21/2020	35.84591405	-86.4107263	353	7	0	Rutherford
2194	Tennessee	US	04/22/2020	35.84591405	-86.4107263	365	7	0	Rutherford
2208	Tennessee	US	04/23/2020	35.84591405	-86.4107263	375	7	0	Rutherford
2213	Tennessee	US	04/24/2020	35.84591405	-86.4107263	403	7	0	Rutherford
2218	Tennessee	US	04/25/2020	35.84591405	-86.4107263	420	8	0	Rutherford
2225	Tennessee	US	04/26/2020	35.84591405	-86.4107263	430	9	0	Rutherford
2231	Tennessee	US	04/27/2020	35.84591405	-86.4107263	451	9	0	Rutherford
2240	Tennessee	US	04/28/2020	35.84591405	-86.4107263	460	10	0	Rutherford
2243	Tennessee	US	04/29/2020	35.84591405	-86.4107263	488	11	0	Rutherford
2249	Tennessee	US	04/30/2020	35.84591405	-86.4107263	522	11	0	Rutherford
2259	Tennessee	US	05/01/2020	35.84591405	-86.4107263	562	11	0	Rutherford
2263	Tennessee	US	05/02/2020	35.84591405	-86.4107263	577	11	0	Rutherford
2267	Tennessee	US	05/03/2020	35.84591405	-86.4107263	609	11	0	Rutherford
2270	Tennessee	US	05/04/2020	35.84591405	-86.4107263	639	11	0	Rutherford
2277	Tennessee	US	05/05/2020	35.84591405	-86.4107263	652	12	0	Rutherford
2282	Tennessee	US	05/06/2020	35.84591405	-86.4107263	675	14	0	Rutherford
2286	Tennessee	US	05/07/2020	35.84591405	-86.4107263	701	14	0	Rutherford
2293	Tennessee	US	05/08/2020	35.84591405	-86.4107263	728	14	0	Rutherford
2294	Tennessee	US	05/09/2020	35.84591405	-86.4107263	737	14	0	Rutherford
2296	Tennessee	US	05/10/2020	35.84591405	-86.4107263	753	14	0	Rutherford
2296	Tennessee	US	05/11/2020	35.84591405	-86.4107263	770	14	0	Rutherford
2299	Tennessee	US	05/12/2020	35.84591405	-86.4107263	792	18	0	Rutherford
2300	Tennessee	US	05/13/2020	35.84591405	-86.4107263	807	20	0	Rutherford
2301	Tennessee	US	05/14/2020	35.84591405	-86.4107263	823	19	0	Rutherford
2305	Tennessee	US	05/15/2020	35.84591405	-86.4107263	844	19	0	Rutherford
2310	Tennessee	US	05/16/2020	35.84591405	-86.4107263	861	19	0	Rutherford
2312	Tennessee	US	05/17/2020	35.84591405	-86.4107263	889	19	0	Rutherford
2314	Tennessee	US	05/18/2020	35.84591405	-86.4107263	909	19	0	Rutherford
2317	Tennessee	US	05/19/2020	35.84591405	-86.4107263	933	19	0	Rutherford
2323	Tennessee	US	05/20/2020	35.84591405	-86.4107263	948	19	0	Rutherford
2324	Tennessee	US	05/21/2020	35.84591405	-86.4107263	951	20	0	Rutherford
2328	Tennessee	US	05/22/2020	35.84591405	-86.4107263	973	20	0	Rutherford
2330	Tennessee	US	05/23/2020	35.84591405	-86.4107263	1005	22	0	Rutherford
2333	Tennessee	US	05/24/2020	35.84591405	-86.4107263	1024	22	0	Rutherford
2334	Tennessee	US	05/25/2020	35.84591405	-86.4107263	1067	22	0	Rutherford
2335	Tennessee	US	05/26/2020	35.84591405	-86.4107263	1108	22	0	Rutherford
