	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2874	Tennessee	US	03/23/2020	0.0	0.0	54	0	0	Unassigned
2873	Tennessee	US	03/24/2020	0.0	0.0	38	0	0	Unassigned
2873	Tennessee	US	03/25/2020	0.0	0.0	81	0	0	Unassigned
2870	Tennessee	US	03/26/2020	0.0	0.0	112	0	0	Unassigned
2876	Tennessee	US	03/27/2020	0.0	0.0	172	3	0	Unassigned
2873	Tennessee	US	03/28/2020	0.0	0.0	161	4	0	Unassigned
2876	Tennessee	US	03/29/2020	0.0	0.0	190	4	0	Unassigned
2881	Tennessee	US	03/30/2020	0.0	0.0	197	4	0	Unassigned
1952	Tennessee	US	03/31/2020	0.0	0.0	307	11	0	Unassigned
1999	Tennessee	US	04/01/2020	0.0	0.0	0	0	0	Unassigned
2075	Tennessee	US	04/02/2020			0	0	0	Unassigned
2120	Tennessee	US	04/03/2020			0	0	0	Unassigned
2174	Tennessee	US	04/04/2020			0	0	0	Unassigned
2249	Tennessee	US	04/05/2020			0	0	0	Unassigned
2287	Tennessee	US	04/06/2020			0	2	0	Unassigned
2336	Tennessee	US	04/07/2020			0	1	0	Unassigned
2359	Tennessee	US	04/08/2020			0	0	0	Unassigned
2386	Tennessee	US	04/09/2020			0	0	0	Unassigned
2410	Tennessee	US	04/10/2020			0	0	0	Unassigned
2433	Tennessee	US	04/11/2020			0	0	0	Unassigned
2456	Tennessee	US	04/12/2020			0	0	0	Unassigned
2470	Tennessee	US	04/13/2020			0	0	0	Unassigned
2480	Tennessee	US	04/14/2020			0	0	0	Unassigned
2492	Tennessee	US	04/15/2020			0	0	0	Unassigned
2506	Tennessee	US	04/16/2020			0	0	0	Unassigned
2508	Tennessee	US	04/17/2020			0	0	0	Unassigned
2515	Tennessee	US	04/18/2020			0	0	0	Unassigned
2533	Tennessee	US	04/19/2020			0	0	0	Unassigned
2542	Tennessee	US	04/20/2020			0	0	0	Unassigned
2551	Tennessee	US	04/21/2020			0	0	0	Unassigned
2558	Tennessee	US	04/22/2020			0	0	0	Unassigned
2577	Tennessee	US	04/23/2020			0	0	0	Unassigned
2583	Tennessee	US	04/24/2020			0	0	0	Unassigned
2588	Tennessee	US	04/25/2020			0	0	0	Unassigned
2596	Tennessee	US	04/26/2020			0	0	0	Unassigned
2603	Tennessee	US	04/27/2020			0	0	0	Unassigned
2612	Tennessee	US	04/28/2020			0	0	0	Unassigned
2617	Tennessee	US	04/29/2020			0	0	0	Unassigned
2623	Tennessee	US	04/30/2020			0	0	0	Unassigned
2633	Tennessee	US	05/01/2020			0	0	0	Unassigned
2637	Tennessee	US	05/02/2020			0	0	0	Unassigned
2642	Tennessee	US	05/03/2020			0	0	0	Unassigned
2645	Tennessee	US	05/04/2020			0	0	0	Unassigned
2653	Tennessee	US	05/05/2020			0	0	0	Unassigned
2659	Tennessee	US	05/06/2020			0	0	0	Unassigned
2666	Tennessee	US	05/07/2020			0	0	0	Unassigned
2673	Tennessee	US	05/08/2020			0	0	0	Unassigned
2675	Tennessee	US	05/09/2020			0	0	0	Unassigned
2677	Tennessee	US	05/10/2020			0	0	0	Unassigned
2677	Tennessee	US	05/11/2020			0	0	0	Unassigned
2680	Tennessee	US	05/12/2020			0	0	0	Unassigned
2681	Tennessee	US	05/13/2020			0	0	0	Unassigned
2683	Tennessee	US	05/14/2020			0	0	0	Unassigned
2688	Tennessee	US	05/15/2020			0	0	0	Unassigned
2692	Tennessee	US	05/16/2020			0	0	0	Unassigned
2695	Tennessee	US	05/17/2020			0	0	0	Unassigned
2697	Tennessee	US	05/18/2020			0	0	0	Unassigned
2701	Tennessee	US	05/19/2020			0	0	0	Unassigned
2707	Tennessee	US	05/20/2020			0	0	0	Unassigned
2709	Tennessee	US	05/21/2020			0	0	0	Unassigned
2716	Tennessee	US	05/22/2020			1	0	0	Unassigned
2718	Tennessee	US	05/23/2020			1	0	0	Unassigned
2721	Tennessee	US	05/24/2020			1	0	0	Unassigned
2722	Tennessee	US	05/25/2020			1	0	0	Unassigned
2723	Tennessee	US	05/26/2020			1	0	0	Unassigned
2726	Tennessee	US	05/27/2020			1	0	0	Unassigned
2729	Tennessee	US	05/28/2020			1	0	0	Unassigned
2732	Tennessee	US	05/29/2020			1	0	0	Unassigned
2734	Tennessee	US	05/30/2020			1	0	0	Unassigned
2735	Tennessee	US	05/31/2020			1	0	0	Unassigned
2737	Tennessee	US	06/01/2020			1	0	0	Unassigned
2742	Tennessee	US	06/02/2020			2	0	0	Unassigned
2744	Tennessee	US	06/03/2020			2	0	0	Unassigned
2745	Tennessee	US	06/04/2020			2	0	0	Unassigned
2749	Tennessee	US	06/05/2020			2	0	0	Unassigned
2751	Tennessee	US	06/06/2020			2	0	0	Unassigned
2751	Tennessee	US	06/07/2020			2	0	0	Unassigned
2751	Tennessee	US	06/08/2020			2	0	0	Unassigned
2753	Tennessee	US	06/09/2020			2	0	0	Unassigned
2755	Tennessee	US	06/10/2020			3	0	0	Unassigned
2757	Tennessee	US	06/11/2020			3	0	0	Unassigned
2771	Tennessee	US	06/12/2020			3	0	0	Unassigned
2774	Tennessee	US	06/13/2020			3	0	0	Unassigned
2774	Tennessee	US	06/14/2020			3	0	0	Unassigned
2778	Tennessee	US	06/15/2020			3	0	0	Unassigned
2776	Tennessee	US	06/16/2020			3	0	0	Unassigned
2778	Tennessee	US	06/17/2020			3	0	0	Unassigned
2778	Tennessee	US	06/18/2020			3	0	0	Unassigned
2779	Tennessee	US	06/19/2020			3	0	0	Unassigned
2783	Tennessee	US	06/20/2020			3	0	0	Unassigned
2783	Tennessee	US	06/21/2020			3	0	0	Unassigned
2786	Tennessee	US	06/22/2020			3	0	0	Unassigned
2791	Tennessee	US	06/23/2020			4	0	0	Unassigned
2803	Tennessee	US	06/24/2020			6	0	0	Unassigned
2808	Tennessee	US	06/25/2020			7	0	0	Unassigned
