	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2737	Tennessee	US	03/22/2020	36.10890856	-82.43709629	0	0	0	Unicoi
2877	Tennessee	US	03/23/2020	36.10890856	-82.43709629	0	0	0	Unicoi
2876	Tennessee	US	03/24/2020	36.10890856	-82.43709629	0	0	0	Unicoi
2876	Tennessee	US	03/25/2020	36.10890856	-82.43709629	0	0	0	Unicoi
2873	Tennessee	US	03/26/2020	36.10890856	-82.43709629	0	0	0	Unicoi
2880	Tennessee	US	03/27/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2877	Tennessee	US	03/28/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2881	Tennessee	US	03/29/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2885	Tennessee	US	03/30/2020	36.10890856	-82.43709629	1	0	0	Unicoi
1957	Tennessee	US	03/31/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2004	Tennessee	US	04/01/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2081	Tennessee	US	04/02/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2125	Tennessee	US	04/03/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2179	Tennessee	US	04/04/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2255	Tennessee	US	04/05/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2293	Tennessee	US	04/06/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2343	Tennessee	US	04/07/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2367	Tennessee	US	04/08/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2394	Tennessee	US	04/09/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2418	Tennessee	US	04/10/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2440	Tennessee	US	04/11/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2463	Tennessee	US	04/12/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2477	Tennessee	US	04/13/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2488	Tennessee	US	04/14/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2500	Tennessee	US	04/15/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2514	Tennessee	US	04/16/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2516	Tennessee	US	04/17/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2523	Tennessee	US	04/18/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2541	Tennessee	US	04/19/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2550	Tennessee	US	04/20/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2559	Tennessee	US	04/21/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2566	Tennessee	US	04/22/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2586	Tennessee	US	04/23/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2592	Tennessee	US	04/24/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2597	Tennessee	US	04/25/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2605	Tennessee	US	04/26/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2612	Tennessee	US	04/27/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2621	Tennessee	US	04/28/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2626	Tennessee	US	04/29/2020	36.10890856	-82.43709629	1	0	0	Unicoi
2632	Tennessee	US	04/30/2020	36.10890856	-82.43709629	2	0	0	Unicoi
2642	Tennessee	US	05/01/2020	36.10890856	-82.43709629	2	0	0	Unicoi
2646	Tennessee	US	05/02/2020	36.10890856	-82.43709629	2	0	0	Unicoi
2651	Tennessee	US	05/03/2020	36.10890856	-82.43709629	2	0	0	Unicoi
2654	Tennessee	US	05/04/2020	36.10890856	-82.43709629	2	0	0	Unicoi
2662	Tennessee	US	05/05/2020	36.10890856	-82.43709629	2	0	0	Unicoi
2668	Tennessee	US	05/06/2020	36.10890856	-82.43709629	2	0	0	Unicoi
2675	Tennessee	US	05/07/2020	36.10890856	-82.43709629	2	0	0	Unicoi
2682	Tennessee	US	05/08/2020	36.10890856	-82.43709629	2	0	0	Unicoi
2684	Tennessee	US	05/09/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2686	Tennessee	US	05/10/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2686	Tennessee	US	05/11/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2689	Tennessee	US	05/12/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2690	Tennessee	US	05/13/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2692	Tennessee	US	05/14/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2697	Tennessee	US	05/15/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2701	Tennessee	US	05/16/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2704	Tennessee	US	05/17/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2706	Tennessee	US	05/18/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2710	Tennessee	US	05/19/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2716	Tennessee	US	05/20/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2718	Tennessee	US	05/21/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2725	Tennessee	US	05/22/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2727	Tennessee	US	05/23/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2730	Tennessee	US	05/24/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2731	Tennessee	US	05/25/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2732	Tennessee	US	05/26/2020	36.10890856	-82.43709629	3	0	0	Unicoi
2735	Tennessee	US	05/27/2020	36.10890856	-82.43709629	4	0	0	Unicoi
2738	Tennessee	US	05/28/2020	36.10890856	-82.43709629	4	0	0	Unicoi
2741	Tennessee	US	05/29/2020	36.10890856	-82.43709629	4	0	0	Unicoi
2743	Tennessee	US	05/30/2020	36.10890856	-82.43709629	4	0	0	Unicoi
2744	Tennessee	US	05/31/2020	36.10890856	-82.43709629	40	0	0	Unicoi
2746	Tennessee	US	06/01/2020	36.10890856	-82.43709629	42	0	0	Unicoi
2751	Tennessee	US	06/02/2020	36.10890856	-82.43709629	48	0	0	Unicoi
2753	Tennessee	US	06/03/2020	36.10890856	-82.43709629	48	0	0	Unicoi
2754	Tennessee	US	06/04/2020	36.10890856	-82.43709629	49	0	0	Unicoi
2758	Tennessee	US	06/05/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2760	Tennessee	US	06/06/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2760	Tennessee	US	06/07/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2760	Tennessee	US	06/08/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2762	Tennessee	US	06/09/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2764	Tennessee	US	06/10/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2766	Tennessee	US	06/11/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2780	Tennessee	US	06/12/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2783	Tennessee	US	06/13/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2783	Tennessee	US	06/14/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2787	Tennessee	US	06/15/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2785	Tennessee	US	06/16/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2787	Tennessee	US	06/17/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2787	Tennessee	US	06/18/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2788	Tennessee	US	06/19/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2792	Tennessee	US	06/20/2020	36.10890856	-82.43709629	52	0	0	Unicoi
2792	Tennessee	US	06/21/2020	36.10890856	-82.43709629	53	0	0	Unicoi
2795	Tennessee	US	06/22/2020	36.10890856	-82.43709629	53	0	0	Unicoi
2800	Tennessee	US	06/23/2020	36.10890856	-82.43709629	53	0	0	Unicoi
2812	Tennessee	US	06/24/2020	36.10890856	-82.43709629	53	0	0	Unicoi
2817	Tennessee	US	06/25/2020	36.10890856	-82.43709629	53	0	0	Unicoi
2818	Tennessee	US	06/26/2020	36.10890856	-82.43709629	53	0	0	Unicoi
2819	Tennessee	US	06/27/2020	36.10890856	-82.43709629	53	0	0	Unicoi
2819	Tennessee	US	06/28/2020	36.10890856	-82.43709629	53	0	0	Unicoi
