	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2738	Tennessee	US	03/22/2020	36.28590426	-83.83651902	0	0	0	Union
2895	Tennessee	US	03/23/2020	36.28590426	-83.83651902	0	0	0	Union
2894	Tennessee	US	03/24/2020	36.28590426	-83.83651902	0	0	0	Union
2894	Tennessee	US	03/25/2020	36.28590426	-83.83651902	0	0	0	Union
2891	Tennessee	US	03/26/2020	36.28590426	-83.83651902	0	0	0	Union
2898	Tennessee	US	03/27/2020	36.28590426	-83.83651902	0	0	0	Union
2895	Tennessee	US	03/28/2020	36.28590426	-83.83651902	1	0	0	Union
2899	Tennessee	US	03/29/2020	36.28590426	-83.83651902	1	0	0	Union
2903	Tennessee	US	03/30/2020	36.28590426	-83.83651902	1	0	0	Union
1970	Tennessee	US	03/31/2020	36.28590426	-83.83651902	1	0	0	Union
2017	Tennessee	US	04/01/2020	36.28590426	-83.83651902	1	0	0	Union
2095	Tennessee	US	04/02/2020	36.28590426	-83.83651902	1	0	0	Union
2139	Tennessee	US	04/03/2020	36.28590426	-83.83651902	1	0	0	Union
2194	Tennessee	US	04/04/2020	36.28590426	-83.83651902	1	0	0	Union
2270	Tennessee	US	04/05/2020	36.28590426	-83.83651902	1	0	0	Union
2308	Tennessee	US	04/06/2020	36.28590426	-83.83651902	1	0	0	Union
2358	Tennessee	US	04/07/2020	36.28590426	-83.83651902	1	0	0	Union
2382	Tennessee	US	04/08/2020	36.28590426	-83.83651902	2	0	0	Union
2409	Tennessee	US	04/09/2020	36.28590426	-83.83651902	3	0	0	Union
2434	Tennessee	US	04/10/2020	36.28590426	-83.83651902	3	0	0	Union
2456	Tennessee	US	04/11/2020	36.28590426	-83.83651902	3	0	0	Union
2479	Tennessee	US	04/12/2020	36.28590426	-83.83651902	3	0	0	Union
2493	Tennessee	US	04/13/2020	36.28590426	-83.83651902	3	0	0	Union
2504	Tennessee	US	04/14/2020	36.28590426	-83.83651902	3	0	0	Union
2517	Tennessee	US	04/15/2020	36.28590426	-83.83651902	3	0	0	Union
2531	Tennessee	US	04/16/2020	36.28590426	-83.83651902	3	0	0	Union
2533	Tennessee	US	04/17/2020	36.28590426	-83.83651902	3	0	0	Union
2540	Tennessee	US	04/18/2020	36.28590426	-83.83651902	3	0	0	Union
2558	Tennessee	US	04/19/2020	36.28590426	-83.83651902	3	0	0	Union
2567	Tennessee	US	04/20/2020	36.28590426	-83.83651902	3	0	0	Union
2576	Tennessee	US	04/21/2020	36.28590426	-83.83651902	3	0	0	Union
2583	Tennessee	US	04/22/2020	36.28590426	-83.83651902	3	0	0	Union
2603	Tennessee	US	04/23/2020	36.28590426	-83.83651902	3	0	0	Union
2609	Tennessee	US	04/24/2020	36.28590426	-83.83651902	3	0	0	Union
2615	Tennessee	US	04/25/2020	36.28590426	-83.83651902	3	0	0	Union
2623	Tennessee	US	04/26/2020	36.28590426	-83.83651902	3	0	0	Union
2630	Tennessee	US	04/27/2020	36.28590426	-83.83651902	3	0	0	Union
2639	Tennessee	US	04/28/2020	36.28590426	-83.83651902	3	0	0	Union
2644	Tennessee	US	04/29/2020	36.28590426	-83.83651902	3	0	0	Union
2650	Tennessee	US	04/30/2020	36.28590426	-83.83651902	3	0	0	Union
2660	Tennessee	US	05/01/2020	36.28590426	-83.83651902	3	0	0	Union
2664	Tennessee	US	05/02/2020	36.28590426	-83.83651902	3	0	0	Union
2669	Tennessee	US	05/03/2020	36.28590426	-83.83651902	3	0	0	Union
2672	Tennessee	US	05/04/2020	36.28590426	-83.83651902	3	0	0	Union
2680	Tennessee	US	05/05/2020	36.28590426	-83.83651902	3	0	0	Union
2686	Tennessee	US	05/06/2020	36.28590426	-83.83651902	3	0	0	Union
2693	Tennessee	US	05/07/2020	36.28590426	-83.83651902	3	0	0	Union
2700	Tennessee	US	05/08/2020	36.28590426	-83.83651902	3	0	0	Union
2702	Tennessee	US	05/09/2020	36.28590426	-83.83651902	3	0	0	Union
2704	Tennessee	US	05/10/2020	36.28590426	-83.83651902	3	0	0	Union
2704	Tennessee	US	05/11/2020	36.28590426	-83.83651902	3	0	0	Union
2707	Tennessee	US	05/12/2020	36.28590426	-83.83651902	4	0	0	Union
2708	Tennessee	US	05/13/2020	36.28590426	-83.83651902	4	0	0	Union
2710	Tennessee	US	05/14/2020	36.28590426	-83.83651902	4	0	0	Union
2715	Tennessee	US	05/15/2020	36.28590426	-83.83651902	4	0	0	Union
2719	Tennessee	US	05/16/2020	36.28590426	-83.83651902	4	0	0	Union
2722	Tennessee	US	05/17/2020	36.28590426	-83.83651902	4	0	0	Union
2724	Tennessee	US	05/18/2020	36.28590426	-83.83651902	4	0	0	Union
2728	Tennessee	US	05/19/2020	36.28590426	-83.83651902	4	0	0	Union
2734	Tennessee	US	05/20/2020	36.28590426	-83.83651902	4	0	0	Union
2736	Tennessee	US	05/21/2020	36.28590426	-83.83651902	4	0	0	Union
2743	Tennessee	US	05/22/2020	36.28590426	-83.83651902	4	0	0	Union
2745	Tennessee	US	05/23/2020	36.28590426	-83.83651902	4	0	0	Union
2748	Tennessee	US	05/24/2020	36.28590426	-83.83651902	4	0	0	Union
2749	Tennessee	US	05/25/2020	36.28590426	-83.83651902	4	0	0	Union
2750	Tennessee	US	05/26/2020	36.28590426	-83.83651902	4	0	0	Union
2753	Tennessee	US	05/27/2020	36.28590426	-83.83651902	4	0	0	Union
2756	Tennessee	US	05/28/2020	36.28590426	-83.83651902	4	0	0	Union
2759	Tennessee	US	05/29/2020	36.28590426	-83.83651902	4	0	0	Union
2761	Tennessee	US	05/30/2020	36.28590426	-83.83651902	4	0	0	Union
2762	Tennessee	US	05/31/2020	36.28590426	-83.83651902	4	0	0	Union
2764	Tennessee	US	06/01/2020	36.28590426	-83.83651902	4	0	0	Union
2769	Tennessee	US	06/02/2020	36.28590426	-83.83651902	4	0	0	Union
