	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
505	Tennessee	US	03/22/2020	36.29472368	-82.4945472	2	0	0	Washington
3002	Tennessee	US	03/23/2020	36.29472368	-82.49454720000001	6	0	0	Washington
3001	Tennessee	US	03/24/2020	36.29472368	-82.49454720000001	7	0	0	Washington
3001	Tennessee	US	03/25/2020	36.29472368	-82.49454720000001	7	0	0	Washington
2998	Tennessee	US	03/26/2020	36.29472368	-82.49454720000001	9	0	0	Washington
3005	Tennessee	US	03/27/2020	36.29472368	-82.49454720000001	10	0	0	Washington
3002	Tennessee	US	03/28/2020	36.29472368	-82.4945472	14	0	0	Washington
3006	Tennessee	US	03/29/2020	36.29472368	-82.4945472	14	0	0	Washington
3010	Tennessee	US	03/30/2020	36.29472368	-82.4945472	14	0	0	Washington
2052	Tennessee	US	03/31/2020	36.29472368	-82.49454720000001	14	0	0	Washington
2100	Tennessee	US	04/01/2020	36.29472368	-82.49454720000001	19	0	0	Washington
2179	Tennessee	US	04/02/2020	36.29472368	-82.4945472	19	0	0	Washington
2228	Tennessee	US	04/03/2020	36.29472368	-82.49454720000001	21	0	0	Washington
2283	Tennessee	US	04/04/2020	36.29472368	-82.4945472	22	2	0	Washington
2360	Tennessee	US	04/05/2020	36.29472368	-82.49454720000001	22	0	0	Washington
2400	Tennessee	US	04/06/2020	36.29472368	-82.4945472	24	0	0	Washington
2450	Tennessee	US	04/07/2020	36.29472368	-82.49454720000001	29	0	0	Washington
2475	Tennessee	US	04/08/2020	36.29472368	-82.49454720000001	31	0	0	Washington
2502	Tennessee	US	04/09/2020	36.29472368	-82.49454720000001	32	0	0	Washington
2528	Tennessee	US	04/10/2020	36.29472368	-82.49454720000001	36	0	0	Washington
2551	Tennessee	US	04/11/2020	36.29472368	-82.49454720000001	38	0	0	Washington
2575	Tennessee	US	04/12/2020	36.29472368	-82.4945472	41	0	0	Washington
2589	Tennessee	US	04/13/2020	36.29472368	-82.49454720000001	43	0	0	Washington
2600	Tennessee	US	04/14/2020	36.29472368	-82.49454720000001	43	0	0	Washington
2613	Tennessee	US	04/15/2020	36.29472368	-82.49454720000001	44	0	0	Washington
2628	Tennessee	US	04/16/2020	36.29472368	-82.49454720000001	45	0	0	Washington
2630	Tennessee	US	04/17/2020	36.29472368	-82.49454720000001	45	0	0	Washington
2637	Tennessee	US	04/18/2020	36.29472368	-82.4945472	45	0	0	Washington
2655	Tennessee	US	04/19/2020	36.29472368	-82.4945472	45	0	0	Washington
2664	Tennessee	US	04/20/2020	36.29472368	-82.49454720000001	45	0	0	Washington
2673	Tennessee	US	04/21/2020	36.29472368	-82.49454720000001	45	0	0	Washington
2680	Tennessee	US	04/22/2020	36.29472368	-82.49454720000001	45	0	0	Washington
2700	Tennessee	US	04/23/2020	36.29472368	-82.49454720000001	46	0	0	Washington
2707	Tennessee	US	04/24/2020	36.29472368	-82.49454720000001	47	0	0	Washington
2713	Tennessee	US	04/25/2020	36.29472368	-82.49454720000001	50	0	0	Washington
2721	Tennessee	US	04/26/2020	36.29472368	-82.49454720000001	52	0	0	Washington
2729	Tennessee	US	04/27/2020	36.29472368	-82.49454720000001	52	0	0	Washington
2740	Tennessee	US	04/28/2020	36.29472368	-82.49454720000001	52	0	0	Washington
