	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
356	Texas	US	03/22/2020	30.78801353	-98.181887	1	0	0	Burnet
319	Texas	US	03/23/2020	30.78801353	-98.181887	1	0	0	Burnet
319	Texas	US	03/24/2020	30.78801353	-98.181887	1	0	0	Burnet
319	Texas	US	03/25/2020	30.78801353	-98.181887	1	0	0	Burnet
319	Texas	US	03/26/2020	30.78801353	-98.181887	1	0	0	Burnet
319	Texas	US	03/27/2020	30.78801353	-98.181887	1	0	0	Burnet
319	Texas	US	03/28/2020	30.78801353	-98.181887	1	0	0	Burnet
319	Texas	US	03/29/2020	30.78801353	-98.181887	2	0	0	Burnet
319	Texas	US	03/30/2020	30.78801353	-98.181887	3	0	0	Burnet
221	Texas	US	03/31/2020	30.78801353	-98.181887	3	0	0	Burnet
227	Texas	US	04/01/2020	30.78801353	-98.181887	1	0	0	Burnet
235	Texas	US	04/02/2020	30.78801353	-98.181887	1	0	0	Burnet
237	Texas	US	04/03/2020	30.78801353	-98.181887	1	0	0	Burnet
241	Texas	US	04/04/2020	30.78801353	-98.181887	1	0	0	Burnet
251	Texas	US	04/05/2020	30.78801353	-98.181887	1	0	0	Burnet
252	Texas	US	04/06/2020	30.78801353	-98.181887	1	0	0	Burnet
258	Texas	US	04/07/2020	30.78801353	-98.181887	1	0	0	Burnet
262	Texas	US	04/08/2020	30.78801353	-98.181887	1	0	0	Burnet
264	Texas	US	04/09/2020	30.78801353	-98.181887	1	0	0	Burnet
265	Texas	US	04/10/2020	30.78801353	-98.181887	2	0	0	Burnet
268	Texas	US	04/11/2020	30.78801353	-98.181887	2	0	0	Burnet
271	Texas	US	04/12/2020	30.78801353	-98.181887	2	0	0	Burnet
273	Texas	US	04/13/2020	30.78801353	-98.181887	2	0	0	Burnet
274	Texas	US	04/14/2020	30.78801353	-98.181887	2	0	0	Burnet
276	Texas	US	04/15/2020	30.78801353	-98.181887	2	0	0	Burnet
276	Texas	US	04/16/2020	30.78801353	-98.181887	2	0	0	Burnet
279	Texas	US	04/17/2020	30.78801353	-98.181887	2	0	0	Burnet
279	Texas	US	04/18/2020	30.78801353	-98.181887	2	0	0	Burnet
279	Texas	US	04/19/2020	30.78801353	-98.181887	2	0	0	Burnet
279	Texas	US	04/20/2020	30.78801353	-98.181887	4	0	0	Burnet
280	Texas	US	04/21/2020	30.78801353	-98.181887	4	0	0	Burnet
281	Texas	US	04/22/2020	30.78801353	-98.181887	4	0	0	Burnet
281	Texas	US	04/23/2020	30.78801353	-98.181887	4	0	0	Burnet
281	Texas	US	04/24/2020	30.78801353	-98.181887	4	0	0	Burnet
281	Texas	US	04/25/2020	30.78801353	-98.181887	4	0	0	Burnet
282	Texas	US	04/26/2020	30.78801353	-98.181887	4	0	0	Burnet
282	Texas	US	04/27/2020	30.78801353	-98.181887	4	0	0	Burnet
283	Texas	US	04/28/2020	30.78801353	-98.181887	4	0	0	Burnet
283	Texas	US	04/29/2020	30.78801353	-98.181887	5	0	0	Burnet
283	Texas	US	04/30/2020	30.78801353	-98.181887	5	0	0	Burnet
285	Texas	US	05/01/2020	30.78801353	-98.181887	5	0	0	Burnet
286	Texas	US	05/02/2020	30.78801353	-98.181887	5	0	0	Burnet
287	Texas	US	05/03/2020	30.78801353	-98.181887	6	0	0	Burnet
288	Texas	US	05/04/2020	30.78801353	-98.181887	7	0	0	Burnet
290	Texas	US	05/05/2020	30.78801353	-98.181887	7	0	0	Burnet
291	Texas	US	05/06/2020	30.78801353	-98.181887	7	0	0	Burnet
292	Texas	US	05/07/2020	30.78801353	-98.181887	8	0	0	Burnet
292	Texas	US	05/08/2020	30.78801353	-98.181887	9	0	0	Burnet
292	Texas	US	05/09/2020	30.78801353	-98.181887	9	0	0	Burnet
