	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2773	Coke	0	US	0	31.88911733	-100.5297533	Texas	0	03/22/2020
591	Coke	0	US	0	31.88911733	-100.5297533	Texas	0	03/23/2020
591	Coke	0	US	0	31.88911733	-100.5297533	Texas	0	03/24/2020
591	Coke	0	US	0	31.88911733	-100.5297533	Texas	0	03/25/2020
591	Coke	0	US	0	31.88911733	-100.5297533	Texas	0	03/26/2020
591	Coke	0	US	0	31.88911733	-100.5297533	Texas	0	03/27/2020
591	Coke	0	US	0	31.88911733	-100.5297533	Texas	0	03/28/2020
591	Coke	0	US	0	31.88911733	-100.5297533	Texas	0	03/29/2020
591	Coke	0	US	0	31.88911733	-100.5297533	Texas	0	03/30/2020
547	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/05/2020
548	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/06/2020
549	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/07/2020
551	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/08/2020
551	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/09/2020
552	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/10/2020
552	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/11/2020
552	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/12/2020
552	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/13/2020
553	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/14/2020
554	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/15/2020
555	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/16/2020
556	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/17/2020
557	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/18/2020
559	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/19/2020
560	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/20/2020
560	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/21/2020
561	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/22/2020
561	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/23/2020
562	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/24/2020
562	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/25/2020
562	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/26/2020
563	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/27/2020
563	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/28/2020
563	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/29/2020
563	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/30/2020
563	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	05/31/2020
564	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	06/01/2020
564	Coke	1	US	0	31.88911733	-100.5297533	Texas	0	06/02/2020
