	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2778	Concho	0	US	0	31.32635934	-99.86473038	Texas	0	03/22/2020
620	Concho	0	US	0	31.32635934	-99.86473038	Texas	0	03/23/2020
620	Concho	0	US	0	31.32635934	-99.86473038	Texas	0	03/24/2020
620	Concho	0	US	0	31.32635934	-99.86473038	Texas	0	03/25/2020
620	Concho	0	US	0	31.32635934	-99.86473038	Texas	0	03/26/2020
620	Concho	0	US	0	31.32635934	-99.86473038	Texas	0	03/27/2020
620	Concho	0	US	0	31.32635934	-99.86473038	Texas	0	03/28/2020
620	Concho	0	US	0	31.32635934	-99.86473038	Texas	0	03/29/2020
620	Concho	0	US	0	31.32635934	-99.86473038	Texas	0	03/30/2020
526	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/10/2020
531	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/11/2020
534	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/12/2020
537	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/13/2020
539	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/14/2020
542	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/15/2020
543	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/16/2020
545	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/17/2020
546	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/18/2020
550	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/19/2020
551	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/20/2020
555	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/21/2020
557	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/22/2020
560	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/23/2020
561	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/24/2020
561	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/25/2020
562	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/26/2020
563	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/27/2020
565	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/28/2020
565	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/29/2020
565	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	04/30/2020
568	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/01/2020
569	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/02/2020
570	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/03/2020
571	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/04/2020
575	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/05/2020
576	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/06/2020
577	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/07/2020
579	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/08/2020
579	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/09/2020
580	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/10/2020
580	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/11/2020
580	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/12/2020
580	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/13/2020
581	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/14/2020
582	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/15/2020
583	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/16/2020
584	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/17/2020
585	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/18/2020
587	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/19/2020
588	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/20/2020
588	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/21/2020
590	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/22/2020
590	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/23/2020
591	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/24/2020
591	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/25/2020
591	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/26/2020
592	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/27/2020
592	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/28/2020
592	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/29/2020
592	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/30/2020
592	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	05/31/2020
593	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/01/2020
593	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/02/2020
593	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/03/2020
593	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/04/2020
594	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/05/2020
594	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/06/2020
594	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/07/2020
594	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/08/2020
594	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/09/2020
595	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/10/2020
596	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/11/2020
597	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/12/2020
597	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/13/2020
597	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/14/2020
598	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/15/2020
598	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/16/2020
598	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/17/2020
598	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/18/2020
598	Concho	1	US	0	31.32635934	-99.86473038	Texas	0	06/19/2020
600	Concho	2	US	0	31.32635934	-99.86473038	Texas	0	06/20/2020
600	Concho	2	US	0	31.32635934	-99.86473038	Texas	0	06/21/2020
600	Concho	2	US	0	31.32635934	-99.86473038	Texas	0	06/22/2020
600	Concho	2	US	0	31.32635934	-99.86473038	Texas	0	06/23/2020
602	Concho	2	US	0	31.32635934	-99.86473038	Texas	0	06/24/2020
603	Concho	4	US	0	31.32635934	-99.86473038	Texas	0	06/25/2020
603	Concho	5	US	0	31.32635934	-99.86473038	Texas	0	06/26/2020
604	Concho	7	US	0	31.32635934	-99.86473038	Texas	0	06/27/2020
604	Concho	7	US	0	31.32635934	-99.86473038	Texas	0	06/28/2020
604	Concho	7	US	0	31.32635934	-99.86473038	Texas	0	06/29/2020
605	Concho	9	US	0	31.32635934	-99.86473038	Texas	0	06/30/2020
605	Concho	9	US	0	31.32635934	-99.86473038	Texas	0	07/01/2020
606	Concho	9	US	0	31.32635934	-99.86473038	Texas	0	07/02/2020
607	Concho	9	US	0	31.32635934	-99.86473038	Texas	0	07/03/2020
607	Concho	11	US	0	31.32635934	-99.86473038	Texas	0	07/04/2020
607	Concho	11	US	0	31.32635934	-99.86473038	Texas	0	07/05/2020
607	Concho	11	US	0	31.32635934	-99.86473038	Texas	0	07/06/2020
607	Concho	11	US	0	31.32635934	-99.86473038	Texas	0	07/07/2020
608	Concho	11	US	0	31.32635934	-99.86473038	Texas	0	07/08/2020
608	Concho	13	US	0	31.32635934	-99.86473038	Texas	0	07/09/2020
609	Concho	13	US	0	31.32635934	-99.86473038	Texas	0	07/10/2020
609	Concho	13	US	0	31.32635934	-99.86473038	Texas	0	07/11/2020
609	Concho	13	US	0	31.32635934	-99.86473038	Texas	0	07/12/2020
609	Concho	15	US	0	31.32635934	-99.86473038	Texas	0	07/13/2020
609	Concho	15	US	0	31.32635934	-99.86473038	Texas	0	07/14/2020
609	Concho	15	US	0	31.32635934	-99.86473038	Texas	0	07/15/2020
610	Concho	17	US	0	31.32635934	-99.86473038	Texas	0	07/16/2020
610	Concho	17	US	0	31.32635934	-99.86473038	Texas	0	07/17/2020
633	Concho	17	US	0	31.32635934	-99.86473038	Texas	0	07/18/2020
634	Concho	17	US	0	31.32635934	-99.86473038	Texas	0	07/19/2020
619	Concho	17	US	0	31.32635934	-99.86473038	Texas	0	07/20/2020
636	Concho	19	US	0	31.32635934	-99.86473038	Texas	0	07/21/2020
636	Concho	20	US	0	31.32635934	-99.86473038	Texas	0	07/22/2020
637	Concho	20	US	0	31.32635934	-99.86473038	Texas	0	07/23/2020
637	Concho	22	US	0	31.32635934	-99.86473038	Texas	0	07/24/2020
637	Concho	22	US	0	31.32635934	-99.86473038	Texas	0	07/25/2020
637	Concho	22	US	0	31.32635934	-99.86473038	Texas	0	07/26/2020
637	Concho	22	US	1	31.32635934	-99.86473038	Texas	0	07/27/2020
637	Concho	23	US	1	31.32635934	-99.86473038	Texas	0	07/28/2020
637	Concho	23	US	1	31.32635934	-99.86473038	Texas	0	07/29/2020
637	Concho	23	US	1	31.32635934	-99.86473038	Texas	0	07/30/2020
637	Concho	24	US	1	31.32635934	-99.86473038	Texas	0	07/31/2020
637	Concho	26	US	1	31.32635934	-99.86473038	Texas	0	08/01/2020
637	Concho	26	US	1	31.32635934	-99.86473038	Texas	0	08/02/2020
637	Concho	26	US	1	31.32635934	-99.86473038	Texas	0	08/03/2020
637	Concho	26	US	1	31.32635934	-99.86473038	Texas	0	08/04/2020
638	Concho	26	US	0	31.32635934	-99.86473038	Texas	0	08/05/2020
638	Concho	26	US	0	31.32635934	-99.86473038	Texas	0	08/06/2020
638	Concho	28	US	0	31.32635934	-99.86473038	Texas	0	08/07/2020
638	Concho	28	US	0	31.32635934	-99.86473038	Texas	0	08/08/2020
638	Concho	28	US	0	31.32635934	-99.86473038	Texas	0	08/09/2020
638	Concho	28	US	0	31.32635934	-99.86473038	Texas	0	08/10/2020
3373	Concho	31	US	0	31.32635934	-99.86473038	Texas	0	08/11/2020
3327	Concho	31	US	0	31.32635934	-99.86473038	Texas	0	08/12/2020
3329	Concho	32	US	0	31.32635934	-99.86473038	Texas	0	08/13/2020
3329	Concho	33	US	0	31.32635934	-99.86473038	Texas	0	08/14/2020
3329	Concho	33	US	0	31.32635934	-99.86473038	Texas	0	08/15/2020
3329	Concho	34	US	0	31.32635934	-99.86473038	Texas	0	08/16/2020
3331	Concho	34	US	0	31.32635934	-99.86473038	Texas	0	08/17/2020
3331	Concho	36	US	0	31.32635934	-99.86473038	Texas	0	08/18/2020
3333	Concho	36	US	0	31.32635934	-99.86473038	Texas	0	08/19/2020
3333	Concho	36	US	0	31.32635934	-99.86473038	Texas	0	08/20/2020
3333	Concho	35	US	0	31.32635934	-99.86473038	Texas	0	08/21/2020
3334	Concho	35	US	0	31.32635934	-99.86473038	Texas	0	08/22/2020
3334	Concho	35	US	0	31.32635934	-99.86473038	Texas	0	08/23/2020
3334	Concho	35	US	0	31.32635934	-99.86473038	Texas	0	08/24/2020
3334	Concho	41	US	0	31.32635934	-99.86473038	Texas	0	08/25/2020
3334	Concho	42	US	0	31.32635934	-99.86473038	Texas	0	08/26/2020
3334	Concho	46	US	0	31.32635934	-99.86473038	Texas	0	08/27/2020
3334	Concho	48	US	0	31.32635934	-99.86473038	Texas	0	08/28/2020
3334	Concho	50	US	1	31.32635934	-99.86473038	Texas	0	08/29/2020
3334	Concho	53	US	1	31.32635934	-99.86473038	Texas	0	08/30/2020
3338	Concho	55	US	1	31.32635934	-99.86473038	Texas	0	08/31/2020
3338	Concho	56	US	1	31.32635934	-99.86473038	Texas	0	09/01/2020
3338	Concho	58	US	1	31.32635934	-99.86473038	Texas	0	09/02/2020
3338	Concho	58	US	1	31.32635934	-99.86473038	Texas	0	09/03/2020
3338	Concho	58	US	1	31.32635934	-99.86473038	Texas	0	09/04/2020
3338	Concho	58	US	1	31.32635934	-99.86473038	Texas	0	09/05/2020
3338	Concho	58	US	1	31.32635934	-99.86473038	Texas	0	09/06/2020
3338	Concho	58	US	1	31.32635934	-99.86473038	Texas	0	09/07/2020
