	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
305	Texas	US	03/22/2020	33.20521901	-97.11691153	30	0	0	Denton
768	Texas	US	03/23/2020	33.20521901	-97.11691153	36	0	0	Denton
768	Texas	US	03/24/2020	33.20521901	-97.11691153	51	0	0	Denton
768	Texas	US	03/25/2020	33.20521901	-97.11691153	70	0	0	Denton
768	Texas	US	03/26/2020	33.20521901	-97.11691153	83	1	0	Denton
768	Texas	US	03/27/2020	33.20521901	-97.11691153	137	1	0	Denton
768	Texas	US	03/28/2020	33.20521901	-97.11691153	148	2	0	Denton
768	Texas	US	03/29/2020	33.20521901	-97.11691153	165	2	0	Denton
768	Texas	US	03/30/2020	33.20521901	-97.11691153	191	2	0	Denton
538	Texas	US	03/31/2020	33.20521901	-97.11691153	206	4	0	Denton
555	Texas	US	04/01/2020	33.20521901	-97.11691153	231	4	0	Denton
576	Texas	US	04/02/2020	33.20521901	-97.11691153	254	5	0	Denton
584	Texas	US	04/03/2020	33.20521901	-97.11691153	273	6	0	Denton
598	Texas	US	04/04/2020	33.20521901	-97.11691153	288	6	0	Denton
617	Texas	US	04/05/2020	33.20521901	-97.11691153	304	7	0	Denton
627	Texas	US	04/06/2020	33.20521901	-97.11691153	337	7	0	Denton
638	Texas	US	04/07/2020	33.20521901	-97.11691153	366	7	0	Denton
643	Texas	US	04/08/2020	33.20521901	-97.11691153	398	7	0	Denton
648	Texas	US	04/09/2020	33.20521901	-97.11691153	426	7	0	Denton
652	Texas	US	04/10/2020	33.20521901	-97.11691153	454	9	0	Denton
657	Texas	US	04/11/2020	33.20521901	-97.11691153	474	10	0	Denton
661	Texas	US	04/12/2020	33.20521901	-97.11691153	482	13	0	Denton
665	Texas	US	04/13/2020	33.20521901	-97.11691153	507	13	0	Denton
666	Texas	US	04/14/2020	33.20521901	-97.11691153	521	13	0	Denton
670	Texas	US	04/15/2020	33.20521901	-97.11691153	547	14	0	Denton
671	Texas	US	04/16/2020	33.20521901	-97.11691153	564	14	0	Denton
674	Texas	US	04/17/2020	33.20521901	-97.11691153	585	15	0	Denton
676	Texas	US	04/18/2020	33.20521901	-97.11691153	592	15	0	Denton
680	Texas	US	04/19/2020	33.20521901	-97.11691153	593	16	0	Denton
681	Texas	US	04/20/2020	33.20521901	-97.11691153	598	16	0	Denton
685	Texas	US	04/21/2020	33.20521901	-97.11691153	619	17	0	Denton
687	Texas	US	04/22/2020	33.20521901	-97.11691153	644	18	0	Denton
690	Texas	US	04/23/2020	33.20521901	-97.11691153	661	19	0	Denton
691	Texas	US	04/24/2020	33.20521901	-97.11691153	680	19	0	Denton
691	Texas	US	04/25/2020	33.20521901	-97.11691153	702	19	0	Denton
693	Texas	US	04/26/2020	33.20521901	-97.11691153	713	20	0	Denton
695	Texas	US	04/27/2020	33.20521901	-97.11691153	725	20	0	Denton
697	Texas	US	04/28/2020	33.20521901	-97.11691153	738	20	0	Denton
698	Texas	US	04/29/2020	33.20521901	-97.11691153	748	20	0	Denton
698	Texas	US	04/30/2020	33.20521901	-97.11691153	765	20	0	Denton
702	Texas	US	05/01/2020	33.20521901	-97.11691153	786	21	0	Denton
703	Texas	US	05/02/2020	33.20521901	-97.11691153	799	22	0	Denton
704	Texas	US	05/03/2020	33.20521901	-97.11691153	803	22	0	Denton
706	Texas	US	05/04/2020	33.20521901	-97.11691153	806	22	0	Denton
710	Texas	US	05/05/2020	33.20521901	-97.11691153	832	22	0	Denton
711	Texas	US	05/06/2020	33.20521901	-97.11691153	846	22	0	Denton
712	Texas	US	05/07/2020	33.20521901	-97.11691153	872	22	0	Denton
715	Texas	US	05/08/2020	33.20521901	-97.11691153	902	23	0	Denton
715	Texas	US	05/09/2020	33.20521901	-97.11691153	914	25	0	Denton
716	Texas	US	05/10/2020	33.20521901	-97.11691153	922	25	0	Denton
716	Texas	US	05/11/2020	33.20521901	-97.11691153	946	25	0	Denton
716	Texas	US	05/12/2020	33.20521901	-97.11691153	968	25	0	Denton
716	Texas	US	05/13/2020	33.20521901	-97.11691153	989	25	0	Denton
717	Texas	US	05/14/2020	33.20521901	-97.11691153	1016	25	0	Denton
718	Texas	US	05/15/2020	33.20521901	-97.11691153	1040	28	0	Denton
719	Texas	US	05/16/2020	33.20521901	-97.11691153	1051	28	0	Denton
720	Texas	US	05/17/2020	33.20521901	-97.11691153	1069	28	0	Denton
721	Texas	US	05/18/2020	33.20521901	-97.11691153	1088	28	0	Denton
723	Texas	US	05/19/2020	33.20521901	-97.11691153	1116	28	0	Denton
