	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2807	Goliad	0	US	0	28.65696592	-97.42760647	Texas	0	03/22/2020
1059	Goliad	0	US	0	28.65696592	-97.42760647	Texas	0	03/23/2020
1059	Goliad	0	US	0	28.65696592	-97.42760647	Texas	0	03/24/2020
1059	Goliad	0	US	0	28.65696592	-97.42760647	Texas	0	03/25/2020
1058	Goliad	0	US	0	28.65696592	-97.42760647	Texas	0	03/26/2020
1058	Goliad	0	US	0	28.65696592	-97.42760647	Texas	0	03/27/2020
1058	Goliad	0	US	0	28.65696592	-97.42760647	Texas	0	03/28/2020
1058	Goliad	0	US	0	28.65696592	-97.42760647	Texas	0	03/29/2020
1058	Goliad	0	US	0	28.65696592	-97.42760647	Texas	0	03/30/2020
772	Goliad	1	US	0	28.65696592	-97.42760647	Texas	0	04/02/2020
786	Goliad	1	US	0	28.65696592	-97.42760647	Texas	0	04/03/2020
801	Goliad	1	US	0	28.65696592	-97.42760647	Texas	0	04/04/2020
833	Goliad	1	US	0	28.65696592	-97.42760647	Texas	0	04/05/2020
844	Goliad	3	US	0	28.65696592	-97.42760647	Texas	0	04/06/2020
862	Goliad	3	US	0	28.65696592	-97.42760647	Texas	0	04/07/2020
870	Goliad	3	US	0	28.65696592	-97.42760647	Texas	0	04/08/2020
876	Goliad	3	US	0	28.65696592	-97.42760647	Texas	0	04/09/2020
882	Goliad	4	US	0	28.65696592	-97.42760647	Texas	0	04/10/2020
890	Goliad	4	US	0	28.65696592	-97.42760647	Texas	0	04/11/2020
898	Goliad	4	US	0	28.65696592	-97.42760647	Texas	0	04/12/2020
904	Goliad	4	US	0	28.65696592	-97.42760647	Texas	0	04/13/2020
907	Goliad	4	US	0	28.65696592	-97.42760647	Texas	0	04/14/2020
913	Goliad	5	US	0	28.65696592	-97.42760647	Texas	0	04/15/2020
914	Goliad	5	US	0	28.65696592	-97.42760647	Texas	0	04/16/2020
914	Goliad	5	US	0	28.65696592	-97.42760647	Texas	0	04/17/2020
916	Goliad	5	US	0	28.65696592	-97.42760647	Texas	0	04/18/2020
922	Goliad	5	US	0	28.65696592	-97.42760647	Texas	0	04/19/2020
925	Goliad	5	US	0	28.65696592	-97.42760647	Texas	0	04/20/2020
929	Goliad	6	US	0	28.65696592	-97.42760647	Texas	0	04/21/2020
