	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
334	Texas	US	03/22/2020	32.47940482	-94.81591935	1	0	0	Gregg
1132	Texas	US	03/23/2020	32.47940482	-94.81591935	1	0	0	Gregg
1132	Texas	US	03/24/2020	32.47940482	-94.81591935	1	0	0	Gregg
1132	Texas	US	03/25/2020	32.47940482	-94.81591935	3	0	0	Gregg
1131	Texas	US	03/26/2020	32.47940482	-94.81591935	4	0	0	Gregg
1131	Texas	US	03/27/2020	32.47940482	-94.81591935	4	0	0	Gregg
1131	Texas	US	03/28/2020	32.47940482	-94.81591935	4	0	0	Gregg
1131	Texas	US	03/29/2020	32.47940482	-94.81591935	4	0	0	Gregg
1131	Texas	US	03/30/2020	32.47940482	-94.81591935	5	0	0	Gregg
771	Texas	US	03/31/2020	32.47940482	-94.81591935	5	0	0	Gregg
794	Texas	US	04/01/2020	32.47940482	-94.81591935	5	0	0	Gregg
823	Texas	US	04/02/2020	32.47940482	-94.81591935	8	0	0	Gregg
838	Texas	US	04/03/2020	32.47940482	-94.81591935	10	0	0	Gregg
856	Texas	US	04/04/2020	32.47940482	-94.81591935	11	0	0	Gregg
889	Texas	US	04/05/2020	32.47940482	-94.81591935	12	0	0	Gregg
901	Texas	US	04/06/2020	32.47940482	-94.81591935	15	0	0	Gregg
920	Texas	US	04/07/2020	32.47940482	-94.81591935	19	0	0	Gregg
929	Texas	US	04/08/2020	32.47940482	-94.81591935	25	0	0	Gregg
936	Texas	US	04/09/2020	32.47940482	-94.81591935	27	0	0	Gregg
943	Texas	US	04/10/2020	32.47940482	-94.81591935	27	0	0	Gregg
951	Texas	US	04/11/2020	32.47940482	-94.81591935	27	0	0	Gregg
959	Texas	US	04/12/2020	32.47940482	-94.81591935	27	0	0	Gregg
967	Texas	US	04/13/2020	32.47940482	-94.81591935	33	0	0	Gregg
970	Texas	US	04/14/2020	32.47940482	-94.81591935	35	0	0	Gregg
976	Texas	US	04/15/2020	32.47940482	-94.81591935	36	0	0	Gregg
977	Texas	US	04/16/2020	32.47940482	-94.81591935	37	0	0	Gregg
976	Texas	US	04/17/2020	32.47940482	-94.81591935	37	0	0	Gregg
978	Texas	US	04/18/2020	32.47940482	-94.81591935	38	0	0	Gregg
985	Texas	US	04/19/2020	32.47940482	-94.81591935	38	0	0	Gregg
988	Texas	US	04/20/2020	32.47940482	-94.81591935	38	0	0	Gregg
992	Texas	US	04/21/2020	32.47940482	-94.81591935	38	0	0	Gregg
995	Texas	US	04/22/2020	32.47940482	-94.81591935	39	0	0	Gregg
1002	Texas	US	04/23/2020	32.47940482	-94.81591935	43	0	0	Gregg
1004	Texas	US	04/24/2020	32.47940482	-94.81591935	46	0	0	Gregg
1004	Texas	US	04/25/2020	32.47940482	-94.81591935	49	0	0	Gregg
1008	Texas	US	04/26/2020	32.47940482	-94.81591935	51	0	0	Gregg
1010	Texas	US	04/27/2020	32.47940482	-94.81591935	51	0	0	Gregg
1014	Texas	US	04/28/2020	32.47940482	-94.81591935	52	0	0	Gregg
1016	Texas	US	04/29/2020	32.47940482	-94.81591935	55	0	0	Gregg
1020	Texas	US	04/30/2020	32.47940482	-94.81591935	57	0	0	Gregg
1026	Texas	US	05/01/2020	32.47940482	-94.81591935	59	0	0	Gregg
1028	Texas	US	05/02/2020	32.47940482	-94.81591935	63	0	0	Gregg
1029	Texas	US	05/03/2020	32.47940482	-94.81591935	63	0	0	Gregg
1031	Texas	US	05/04/2020	32.47940482	-94.81591935	64	0	0	Gregg
1036	Texas	US	05/05/2020	32.47940482	-94.81591935	70	0	0	Gregg
1039	Texas	US	05/06/2020	32.47940482	-94.81591935	74	0	0	Gregg
1041	Texas	US	05/07/2020	32.47940482	-94.81591935	80	0	0	Gregg
1045	Texas	US	05/08/2020	32.47940482	-94.81591935	80	0	0	Gregg
1045	Texas	US	05/09/2020	32.47940482	-94.81591935	80	0	0	Gregg
1046	Texas	US	05/10/2020	32.47940482	-94.81591935	80	0	0	Gregg
1046	Texas	US	05/11/2020	32.47940482	-94.81591935	84	0	0	Gregg
1047	Texas	US	05/12/2020	32.47940482	-94.81591935	86	0	0	Gregg
1047	Texas	US	05/13/2020	32.47940482	-94.81591935	86	0	0	Gregg
1048	Texas	US	05/14/2020	32.47940482	-94.81591935	89	0	0	Gregg
1051	Texas	US	05/15/2020	32.47940482	-94.81591935	101	0	0	Gregg
1052	Texas	US	05/16/2020	32.47940482	-94.81591935	103	0	0	Gregg
1053	Texas	US	05/17/2020	32.47940482	-94.81591935	104	0	0	Gregg
1054	Texas	US	05/18/2020	32.47940482	-94.81591935	104	0	0	Gregg
1056	Texas	US	05/19/2020	32.47940482	-94.81591935	104	0	0	Gregg
1058	Texas	US	05/20/2020	32.47940482	-94.81591935	105	4	0	Gregg
1058	Texas	US	05/21/2020	32.47940482	-94.81591935	106	4	0	Gregg
1060	Texas	US	05/22/2020	32.47940482	-94.81591935	108	4	0	Gregg
1060	Texas	US	05/23/2020	32.47940482	-94.81591935	109	4	0	Gregg
1061	Texas	US	05/24/2020	32.47940482	-94.81591935	113	4	0	Gregg
1061	Texas	US	05/25/2020	32.47940482	-94.81591935	115	4	0	Gregg
1061	Texas	US	05/26/2020	32.47940482	-94.81591935	117	4	0	Gregg
1062	Texas	US	05/27/2020	32.47940482	-94.81591935	117	5	0	Gregg
1062	Texas	US	05/28/2020	32.47940482	-94.81591935	120	6	0	Gregg
1064	Texas	US	05/29/2020	32.47940482	-94.81591935	122	6	0	Gregg
1065	Texas	US	05/30/2020	32.47940482	-94.81591935	128	6	0	Gregg
1065	Texas	US	05/31/2020	32.47940482	-94.81591935	134	6	0	Gregg
1067	Texas	US	06/01/2020	32.47940482	-94.81591935	138	6	0	Gregg
1069	Texas	US	06/02/2020	32.47940482	-94.81591935	141	6	0	Gregg
1069	Texas	US	06/03/2020	32.47940482	-94.81591935	143	7	0	Gregg
1070	Texas	US	06/04/2020	32.47940482	-94.81591935	171	9	0	Gregg
1072	Texas	US	06/05/2020	32.47940482	-94.81591935	185	9	0	Gregg
1072	Texas	US	06/06/2020	32.47940482	-94.81591935	186	10	0	Gregg
1072	Texas	US	06/07/2020	32.47940482	-94.81591935	186	10	0	Gregg
1072	Texas	US	06/08/2020	32.47940482	-94.81591935	186	10	0	Gregg
1072	Texas	US	06/09/2020	32.47940482	-94.81591935	193	11	0	Gregg
1073	Texas	US	06/10/2020	32.47940482	-94.81591935	201	11	0	Gregg
1074	Texas	US	06/11/2020	32.47940482	-94.81591935	202	11	0	Gregg
1079	Texas	US	06/12/2020	32.47940482	-94.81591935	202	11	0	Gregg
1080	Texas	US	06/13/2020	32.47940482	-94.81591935	202	11	0	Gregg
1080	Texas	US	06/14/2020	32.47940482	-94.81591935	202	11	0	Gregg
1082	Texas	US	06/15/2020	32.47940482	-94.81591935	203	11	0	Gregg
1081	Texas	US	06/16/2020	32.47940482	-94.81591935	205	12	0	Gregg
1082	Texas	US	06/17/2020	32.47940482	-94.81591935	213	12	0	Gregg
1082	Texas	US	06/18/2020	32.47940482	-94.81591935	214	12	0	Gregg
1082	Texas	US	06/19/2020	32.47940482	-94.81591935	214	12	0	Gregg
1086	Texas	US	06/20/2020	32.47940482	-94.81591935	214	12	0	Gregg
1086	Texas	US	06/21/2020	32.47940482	-94.81591935	214	12	0	Gregg
1087	Texas	US	06/22/2020	32.47940482	-94.81591935	214	12	0	Gregg
1087	Texas	US	06/23/2020	32.47940482	-94.81591935	214	12	0	Gregg
1092	Texas	US	06/24/2020	32.47940482	-94.81591935	219	12	0	Gregg
1096	Texas	US	06/25/2020	32.47940482	-94.81591935	220	13	0	Gregg
1096	Texas	US	06/26/2020	32.47940482	-94.81591935	221	13	0	Gregg
1097	Texas	US	06/27/2020	32.47940482	-94.81591935	221	13	0	Gregg
1097	Texas	US	06/28/2020	32.47940482	-94.81591935	222	13	0	Gregg
1097	Texas	US	06/29/2020	32.47940482	-94.81591935	223	13	0	Gregg
1098	Texas	US	06/30/2020	32.47940482	-94.81591935	224	13	0	Gregg
1098	Texas	US	07/01/2020	32.47940482	-94.81591935	225	13	0	Gregg
1099	Texas	US	07/02/2020	32.47940482	-94.81591935	228	13	0	Gregg
1100	Texas	US	07/03/2020	32.47940482	-94.81591935	230	13	0	Gregg
1100	Texas	US	07/04/2020	32.47940482	-94.81591935	232	13	0	Gregg
1100	Texas	US	07/05/2020	32.47940482	-94.81591935	233	13	0	Gregg
1101	Texas	US	07/06/2020	32.47940482	-94.81591935	255	13	0	Gregg
1101	Texas	US	07/07/2020	32.47940482	-94.81591935	302	13	0	Gregg
1102	Texas	US	07/08/2020	32.47940482	-94.81591935	350	13	0	Gregg
1102	Texas	US	07/09/2020	32.47940482	-94.81591935	363	13	0	Gregg
1104	Texas	US	07/10/2020	32.47940482	-94.81591935	399	13	0	Gregg
1104	Texas	US	07/11/2020	32.47940482	-94.81591935	429	13	0	Gregg
1106	Texas	US	07/12/2020	32.47940482	-94.81591935	462	13	0	Gregg
1108	Texas	US	07/13/2020	32.47940482	-94.81591935	481	13	0	Gregg
1109	Texas	US	07/14/2020	32.47940482	-94.81591935	516	15	0	Gregg
1109	Texas	US	07/15/2020	32.47940482	-94.81591935	527	15	0	Gregg
1111	Texas	US	07/16/2020	32.47940482	-94.81591935	527	15	0	Gregg
1111	Texas	US	07/17/2020	32.47940482	-94.81591935	529	15	0	Gregg
1139	Texas	US	07/18/2020	32.47940482	-94.81591935	537	15	0	Gregg
1140	Texas	US	07/19/2020	32.47940482	-94.81591935	541	15	0	Gregg
1115	Texas	US	07/20/2020	32.47940482	-94.81591935	548	15	0	Gregg
1143	Texas	US	07/21/2020	32.47940482	-94.81591935	550	15	0	Gregg
1143	Texas	US	07/22/2020	32.47940482	-94.81591935	551	15	0	Gregg
1144	Texas	US	07/23/2020	32.47940482	-94.81591935	558	15	0	Gregg
1143	Texas	US	07/24/2020	32.47940482	-94.81591935	566	16	0	Gregg
1144	Texas	US	07/25/2020	32.47940482	-94.81591935	570	16	0	Gregg
1145	Texas	US	07/26/2020	32.47940482	-94.81591935	572	16	0	Gregg
1145	Texas	US	07/27/2020	32.47940482	-94.81591935	595	19	0	Gregg
1145	Texas	US	07/28/2020	32.47940482	-94.81591935	597	20	0	Gregg
1146	Texas	US	07/29/2020	32.47940482	-94.81591935	598	20	0	Gregg
1146	Texas	US	07/30/2020	32.47940482	-94.81591935	599	19	0	Gregg
1147	Texas	US	07/31/2020	32.47940482	-94.81591935	604	19	0	Gregg
1147	Texas	US	08/01/2020	32.47940482	-94.81591935	609	19	0	Gregg
1147	Texas	US	08/02/2020	32.47940482	-94.81591935	612	19	0	Gregg
1147	Texas	US	08/03/2020	32.47940482	-94.81591935	612	21	0	Gregg
1147	Texas	US	08/04/2020	32.47940482	-94.81591935	627	21	0	Gregg
1148	Texas	US	08/05/2020	32.47940482	-94.81591935	629	22	0	Gregg
1148	Texas	US	08/06/2020	32.47940482	-94.81591935	651	23	0	Gregg
1148	Texas	US	08/07/2020	32.47940482	-94.81591935	674	24	0	Gregg
1148	Texas	US	08/08/2020	32.47940482	-94.81591935	846	25	0	Gregg
1148	Texas	US	08/09/2020	32.47940482	-94.81591935	899	26	0	Gregg
1148	Texas	US	08/10/2020	32.47940482	-94.81591935	986	27	0	Gregg
3416	Texas	US	08/11/2020	32.47940482	-94.81591935	1017	27	0	Gregg
