	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2811	Texas	US	03/22/2020	34.07044901	-101.8268114	0	0	0	Hale
1153	Texas	US	03/23/2020	34.07044901	-101.8268114	0	0	0	Hale
1153	Texas	US	03/24/2020	34.07044901	-101.8268114	0	0	0	Hale
1153	Texas	US	03/25/2020	34.07044901	-101.8268114	1	0	0	Hale
1152	Texas	US	03/26/2020	34.07044901	-101.8268114	1	0	0	Hale
1152	Texas	US	03/27/2020	34.07044901	-101.8268114	1	0	0	Hale
1152	Texas	US	03/28/2020	34.07044901	-101.8268114	1	0	0	Hale
1152	Texas	US	03/29/2020	34.07044901	-101.8268114	1	0	0	Hale
1152	Texas	US	03/30/2020	34.07044901	-101.8268114	1	0	0	Hale
783	Texas	US	03/31/2020	34.07044901	-101.8268114	1	0	0	Hale
807	Texas	US	04/01/2020	34.07044901	-101.8268114	0	0	0	Hale
837	Texas	US	04/02/2020	34.07044901	-101.8268114	0	0	0	Hale
852	Texas	US	04/03/2020	34.07044901	-101.8268114	0	0	0	Hale
871	Texas	US	04/04/2020	34.07044901	-101.8268114	0	0	0	Hale
904	Texas	US	04/05/2020	34.07044901	-101.8268114	1	0	0	Hale
916	Texas	US	04/06/2020	34.07044901	-101.8268114	1	0	0	Hale
935	Texas	US	04/07/2020	34.07044901	-101.8268114	1	0	0	Hale
944	Texas	US	04/08/2020	34.07044901	-101.8268114	1	0	0	Hale
951	Texas	US	04/09/2020	34.07044901	-101.8268114	1	1	0	Hale
958	Texas	US	04/10/2020	34.07044901	-101.8268114	2	1	0	Hale
966	Texas	US	04/11/2020	34.07044901	-101.8268114	2	2	0	Hale
974	Texas	US	04/12/2020	34.07044901	-101.8268114	2	2	0	Hale
982	Texas	US	04/13/2020	34.07044901	-101.8268114	3	5	0	Hale
985	Texas	US	04/14/2020	34.07044901	-101.8268114	3	2	0	Hale
991	Texas	US	04/15/2020	34.07044901	-101.8268114	4	2	0	Hale
992	Texas	US	04/16/2020	34.07044901	-101.8268114	4	2	0	Hale
991	Texas	US	04/17/2020	34.07044901	-101.8268114	6	2	0	Hale
994	Texas	US	04/18/2020	34.07044901	-101.8268114	6	2	0	Hale
1001	Texas	US	04/19/2020	34.07044901	-101.8268114	6	2	0	Hale
1004	Texas	US	04/20/2020	34.07044901	-101.8268114	8	2	0	Hale
1008	Texas	US	04/21/2020	34.07044901	-101.8268114	8	2	0	Hale
1011	Texas	US	04/22/2020	34.07044901	-101.8268114	13	4	0	Hale
1018	Texas	US	04/23/2020	34.07044901	-101.8268114	13	4	0	Hale
1020	Texas	US	04/24/2020	34.07044901	-101.8268114	13	4	0	Hale
1020	Texas	US	04/25/2020	34.07044901	-101.8268114	13	4	0	Hale
1024	Texas	US	04/26/2020	34.07044901	-101.8268114	14	4	0	Hale
1026	Texas	US	04/27/2020	34.07044901	-101.8268114	15	4	0	Hale
1030	Texas	US	04/28/2020	34.07044901	-101.8268114	15	4	0	Hale
1032	Texas	US	04/29/2020	34.07044901	-101.8268114	15	4	0	Hale
1036	Texas	US	04/30/2020	34.07044901	-101.8268114	15	4	0	Hale
1042	Texas	US	05/01/2020	34.07044901	-101.8268114	19	4	0	Hale
1044	Texas	US	05/02/2020	34.07044901	-101.8268114	20	4	0	Hale
1045	Texas	US	05/03/2020	34.07044901	-101.8268114	20	4	0	Hale
1047	Texas	US	05/04/2020	34.07044901	-101.8268114	21	4	0	Hale
1052	Texas	US	05/05/2020	34.07044901	-101.8268114	21	4	0	Hale
1055	Texas	US	05/06/2020	34.07044901	-101.8268114	25	4	0	Hale
1057	Texas	US	05/07/2020	34.07044901	-101.8268114	25	4	0	Hale
1061	Texas	US	05/08/2020	34.07044901	-101.8268114	25	4	0	Hale
1061	Texas	US	05/09/2020	34.07044901	-101.8268114	25	4	0	Hale
1062	Texas	US	05/10/2020	34.07044901	-101.8268114	25	4	0	Hale
1062	Texas	US	05/11/2020	34.07044901	-101.8268114	25	4	0	Hale
1063	Texas	US	05/12/2020	34.07044901	-101.8268114	26	4	0	Hale
1063	Texas	US	05/13/2020	34.07044901	-101.8268114	26	4	0	Hale
1064	Texas	US	05/14/2020	34.07044901	-101.8268114	26	4	0	Hale
1067	Texas	US	05/15/2020	34.07044901	-101.8268114	27	4	0	Hale
1068	Texas	US	05/16/2020	34.07044901	-101.8268114	27	4	0	Hale
1069	Texas	US	05/17/2020	34.07044901	-101.8268114	27	4	0	Hale
1070	Texas	US	05/18/2020	34.07044901	-101.8268114	29	4	0	Hale
1072	Texas	US	05/19/2020	34.07044901	-101.8268114	30	4	0	Hale
1074	Texas	US	05/20/2020	34.07044901	-101.8268114	30	4	0	Hale
1074	Texas	US	05/21/2020	34.07044901	-101.8268114	30	4	0	Hale
1077	Texas	US	05/22/2020	34.07044901	-101.8268114	30	4	0	Hale
1077	Texas	US	05/23/2020	34.07044901	-101.8268114	30	4	0	Hale
1078	Texas	US	05/24/2020	34.07044901	-101.8268114	30	4	0	Hale
1078	Texas	US	05/25/2020	34.07044901	-101.8268114	30	4	0	Hale
1078	Texas	US	05/26/2020	34.07044901	-101.8268114	30	4	0	Hale
1079	Texas	US	05/27/2020	34.07044901	-101.8268114	30	4	0	Hale
1079	Texas	US	05/28/2020	34.07044901	-101.8268114	30	4	0	Hale
1081	Texas	US	05/29/2020	34.07044901	-101.8268114	30	4	0	Hale
1082	Texas	US	05/30/2020	34.07044901	-101.8268114	30	4	0	Hale
1083	Texas	US	05/31/2020	34.07044901	-101.8268114	30	4	0	Hale
1085	Texas	US	06/01/2020	34.07044901	-101.8268114	30	4	0	Hale
1087	Texas	US	06/02/2020	34.07044901	-101.8268114	30	4	0	Hale
1087	Texas	US	06/03/2020	34.07044901	-101.8268114	30	4	0	Hale
1088	Texas	US	06/04/2020	34.07044901	-101.8268114	32	4	0	Hale
1090	Texas	US	06/05/2020	34.07044901	-101.8268114	36	4	0	Hale
1090	Texas	US	06/06/2020	34.07044901	-101.8268114	38	4	0	Hale
1090	Texas	US	06/07/2020	34.07044901	-101.8268114	38	4	0	Hale
1090	Texas	US	06/08/2020	34.07044901	-101.8268114	38	4	0	Hale
1091	Texas	US	06/09/2020	34.07044901	-101.8268114	38	4	0	Hale
1092	Texas	US	06/10/2020	34.07044901	-101.8268114	39	5	0	Hale
1093	Texas	US	06/11/2020	34.07044901	-101.8268114	39	5	0	Hale
1099	Texas	US	06/12/2020	34.07044901	-101.8268114	40	5	0	Hale
1100	Texas	US	06/13/2020	34.07044901	-101.8268114	40	5	0	Hale
1100	Texas	US	06/14/2020	34.07044901	-101.8268114	41	5	0	Hale
1102	Texas	US	06/15/2020	34.07044901	-101.8268114	42	5	0	Hale
1101	Texas	US	06/16/2020	34.07044901	-101.8268114	43	5	0	Hale
1102	Texas	US	06/17/2020	34.07044901	-101.8268114	43	5	0	Hale
1102	Texas	US	06/18/2020	34.07044901	-101.8268114	44	5	0	Hale
1102	Texas	US	06/19/2020	34.07044901	-101.8268114	44	5	0	Hale
1106	Texas	US	06/20/2020	34.07044901	-101.8268114	47	5	0	Hale
1106	Texas	US	06/21/2020	34.07044901	-101.8268114	47	5	0	Hale
1107	Texas	US	06/22/2020	34.07044901	-101.8268114	48	5	0	Hale
1107	Texas	US	06/23/2020	34.07044901	-101.8268114	48	6	0	Hale
1112	Texas	US	06/24/2020	34.07044901	-101.8268114	51	6	0	Hale
1116	Texas	US	06/25/2020	34.07044901	-101.8268114	53	7	0	Hale
1116	Texas	US	06/26/2020	34.07044901	-101.8268114	60	7	0	Hale
1117	Texas	US	06/27/2020	34.07044901	-101.8268114	61	7	0	Hale
1117	Texas	US	06/28/2020	34.07044901	-101.8268114	62	7	0	Hale
1117	Texas	US	06/29/2020	34.07044901	-101.8268114	62	7	0	Hale
1118	Texas	US	06/30/2020	34.07044901	-101.8268114	63	7	0	Hale
1118	Texas	US	07/01/2020	34.07044901	-101.8268114	64	7	0	Hale
1119	Texas	US	07/02/2020	34.07044901	-101.8268114	66	7	0	Hale
1120	Texas	US	07/03/2020	34.07044901	-101.8268114	76	7	0	Hale
1120	Texas	US	07/04/2020	34.07044901	-101.8268114	86	7	0	Hale
1120	Texas	US	07/05/2020	34.07044901	-101.8268114	96	7	0	Hale
1122	Texas	US	07/06/2020	34.07044901	-101.8268114	102	7	0	Hale
1122	Texas	US	07/07/2020	34.07044901	-101.8268114	102	7	0	Hale
1123	Texas	US	07/08/2020	34.07044901	-101.8268114	107	7	0	Hale
1123	Texas	US	07/09/2020	34.07044901	-101.8268114	108	8	0	Hale
1125	Texas	US	07/10/2020	34.07044901	-101.8268114	120	8	0	Hale
1125	Texas	US	07/11/2020	34.07044901	-101.8268114	180	11	0	Hale
1127	Texas	US	07/12/2020	34.07044901	-101.8268114	254	11	0	Hale
1129	Texas	US	07/13/2020	34.07044901	-101.8268114	325	11	0	Hale
1130	Texas	US	07/14/2020	34.07044901	-101.8268114	328	11	0	Hale
1130	Texas	US	07/15/2020	34.07044901	-101.8268114	330	17	0	Hale
1132	Texas	US	07/16/2020	34.07044901	-101.8268114	332	17	0	Hale
1132	Texas	US	07/17/2020	34.07044901	-101.8268114	333	19	0	Hale
1165	Texas	US	07/18/2020	34.07044901	-101.8268114	336	19	0	Hale
1166	Texas	US	07/19/2020	34.07044901	-101.8268114	338	19	0	Hale
1141	Texas	US	07/20/2020	34.07044901	-101.8268114	342	19	0	Hale
1169	Texas	US	07/21/2020	34.07044901	-101.8268114	343	19	0	Hale
1169	Texas	US	07/22/2020	34.07044901	-101.8268114	343	21	0	Hale
1170	Texas	US	07/23/2020	34.07044901	-101.8268114	344	21	0	Hale
1169	Texas	US	07/24/2020	34.07044901	-101.8268114	345	22	0	Hale
1170	Texas	US	07/25/2020	34.07044901	-101.8268114	347	23	0	Hale
1171	Texas	US	07/26/2020	34.07044901	-101.8268114	348	24	0	Hale
1171	Texas	US	07/27/2020	34.07044901	-101.8268114	349	20	0	Hale
1171	Texas	US	07/28/2020	34.07044901	-101.8268114	350	20	0	Hale
1172	Texas	US	07/29/2020	34.07044901	-101.8268114	351	21	0	Hale
1172	Texas	US	07/30/2020	34.07044901	-101.8268114	351	20	0	Hale
1173	Texas	US	07/31/2020	34.07044901	-101.8268114	371	22	0	Hale
1173	Texas	US	08/01/2020	34.07044901	-101.8268114	372	22	0	Hale
1173	Texas	US	08/02/2020	34.07044901	-101.8268114	378	22	0	Hale
1173	Texas	US	08/03/2020	34.07044901	-101.8268114	378	22	0	Hale
1173	Texas	US	08/04/2020	34.07044901	-101.8268114	383	24	0	Hale
1174	Texas	US	08/05/2020	34.07044901	-101.8268114	385	24	0	Hale
1174	Texas	US	08/06/2020	34.07044901	-101.8268114	398	24	0	Hale
1174	Texas	US	08/07/2020	34.07044901	-101.8268114	403	25	0	Hale
1174	Texas	US	08/08/2020	34.07044901	-101.8268114	416	26	0	Hale
1174	Texas	US	08/09/2020	34.07044901	-101.8268114	420	26	0	Hale
1174	Texas	US	08/10/2020	34.07044901	-101.8268114	427	26	0	Hale
3419	Texas	US	08/11/2020	34.07044901	-101.8268114	427	29	0	Hale
3373	Texas	US	08/12/2020	34.07044901	-101.8268114	432	31	0	Hale
3375	Texas	US	08/13/2020	34.07044901	-101.8268114	435	31	0	Hale
3375	Texas	US	08/14/2020	34.07044901	-101.8268114	436	31	0	Hale
3375	Texas	US	08/15/2020	34.07044901	-101.8268114	438	31	0	Hale
3375	Texas	US	08/16/2020	34.07044901	-101.8268114	438	31	0	Hale
3377	Texas	US	08/17/2020	34.07044901	-101.8268114	442	31	0	Hale
3377	Texas	US	08/18/2020	34.07044901	-101.8268114	442	32	0	Hale
3379	Texas	US	08/19/2020	34.07044901	-101.8268114	442	33	0	Hale
3379	Texas	US	08/20/2020	34.07044901	-101.8268114	443	36	0	Hale
3379	Texas	US	08/21/2020	34.07044901	-101.8268114	443	39	0	Hale
3380	Texas	US	08/22/2020	34.07044901	-101.8268114	444	40	0	Hale
3380	Texas	US	08/23/2020	34.07044901	-101.8268114	444	40	0	Hale
3380	Texas	US	08/24/2020	34.07044901	-101.8268114	445	40	0	Hale
3380	Texas	US	08/25/2020	34.07044901	-101.8268114	445	40	0	Hale
3380	Texas	US	08/26/2020	34.07044901	-101.8268114	446	40	0	Hale
3380	Texas	US	08/27/2020	34.07044901	-101.8268114	447	41	0	Hale
3380	Texas	US	08/28/2020	34.07044901	-101.8268114	447	42	0	Hale
3380	Texas	US	08/29/2020	34.07044901	-101.8268114	447	44	0	Hale
3380	Texas	US	08/30/2020	34.07044901	-101.8268114	447	44	0	Hale
3384	Texas	US	08/31/2020	34.07044901	-101.8268114	448	44	0	Hale
3384	Texas	US	09/01/2020	34.07044901	-101.8268114	448	45	0	Hale
3384	Texas	US	09/02/2020	34.07044901	-101.8268114	448	45	0	Hale
3384	Texas	US	09/03/2020	34.07044901	-101.8268114	448	47	0	Hale
3384	Texas	US	09/04/2020	34.07044901	-101.8268114	448	49	0	Hale
3384	Texas	US	09/05/2020	34.07044901	-101.8268114	449	49	0	Hale
3384	Texas	US	09/06/2020	34.07044901	-101.8268114	449	49	0	Hale
3384	Texas	US	09/07/2020	34.07044901	-101.8268114	451	49	0	Hale
3384	Texas	US	09/08/2020	34.07044901	-101.8268114	453	49	0	Hale
3384	Texas	US	09/09/2020	34.07044901	-101.8268114	453	49	0	Hale
3384	Texas	US	09/10/2020	34.07044901	-101.8268114	453	49	0	Hale
3384	Texas	US	09/11/2020	34.07044901	-101.8268114	453	49	0	Hale
3384	Texas	US	09/12/2020	34.07044901	-101.8268114	703	49	0	Hale
3384	Texas	US	09/13/2020	34.07044901	-101.8268114	703	49	0	Hale
3384	Texas	US	09/14/2020	34.07044901	-101.8268114	703	49	0	Hale
3384	Texas	US	09/15/2020	34.07044901	-101.8268114	706	50	0	Hale
3384	Texas	US	09/16/2020	34.07044901	-101.8268114	708	52	0	Hale
3384	Texas	US	09/17/2020	34.07044901	-101.8268114	708	53	0	Hale
3384	Texas	US	09/18/2020	34.07044901	-101.8268114	709	53	0	Hale
3384	Texas	US	09/19/2020	34.07044901	-101.8268114	711	53	0	Hale
3384	Texas	US	09/20/2020	34.07044901	-101.8268114	712	53	0	Hale
3386	Texas	US	09/21/2020	34.07044901	-101.8268114	714	53	0	Hale
3386	Texas	US	09/22/2020	34.07044901	-101.8268114	715	53	0	Hale
3386	Texas	US	09/23/2020	34.07044901	-101.8268114	769	53	0	Hale
3386	Texas	US	09/24/2020	34.07044901	-101.8268114	769	53	0	Hale
3386	Texas	US	09/25/2020	34.07044901	-101.8268114	770	53	0	Hale
3386	Texas	US	09/26/2020	34.07044901	-101.8268114	771	53	0	Hale
3386	Texas	US	09/27/2020	34.07044901	-101.8268114	775	54	0	Hale
3386	Texas	US	09/28/2020	34.07044901	-101.8268114	783	54	0	Hale
3386	Texas	US	09/29/2020	34.07044901	-101.8268114	785	56	0	Hale
3386	Texas	US	09/30/2020	34.07044901	-101.8268114	788	56	0	Hale
3386	Texas	US	10/01/2020	34.07044901	-101.8268114	788	55	0	Hale
3386	Texas	US	10/02/2020	34.07044901	-101.8268114	790	56	0	Hale
3386	Texas	US	10/03/2020	34.07044901	-101.8268114	791	56	0	Hale
3386	Texas	US	10/04/2020	34.07044901	-101.8268114	791	56	0	Hale
3386	Texas	US	10/05/2020	34.07044901	-101.8268114	791	56	0	Hale
3386	Texas	US	10/06/2020	34.07044901	-101.8268114	791	57	0	Hale
3386	Texas	US	10/07/2020	34.07044901	-101.8268114	794	57	0	Hale
3386	Texas	US	10/08/2020	34.07044901	-101.8268114	794	57	0	Hale
3386	Texas	US	10/09/2020	34.07044901	-101.8268114	795	57	0	Hale
3386	Texas	US	10/10/2020	34.07044901	-101.8268114	806	57	0	Hale
3386	Texas	US	10/11/2020	34.07044901	-101.8268114	810	57	0	Hale
3387	Texas	US	10/12/2020	34.07044901	-101.8268114	816	57	0	Hale
3387	Texas	US	10/13/2020	34.07044901	-101.8268114	818	58	0	Hale
