	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2816	Harrison	0	US	0	32.54935988	-94.36934071	Texas	0	03/22/2020
1219	Harrison	0	US	0	32.54935988	-94.36934071	Texas	0	03/23/2020
1219	Harrison	0	US	0	32.54935988	-94.36934071	Texas	0	03/24/2020
1219	Harrison	0	US	0	32.54935988	-94.36934071	Texas	0	03/25/2020
1218	Harrison	1	US	0	32.54935988	-94.36934071	Texas	0	03/26/2020
1218	Harrison	1	US	0	32.54935988	-94.36934071	Texas	0	03/27/2020
1218	Harrison	1	US	0	32.54935988	-94.36934071	Texas	0	03/28/2020
1218	Harrison	1	US	0	32.54935988	-94.36934071	Texas	0	03/29/2020
1218	Harrison	1	US	0	32.54935988	-94.36934071	Texas	0	03/30/2020
820	Harrison	1	US	0	32.54935988	-94.36934071	Texas	0	03/31/2020
844	Harrison	3	US	0	32.54935988	-94.36934071	Texas	0	04/01/2020
879	Harrison	5	US	0	32.54935988	-94.36934071	Texas	0	04/02/2020
894	Harrison	5	US	1	32.54935988	-94.36934071	Texas	0	04/03/2020
913	Harrison	5	US	1	32.54935988	-94.36934071	Texas	0	04/04/2020
947	Harrison	6	US	1	32.54935988	-94.36934071	Texas	0	04/05/2020
962	Harrison	8	US	1	32.54935988	-94.36934071	Texas	0	04/06/2020
983	Harrison	11	US	1	32.54935988	-94.36934071	Texas	0	04/07/2020
994	Harrison	11	US	1	32.54935988	-94.36934071	Texas	0	04/08/2020
1001	Harrison	12	US	1	32.54935988	-94.36934071	Texas	0	04/09/2020
1008	Harrison	12	US	1	32.54935988	-94.36934071	Texas	0	04/10/2020
1017	Harrison	14	US	1	32.54935988	-94.36934071	Texas	0	04/11/2020
1025	Harrison	16	US	1	32.54935988	-94.36934071	Texas	0	04/12/2020
1033	Harrison	16	US	1	32.54935988	-94.36934071	Texas	0	04/13/2020
1036	Harrison	31	US	2	32.54935988	-94.36934071	Texas	0	04/14/2020
1042	Harrison	34	US	2	32.54935988	-94.36934071	Texas	0	04/15/2020
1044	Harrison	35	US	2	32.54935988	-94.36934071	Texas	0	04/16/2020
1043	Harrison	40	US	2	32.54935988	-94.36934071	Texas	0	04/17/2020
1047	Harrison	42	US	4	32.54935988	-94.36934071	Texas	0	04/18/2020
1055	Harrison	44	US	4	32.54935988	-94.36934071	Texas	0	04/19/2020
1058	Harrison	47	US	4	32.54935988	-94.36934071	Texas	0	04/20/2020
1063	Harrison	59	US	4	32.54935988	-94.36934071	Texas	0	04/21/2020
1066	Harrison	59	US	4	32.54935988	-94.36934071	Texas	0	04/22/2020
1074	Harrison	63	US	4	32.54935988	-94.36934071	Texas	0	04/23/2020
1076	Harrison	69	US	4	32.54935988	-94.36934071	Texas	0	04/24/2020
1076	Harrison	69	US	4	32.54935988	-94.36934071	Texas	0	04/25/2020
1081	Harrison	71	US	4	32.54935988	-94.36934071	Texas	0	04/26/2020
1083	Harrison	86	US	4	32.54935988	-94.36934071	Texas	0	04/27/2020
1088	Harrison	83	US	7	32.54935988	-94.36934071	Texas	0	04/28/2020
1090	Harrison	84	US	7	32.54935988	-94.36934071	Texas	0	04/29/2020
1095	Harrison	102	US	7	32.54935988	-94.36934071	Texas	0	04/30/2020
1101	Harrison	113	US	6	32.54935988	-94.36934071	Texas	0	05/01/2020
1103	Harrison	121	US	6	32.54935988	-94.36934071	Texas	0	05/02/2020
1104	Harrison	140	US	6	32.54935988	-94.36934071	Texas	0	05/03/2020
1106	Harrison	140	US	6	32.54935988	-94.36934071	Texas	0	05/04/2020
1111	Harrison	149	US	6	32.54935988	-94.36934071	Texas	0	05/05/2020
1114	Harrison	160	US	6	32.54935988	-94.36934071	Texas	0	05/06/2020
1117	Harrison	167	US	6	32.54935988	-94.36934071	Texas	0	05/07/2020
1121	Harrison	180	US	6	32.54935988	-94.36934071	Texas	0	05/08/2020
1121	Harrison	180	US	6	32.54935988	-94.36934071	Texas	0	05/09/2020
1122	Harrison	186	US	9	32.54935988	-94.36934071	Texas	0	05/10/2020
1122	Harrison	186	US	9	32.54935988	-94.36934071	Texas	0	05/11/2020
1123	Harrison	189	US	9	32.54935988	-94.36934071	Texas	0	05/12/2020
1123	Harrison	192	US	9	32.54935988	-94.36934071	Texas	0	05/13/2020
1124	Harrison	195	US	9	32.54935988	-94.36934071	Texas	0	05/14/2020
1127	Harrison	200	US	19	32.54935988	-94.36934071	Texas	0	05/15/2020
1128	Harrison	200	US	19	32.54935988	-94.36934071	Texas	0	05/16/2020
1129	Harrison	202	US	19	32.54935988	-94.36934071	Texas	0	05/17/2020
1130	Harrison	202	US	19	32.54935988	-94.36934071	Texas	0	05/18/2020
1132	Harrison	205	US	21	32.54935988	-94.36934071	Texas	0	05/19/2020
1135	Harrison	206	US	22	32.54935988	-94.36934071	Texas	0	05/20/2020
1135	Harrison	217	US	22	32.54935988	-94.36934071	Texas	0	05/21/2020
1139	Harrison	217	US	22	32.54935988	-94.36934071	Texas	0	05/22/2020
1139	Harrison	217	US	22	32.54935988	-94.36934071	Texas	0	05/23/2020
1141	Harrison	225	US	23	32.54935988	-94.36934071	Texas	0	05/24/2020
1141	Harrison	228	US	23	32.54935988	-94.36934071	Texas	0	05/25/2020
1141	Harrison	228	US	24	32.54935988	-94.36934071	Texas	0	05/26/2020
1142	Harrison	236	US	25	32.54935988	-94.36934071	Texas	0	05/27/2020
1142	Harrison	239	US	25	32.54935988	-94.36934071	Texas	0	05/28/2020
1144	Harrison	239	US	25	32.54935988	-94.36934071	Texas	0	05/29/2020
1145	Harrison	244	US	25	32.54935988	-94.36934071	Texas	0	05/30/2020
1146	Harrison	245	US	25	32.54935988	-94.36934071	Texas	0	05/31/2020
1148	Harrison	245	US	25	32.54935988	-94.36934071	Texas	0	06/01/2020
1150	Harrison	247	US	25	32.54935988	-94.36934071	Texas	0	06/02/2020
1151	Harrison	250	US	26	32.54935988	-94.36934071	Texas	0	06/03/2020
1152	Harrison	255	US	27	32.54935988	-94.36934071	Texas	0	06/04/2020
1154	Harrison	256	US	27	32.54935988	-94.36934071	Texas	0	06/05/2020
1154	Harrison	256	US	27	32.54935988	-94.36934071	Texas	0	06/06/2020
1154	Harrison	256	US	27	32.54935988	-94.36934071	Texas	0	06/07/2020
1154	Harrison	256	US	27	32.54935988	-94.36934071	Texas	0	06/08/2020
1155	Harrison	258	US	28	32.54935988	-94.36934071	Texas	0	06/09/2020
1156	Harrison	259	US	28	32.54935988	-94.36934071	Texas	0	06/10/2020
1157	Harrison	261	US	28	32.54935988	-94.36934071	Texas	0	06/11/2020
1163	Harrison	267	US	28	32.54935988	-94.36934071	Texas	0	06/12/2020
1164	Harrison	268	US	28	32.54935988	-94.36934071	Texas	0	06/13/2020
1164	Harrison	269	US	28	32.54935988	-94.36934071	Texas	0	06/14/2020
1166	Harrison	270	US	28	32.54935988	-94.36934071	Texas	0	06/15/2020
1165	Harrison	269	US	29	32.54935988	-94.36934071	Texas	0	06/16/2020
1167	Harrison	269	US	29	32.54935988	-94.36934071	Texas	0	06/17/2020
1167	Harrison	268	US	30	32.54935988	-94.36934071	Texas	0	06/18/2020
1167	Harrison	268	US	31	32.54935988	-94.36934071	Texas	0	06/19/2020
1171	Harrison	271	US	32	32.54935988	-94.36934071	Texas	0	06/20/2020
1171	Harrison	272	US	32	32.54935988	-94.36934071	Texas	0	06/21/2020
1172	Harrison	274	US	32	32.54935988	-94.36934071	Texas	0	06/22/2020
1172	Harrison	276	US	33	32.54935988	-94.36934071	Texas	0	06/23/2020
1177	Harrison	279	US	33	32.54935988	-94.36934071	Texas	0	06/24/2020
1181	Harrison	281	US	33	32.54935988	-94.36934071	Texas	0	06/25/2020
1181	Harrison	284	US	30	32.54935988	-94.36934071	Texas	0	06/26/2020
1182	Harrison	288	US	30	32.54935988	-94.36934071	Texas	0	06/27/2020
1182	Harrison	288	US	30	32.54935988	-94.36934071	Texas	0	06/28/2020
1182	Harrison	289	US	30	32.54935988	-94.36934071	Texas	0	06/29/2020
1183	Harrison	308	US	30	32.54935988	-94.36934071	Texas	0	06/30/2020
1183	Harrison	314	US	30	32.54935988	-94.36934071	Texas	0	07/01/2020
1184	Harrison	325	US	30	32.54935988	-94.36934071	Texas	0	07/02/2020
1185	Harrison	327	US	30	32.54935988	-94.36934071	Texas	0	07/03/2020
1185	Harrison	332	US	30	32.54935988	-94.36934071	Texas	0	07/04/2020
1185	Harrison	339	US	30	32.54935988	-94.36934071	Texas	0	07/05/2020
1187	Harrison	363	US	30	32.54935988	-94.36934071	Texas	0	07/06/2020
1187	Harrison	383	US	30	32.54935988	-94.36934071	Texas	0	07/07/2020
1188	Harrison	389	US	31	32.54935988	-94.36934071	Texas	0	07/08/2020
1188	Harrison	392	US	31	32.54935988	-94.36934071	Texas	0	07/09/2020
1190	Harrison	398	US	31	32.54935988	-94.36934071	Texas	0	07/10/2020
1190	Harrison	401	US	31	32.54935988	-94.36934071	Texas	0	07/11/2020
1192	Harrison	425	US	31	32.54935988	-94.36934071	Texas	0	07/12/2020
1194	Harrison	429	US	31	32.54935988	-94.36934071	Texas	0	07/13/2020
1195	Harrison	451	US	31	32.54935988	-94.36934071	Texas	0	07/14/2020
1195	Harrison	458	US	31	32.54935988	-94.36934071	Texas	0	07/15/2020
1197	Harrison	487	US	31	32.54935988	-94.36934071	Texas	0	07/16/2020
1197	Harrison	497	US	31	32.54935988	-94.36934071	Texas	0	07/17/2020
1230	Harrison	504	US	33	32.54935988	-94.36934071	Texas	0	07/18/2020
1231	Harrison	505	US	33	32.54935988	-94.36934071	Texas	0	07/19/2020
1206	Harrison	513	US	33	32.54935988	-94.36934071	Texas	0	07/20/2020
1234	Harrison	519	US	33	32.54935988	-94.36934071	Texas	0	07/21/2020
1234	Harrison	527	US	34	32.54935988	-94.36934071	Texas	0	07/22/2020
1235	Harrison	540	US	34	32.54935988	-94.36934071	Texas	0	07/23/2020
1234	Harrison	558	US	34	32.54935988	-94.36934071	Texas	0	07/24/2020
1235	Harrison	562	US	34	32.54935988	-94.36934071	Texas	0	07/25/2020
1236	Harrison	566	US	34	32.54935988	-94.36934071	Texas	0	07/26/2020
1236	Harrison	574	US	22	32.54935988	-94.36934071	Texas	0	07/27/2020
1236	Harrison	589	US	22	32.54935988	-94.36934071	Texas	0	07/28/2020
1237	Harrison	596	US	22	32.54935988	-94.36934071	Texas	0	07/29/2020
1237	Harrison	604	US	22	32.54935988	-94.36934071	Texas	0	07/30/2020
1238	Harrison	609	US	22	32.54935988	-94.36934071	Texas	0	07/31/2020
1238	Harrison	620	US	22	32.54935988	-94.36934071	Texas	0	08/01/2020
1238	Harrison	620	US	22	32.54935988	-94.36934071	Texas	0	08/02/2020
1238	Harrison	624	US	22	32.54935988	-94.36934071	Texas	0	08/03/2020
1238	Harrison	630	US	22	32.54935988	-94.36934071	Texas	0	08/04/2020
1239	Harrison	644	US	22	32.54935988	-94.36934071	Texas	0	08/05/2020
1239	Harrison	659	US	22	32.54935988	-94.36934071	Texas	0	08/06/2020
1239	Harrison	681	US	23	32.54935988	-94.36934071	Texas	0	08/07/2020
1239	Harrison	692	US	23	32.54935988	-94.36934071	Texas	0	08/08/2020
1239	Harrison	693	US	23	32.54935988	-94.36934071	Texas	0	08/09/2020
1239	Harrison	693	US	23	32.54935988	-94.36934071	Texas	0	08/10/2020
3427	Harrison	713	US	23	32.54935988	-94.36934071	Texas	0	08/11/2020
3381	Harrison	711	US	24	32.54935988	-94.36934071	Texas	0	08/12/2020
3383	Harrison	728	US	24	32.54935988	-94.36934071	Texas	0	08/13/2020
3383	Harrison	729	US	24	32.54935988	-94.36934071	Texas	0	08/14/2020
3383	Harrison	735	US	24	32.54935988	-94.36934071	Texas	0	08/15/2020
3383	Harrison	735	US	24	32.54935988	-94.36934071	Texas	0	08/16/2020
3385	Harrison	735	US	24	32.54935988	-94.36934071	Texas	0	08/17/2020
3385	Harrison	749	US	24	32.54935988	-94.36934071	Texas	0	08/18/2020
3387	Harrison	753	US	24	32.54935988	-94.36934071	Texas	0	08/19/2020
3387	Harrison	760	US	26	32.54935988	-94.36934071	Texas	0	08/20/2020
3387	Harrison	772	US	26	32.54935988	-94.36934071	Texas	0	08/21/2020
3388	Harrison	774	US	26	32.54935988	-94.36934071	Texas	0	08/22/2020
3388	Harrison	774	US	26	32.54935988	-94.36934071	Texas	0	08/23/2020
3388	Harrison	774	US	26	32.54935988	-94.36934071	Texas	0	08/24/2020
3388	Harrison	774	US	26	32.54935988	-94.36934071	Texas	0	08/25/2020
3388	Harrison	783	US	26	32.54935988	-94.36934071	Texas	0	08/26/2020
3388	Harrison	787	US	26	32.54935988	-94.36934071	Texas	0	08/27/2020
3388	Harrison	793	US	27	32.54935988	-94.36934071	Texas	0	08/28/2020
3388	Harrison	796	US	27	32.54935988	-94.36934071	Texas	0	08/29/2020
3388	Harrison	796	US	28	32.54935988	-94.36934071	Texas	0	08/30/2020
3392	Harrison	796	US	28	32.54935988	-94.36934071	Texas	0	08/31/2020
3392	Harrison	805	US	28	32.54935988	-94.36934071	Texas	0	09/01/2020
3392	Harrison	809	US	28	32.54935988	-94.36934071	Texas	0	09/02/2020
