	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2824	Texas	US	03/22/2020	31.31925973	-95.42226208	0	0	0	Houston
1303	Texas	US	03/23/2020	31.31925973	-95.42226208	0	0	0	Houston
1303	Texas	US	03/24/2020	31.31925973	-95.42226208	0	0	0	Houston
1303	Texas	US	03/25/2020	31.31925973	-95.42226208	0	0	0	Houston
1302	Texas	US	03/26/2020	31.31925973	-95.42226208	0	0	0	Houston
1302	Texas	US	03/27/2020	31.31925973	-95.42226208	0	0	0	Houston
1302	Texas	US	03/28/2020	31.31925973	-95.42226208	0	0	0	Houston
1302	Texas	US	03/29/2020	31.31925973	-95.42226208	0	0	0	Houston
1302	Texas	US	03/30/2020	31.31925973	-95.42226208	0	0	0	Houston
1118	Texas	US	04/18/2020	31.31925973	-95.42226208	3	0	0	Houston
1128	Texas	US	04/19/2020	31.31925973	-95.42226208	3	0	0	Houston
1132	Texas	US	04/20/2020	31.31925973	-95.42226208	3	0	0	Houston
1137	Texas	US	04/21/2020	31.31925973	-95.42226208	3	0	0	Houston
1141	Texas	US	04/22/2020	31.31925973	-95.42226208	3	0	0	Houston
1149	Texas	US	04/23/2020	31.31925973	-95.42226208	4	0	0	Houston
1151	Texas	US	04/24/2020	31.31925973	-95.42226208	6	0	0	Houston
1151	Texas	US	04/25/2020	31.31925973	-95.42226208	6	0	0	Houston
1156	Texas	US	04/26/2020	31.31925973	-95.42226208	6	0	0	Houston
1158	Texas	US	04/27/2020	31.31925973	-95.42226208	6	0	0	Houston
1163	Texas	US	04/28/2020	31.31925973	-95.42226208	5	0	0	Houston
1165	Texas	US	04/29/2020	31.31925973	-95.42226208	5	0	0	Houston
1171	Texas	US	04/30/2020	31.31925973	-95.42226208	5	0	0	Houston
1177	Texas	US	05/01/2020	31.31925973	-95.42226208	6	0	0	Houston
1180	Texas	US	05/02/2020	31.31925973	-95.42226208	7	0	0	Houston
1182	Texas	US	05/03/2020	31.31925973	-95.42226208	7	0	0	Houston
1184	Texas	US	05/04/2020	31.31925973	-95.42226208	7	0	0	Houston
1189	Texas	US	05/05/2020	31.31925973	-95.42226208	8	0	0	Houston
1192	Texas	US	05/06/2020	31.31925973	-95.42226208	9	0	0	Houston
1195	Texas	US	05/07/2020	31.31925973	-95.42226208	10	0	0	Houston
1199	Texas	US	05/08/2020	31.31925973	-95.42226208	10	0	0	Houston
1199	Texas	US	05/09/2020	31.31925973	-95.42226208	10	0	0	Houston
1200	Texas	US	05/10/2020	31.31925973	-95.42226208	13	0	0	Houston
1200	Texas	US	05/11/2020	31.31925973	-95.42226208	13	0	0	Houston
1201	Texas	US	05/12/2020	31.31925973	-95.42226208	14	0	0	Houston
1201	Texas	US	05/13/2020	31.31925973	-95.42226208	21	0	0	Houston
1202	Texas	US	05/14/2020	31.31925973	-95.42226208	71	0	0	Houston
1206	Texas	US	05/15/2020	31.31925973	-95.42226208	74	0	0	Houston
1207	Texas	US	05/16/2020	31.31925973	-95.42226208	76	0	0	Houston
1208	Texas	US	05/17/2020	31.31925973	-95.42226208	76	0	0	Houston
1209	Texas	US	05/18/2020	31.31925973	-95.42226208	79	0	0	Houston
1211	Texas	US	05/19/2020	31.31925973	-95.42226208	81	0	0	Houston
1214	Texas	US	05/20/2020	31.31925973	-95.42226208	81	0	0	Houston
1214	Texas	US	05/21/2020	31.31925973	-95.42226208	81	0	0	Houston
1219	Texas	US	05/22/2020	31.31925973	-95.42226208	81	0	0	Houston
1219	Texas	US	05/23/2020	31.31925973	-95.42226208	81	0	0	Houston
1221	Texas	US	05/24/2020	31.31925973	-95.42226208	84	0	0	Houston
1221	Texas	US	05/25/2020	31.31925973	-95.42226208	84	0	0	Houston
1221	Texas	US	05/26/2020	31.31925973	-95.42226208	84	0	0	Houston
1222	Texas	US	05/27/2020	31.31925973	-95.42226208	84	0	0	Houston
1222	Texas	US	05/28/2020	31.31925973	-95.42226208	84	0	0	Houston
1224	Texas	US	05/29/2020	31.31925973	-95.42226208	84	0	0	Houston
1225	Texas	US	05/30/2020	31.31925973	-95.42226208	84	0	0	Houston
1226	Texas	US	05/31/2020	31.31925973	-95.42226208	114	0	0	Houston
1228	Texas	US	06/01/2020	31.31925973	-95.42226208	114	0	0	Houston
1230	Texas	US	06/02/2020	31.31925973	-95.42226208	114	0	0	Houston
1231	Texas	US	06/03/2020	31.31925973	-95.42226208	127	0	0	Houston
1232	Texas	US	06/04/2020	31.31925973	-95.42226208	145	0	0	Houston
1234	Texas	US	06/05/2020	31.31925973	-95.42226208	151	0	0	Houston
1234	Texas	US	06/06/2020	31.31925973	-95.42226208	151	0	0	Houston
1234	Texas	US	06/07/2020	31.31925973	-95.42226208	151	0	0	Houston
