	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2827	Texas	US	03/22/2020	33.12351514	-96.08551032	0	0	0	Hunt
1323	Texas	US	03/23/2020	33.12351514	-96.08551032	0	0	0	Hunt
1323	Texas	US	03/24/2020	33.12351514	-96.08551032	1	0	0	Hunt
1323	Texas	US	03/25/2020	33.12351514	-96.08551032	1	0	0	Hunt
1322	Texas	US	03/26/2020	33.12351514	-96.08551032	1	0	0	Hunt
1322	Texas	US	03/27/2020	33.12351514	-96.08551032	1	0	0	Hunt
1322	Texas	US	03/28/2020	33.12351514	-96.08551032	1	0	0	Hunt
1322	Texas	US	03/29/2020	33.12351514	-96.08551032	1	0	0	Hunt
1322	Texas	US	03/30/2020	33.12351514	-96.08551032	3	0	0	Hunt
886	Texas	US	03/31/2020	33.12351514	-96.08551032	4	0	0	Hunt
911	Texas	US	04/01/2020	33.12351514	-96.08551032	6	0	0	Hunt
947	Texas	US	04/02/2020	33.12351514	-96.08551032	8	0	0	Hunt
965	Texas	US	04/03/2020	33.12351514	-96.08551032	8	0	0	Hunt
986	Texas	US	04/04/2020	33.12351514	-96.08551032	8	0	0	Hunt
1023	Texas	US	04/05/2020	33.12351514	-96.08551032	11	0	0	Hunt
1038	Texas	US	04/06/2020	33.12351514	-96.08551032	12	0	0	Hunt
1060	Texas	US	04/07/2020	33.12351514	-96.08551032	14	0	0	Hunt
1072	Texas	US	04/08/2020	33.12351514	-96.08551032	15	0	0	Hunt
1081	Texas	US	04/09/2020	33.12351514	-96.08551032	15	0	0	Hunt
1088	Texas	US	04/10/2020	33.12351514	-96.08551032	16	0	0	Hunt
1100	Texas	US	04/11/2020	33.12351514	-96.08551032	18	0	0	Hunt
1108	Texas	US	04/12/2020	33.12351514	-96.08551032	18	0	0	Hunt
1116	Texas	US	04/13/2020	33.12351514	-96.08551032	21	0	0	Hunt
1119	Texas	US	04/14/2020	33.12351514	-96.08551032	22	2	0	Hunt
1125	Texas	US	04/15/2020	33.12351514	-96.08551032	22	2	0	Hunt
1128	Texas	US	04/16/2020	33.12351514	-96.08551032	22	2	0	Hunt
1129	Texas	US	04/17/2020	33.12351514	-96.08551032	22	2	0	Hunt
1134	Texas	US	04/18/2020	33.12351514	-96.08551032	22	2	0	Hunt
1144	Texas	US	04/19/2020	33.12351514	-96.08551032	22	2	0	Hunt
1148	Texas	US	04/20/2020	33.12351514	-96.08551032	28	2	0	Hunt
1154	Texas	US	04/21/2020	33.12351514	-96.08551032	30	2	0	Hunt
1158	Texas	US	04/22/2020	33.12351514	-96.08551032	30	2	0	Hunt
1166	Texas	US	04/23/2020	33.12351514	-96.08551032	30	2	0	Hunt
1168	Texas	US	04/24/2020	33.12351514	-96.08551032	31	2	0	Hunt
1168	Texas	US	04/25/2020	33.12351514	-96.08551032	31	2	0	Hunt
1173	Texas	US	04/26/2020	33.12351514	-96.08551032	31	3	0	Hunt
1175	Texas	US	04/27/2020	33.12351514	-96.08551032	31	3	0	Hunt
1180	Texas	US	04/28/2020	33.12351514	-96.08551032	31	3	0	Hunt
1182	Texas	US	04/29/2020	33.12351514	-96.08551032	31	3	0	Hunt
1188	Texas	US	04/30/2020	33.12351514	-96.08551032	31	3	0	Hunt
1194	Texas	US	05/01/2020	33.12351514	-96.08551032	32	2	0	Hunt
1197	Texas	US	05/02/2020	33.12351514	-96.08551032	32	2	0	Hunt
1199	Texas	US	05/03/2020	33.12351514	-96.08551032	32	2	0	Hunt
1201	Texas	US	05/04/2020	33.12351514	-96.08551032	33	3	0	Hunt
1206	Texas	US	05/05/2020	33.12351514	-96.08551032	33	3	0	Hunt
1209	Texas	US	05/06/2020	33.12351514	-96.08551032	35	3	0	Hunt
1212	Texas	US	05/07/2020	33.12351514	-96.08551032	36	3	0	Hunt
1216	Texas	US	05/08/2020	33.12351514	-96.08551032	36	3	0	Hunt
1216	Texas	US	05/09/2020	33.12351514	-96.08551032	36	3	0	Hunt
1217	Texas	US	05/10/2020	33.12351514	-96.08551032	36	3	0	Hunt
1217	Texas	US	05/11/2020	33.12351514	-96.08551032	37	3	0	Hunt
1218	Texas	US	05/12/2020	33.12351514	-96.08551032	37	3	0	Hunt
1218	Texas	US	05/13/2020	33.12351514	-96.08551032	37	3	0	Hunt
1219	Texas	US	05/14/2020	33.12351514	-96.08551032	42	3	0	Hunt
1223	Texas	US	05/15/2020	33.12351514	-96.08551032	42	3	0	Hunt
1224	Texas	US	05/16/2020	33.12351514	-96.08551032	42	3	0	Hunt
1225	Texas	US	05/17/2020	33.12351514	-96.08551032	42	3	0	Hunt
1226	Texas	US	05/18/2020	33.12351514	-96.08551032	44	3	0	Hunt
1228	Texas	US	05/19/2020	33.12351514	-96.08551032	45	3	0	Hunt
1231	Texas	US	05/20/2020	33.12351514	-96.08551032	45	3	0	Hunt
1231	Texas	US	05/21/2020	33.12351514	-96.08551032	46	3	0	Hunt
1236	Texas	US	05/22/2020	33.12351514	-96.08551032	46	3	0	Hunt
1237	Texas	US	05/23/2020	33.12351514	-96.08551032	46	3	0	Hunt
1239	Texas	US	05/24/2020	33.12351514	-96.08551032	46	4	0	Hunt
1239	Texas	US	05/25/2020	33.12351514	-96.08551032	46	4	0	Hunt
1240	Texas	US	05/26/2020	33.12351514	-96.08551032	47	4	0	Hunt
1241	Texas	US	05/27/2020	33.12351514	-96.08551032	51	4	0	Hunt
1241	Texas	US	05/28/2020	33.12351514	-96.08551032	54	4	0	Hunt
1244	Texas	US	05/29/2020	33.12351514	-96.08551032	57	4	0	Hunt
1245	Texas	US	05/30/2020	33.12351514	-96.08551032	57	4	0	Hunt
1246	Texas	US	05/31/2020	33.12351514	-96.08551032	57	4	0	Hunt
1248	Texas	US	06/01/2020	33.12351514	-96.08551032	58	4	0	Hunt
1250	Texas	US	06/02/2020	33.12351514	-96.08551032	59	4	0	Hunt
1251	Texas	US	06/03/2020	33.12351514	-96.08551032	64	4	0	Hunt
1252	Texas	US	06/04/2020	33.12351514	-96.08551032	81	4	0	Hunt
1254	Texas	US	06/05/2020	33.12351514	-96.08551032	88	5	0	Hunt
1254	Texas	US	06/06/2020	33.12351514	-96.08551032	91	5	0	Hunt
1254	Texas	US	06/07/2020	33.12351514	-96.08551032	92	5	0	Hunt
1254	Texas	US	06/08/2020	33.12351514	-96.08551032	94	5	0	Hunt
1255	Texas	US	06/09/2020	33.12351514	-96.08551032	106	5	0	Hunt
1256	Texas	US	06/10/2020	33.12351514	-96.08551032	110	5	0	Hunt
1257	Texas	US	06/11/2020	33.12351514	-96.08551032	118	5	0	Hunt
1264	Texas	US	06/12/2020	33.12351514	-96.08551032	126	5	0	Hunt
1265	Texas	US	06/13/2020	33.12351514	-96.08551032	126	5	0	Hunt
1265	Texas	US	06/14/2020	33.12351514	-96.08551032	136	5	0	Hunt
1267	Texas	US	06/15/2020	33.12351514	-96.08551032	143	5	0	Hunt
1266	Texas	US	06/16/2020	33.12351514	-96.08551032	149	5	0	Hunt
1268	Texas	US	06/17/2020	33.12351514	-96.08551032	156	5	0	Hunt
1268	Texas	US	06/18/2020	33.12351514	-96.08551032	163	5	0	Hunt
1268	Texas	US	06/19/2020	33.12351514	-96.08551032	175	5	0	Hunt
1272	Texas	US	06/20/2020	33.12351514	-96.08551032	178	5	0	Hunt
1272	Texas	US	06/21/2020	33.12351514	-96.08551032	182	5	0	Hunt
1273	Texas	US	06/22/2020	33.12351514	-96.08551032	183	5	0	Hunt
1273	Texas	US	06/23/2020	33.12351514	-96.08551032	186	5	0	Hunt
1279	Texas	US	06/24/2020	33.12351514	-96.08551032	188	5	0	Hunt
1283	Texas	US	06/25/2020	33.12351514	-96.08551032	188	5	0	Hunt
1283	Texas	US	06/26/2020	33.12351514	-96.08551032	190	6	0	Hunt
1284	Texas	US	06/27/2020	33.12351514	-96.08551032	193	6	0	Hunt
1284	Texas	US	06/28/2020	33.12351514	-96.08551032	200	6	0	Hunt
1284	Texas	US	06/29/2020	33.12351514	-96.08551032	226	6	0	Hunt
1285	Texas	US	06/30/2020	33.12351514	-96.08551032	229	6	0	Hunt
1285	Texas	US	07/01/2020	33.12351514	-96.08551032	233	6	0	Hunt
1287	Texas	US	07/02/2020	33.12351514	-96.08551032	240	8	0	Hunt
1288	Texas	US	07/03/2020	33.12351514	-96.08551032	246	8	0	Hunt
1288	Texas	US	07/04/2020	33.12351514	-96.08551032	247	8	0	Hunt
1288	Texas	US	07/05/2020	33.12351514	-96.08551032	256	8	0	Hunt
1290	Texas	US	07/06/2020	33.12351514	-96.08551032	261	8	0	Hunt
1290	Texas	US	07/07/2020	33.12351514	-96.08551032	269	8	0	Hunt
1291	Texas	US	07/08/2020	33.12351514	-96.08551032	273	8	0	Hunt
1291	Texas	US	07/09/2020	33.12351514	-96.08551032	276	8	0	Hunt
1293	Texas	US	07/10/2020	33.12351514	-96.08551032	286	8	0	Hunt
1293	Texas	US	07/11/2020	33.12351514	-96.08551032	295	8	0	Hunt
1295	Texas	US	07/12/2020	33.12351514	-96.08551032	299	8	0	Hunt
1297	Texas	US	07/13/2020	33.12351514	-96.08551032	306	8	0	Hunt
1298	Texas	US	07/14/2020	33.12351514	-96.08551032	310	8	0	Hunt
1298	Texas	US	07/15/2020	33.12351514	-96.08551032	315	8	0	Hunt
1300	Texas	US	07/16/2020	33.12351514	-96.08551032	317	8	0	Hunt
1300	Texas	US	07/17/2020	33.12351514	-96.08551032	318	8	0	Hunt
1336	Texas	US	07/18/2020	33.12351514	-96.08551032	324	8	0	Hunt
1337	Texas	US	07/19/2020	33.12351514	-96.08551032	332	8	0	Hunt
1309	Texas	US	07/20/2020	33.12351514	-96.08551032	337	8	0	Hunt
1340	Texas	US	07/21/2020	33.12351514	-96.08551032	341	8	0	Hunt
1340	Texas	US	07/22/2020	33.12351514	-96.08551032	345	8	0	Hunt
1341	Texas	US	07/23/2020	33.12351514	-96.08551032	348	8	0	Hunt
1340	Texas	US	07/24/2020	33.12351514	-96.08551032	351	8	0	Hunt
1341	Texas	US	07/25/2020	33.12351514	-96.08551032	353	8	0	Hunt
1342	Texas	US	07/26/2020	33.12351514	-96.08551032	355	8	0	Hunt
1342	Texas	US	07/27/2020	33.12351514	-96.08551032	361	16	0	Hunt
1342	Texas	US	07/28/2020	33.12351514	-96.08551032	376	17	0	Hunt
1343	Texas	US	07/29/2020	33.12351514	-96.08551032	377	19	0	Hunt
1343	Texas	US	07/30/2020	33.12351514	-96.08551032	380	20	0	Hunt
1344	Texas	US	07/31/2020	33.12351514	-96.08551032	384	20	0	Hunt
1344	Texas	US	08/01/2020	33.12351514	-96.08551032	386	20	0	Hunt
1344	Texas	US	08/02/2020	33.12351514	-96.08551032	389	20	0	Hunt
1344	Texas	US	08/03/2020	33.12351514	-96.08551032	389	20	0	Hunt
1344	Texas	US	08/04/2020	33.12351514	-96.08551032	415	20	0	Hunt
1345	Texas	US	08/05/2020	33.12351514	-96.08551032	426	21	0	Hunt
1345	Texas	US	08/06/2020	33.12351514	-96.08551032	432	21	0	Hunt
1345	Texas	US	08/07/2020	33.12351514	-96.08551032	433	21	0	Hunt
1345	Texas	US	08/08/2020	33.12351514	-96.08551032	460	21	0	Hunt
1345	Texas	US	08/09/2020	33.12351514	-96.08551032	479	21	0	Hunt
1345	Texas	US	08/10/2020	33.12351514	-96.08551032	495	21	0	Hunt
3440	Texas	US	08/11/2020	33.12351514	-96.08551032	515	21	0	Hunt
3394	Texas	US	08/12/2020	33.12351514	-96.08551032	523	21	0	Hunt
3396	Texas	US	08/13/2020	33.12351514	-96.08551032	531	21	0	Hunt
3396	Texas	US	08/14/2020	33.12351514	-96.08551032	566	21	0	Hunt
3396	Texas	US	08/15/2020	33.12351514	-96.08551032	579	21	0	Hunt
3396	Texas	US	08/16/2020	33.12351514	-96.08551032	579	21	0	Hunt
3398	Texas	US	08/17/2020	33.12351514	-96.08551032	592	21	0	Hunt
3398	Texas	US	08/18/2020	33.12351514	-96.08551032	609	21	0	Hunt
3400	Texas	US	08/19/2020	33.12351514	-96.08551032	610	23	0	Hunt
3400	Texas	US	08/20/2020	33.12351514	-96.08551032	613	23	0	Hunt
3400	Texas	US	08/21/2020	33.12351514	-96.08551032	617	24	0	Hunt
3401	Texas	US	08/22/2020	33.12351514	-96.08551032	622	24	0	Hunt
3401	Texas	US	08/23/2020	33.12351514	-96.08551032	635	25	0	Hunt
3401	Texas	US	08/24/2020	33.12351514	-96.08551032	642	25	0	Hunt
3401	Texas	US	08/25/2020	33.12351514	-96.08551032	650	25	0	Hunt
3401	Texas	US	08/26/2020	33.12351514	-96.08551032	653	26	0	Hunt
3401	Texas	US	08/27/2020	33.12351514	-96.08551032	673	27	0	Hunt
3401	Texas	US	08/28/2020	33.12351514	-96.08551032	694	29	0	Hunt
3401	Texas	US	08/29/2020	33.12351514	-96.08551032	700	29	0	Hunt
3401	Texas	US	08/30/2020	33.12351514	-96.08551032	704	29	0	Hunt
3405	Texas	US	08/31/2020	33.12351514	-96.08551032	715	29	0	Hunt
3405	Texas	US	09/01/2020	33.12351514	-96.08551032	721	29	0	Hunt
3405	Texas	US	09/02/2020	33.12351514	-96.08551032	730	30	0	Hunt
3405	Texas	US	09/03/2020	33.12351514	-96.08551032	733	30	0	Hunt
3405	Texas	US	09/04/2020	33.12351514	-96.08551032	733	31	0	Hunt
3405	Texas	US	09/05/2020	33.12351514	-96.08551032	738	32	0	Hunt
3405	Texas	US	09/06/2020	33.12351514	-96.08551032	743	32	0	Hunt
3405	Texas	US	09/07/2020	33.12351514	-96.08551032	753	32	0	Hunt
3405	Texas	US	09/08/2020	33.12351514	-96.08551032	754	32	0	Hunt
3405	Texas	US	09/09/2020	33.12351514	-96.08551032	756	32	0	Hunt
3405	Texas	US	09/10/2020	33.12351514	-96.08551032	763	32	0	Hunt
3405	Texas	US	09/11/2020	33.12351514	-96.08551032	764	32	0	Hunt
3405	Texas	US	09/12/2020	33.12351514	-96.08551032	770	32	0	Hunt
3405	Texas	US	09/13/2020	33.12351514	-96.08551032	777	32	0	Hunt
3405	Texas	US	09/14/2020	33.12351514	-96.08551032	788	33	0	Hunt
3405	Texas	US	09/15/2020	33.12351514	-96.08551032	789	33	0	Hunt
