	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2832	Texas	US	03/22/2020	30.74685667	-94.02667579	0	0	0	Jasper
1396	Texas	US	03/23/2020	30.74685667	-94.02667579	0	0	0	Jasper
1396	Texas	US	03/24/2020	30.74685667	-94.02667579	0	0	0	Jasper
1396	Texas	US	03/25/2020	30.74685667	-94.02667579	0	0	0	Jasper
1395	Texas	US	03/26/2020	30.74685667	-94.02667579	0	0	0	Jasper
1395	Texas	US	03/27/2020	30.74685667	-94.02667579	0	0	0	Jasper
1395	Texas	US	03/28/2020	30.74685667	-94.02667579	0	0	0	Jasper
1395	Texas	US	03/29/2020	30.74685667	-94.02667579	0	0	0	Jasper
1395	Texas	US	03/30/2020	30.74685667	-94.02667579	1	0	0	Jasper
941	Texas	US	03/31/2020	30.74685667	-94.02667579	1	0	0	Jasper
967	Texas	US	04/01/2020	30.74685667	-94.02667579	1	0	0	Jasper
1003	Texas	US	04/02/2020	30.74685667	-94.02667579	2	0	0	Jasper
1022	Texas	US	04/03/2020	30.74685667	-94.02667579	3	0	0	Jasper
1045	Texas	US	04/04/2020	30.74685667	-94.02667579	3	0	0	Jasper
1082	Texas	US	04/05/2020	30.74685667	-94.02667579	3	0	0	Jasper
1097	Texas	US	04/06/2020	30.74685667	-94.02667579	3	1	0	Jasper
1120	Texas	US	04/07/2020	30.74685667	-94.02667579	3	1	0	Jasper
1133	Texas	US	04/08/2020	30.74685667	-94.02667579	3	1	0	Jasper
1144	Texas	US	04/09/2020	30.74685667	-94.02667579	3	1	0	Jasper
1151	Texas	US	04/10/2020	30.74685667	-94.02667579	6	1	0	Jasper
1164	Texas	US	04/11/2020	30.74685667	-94.02667579	7	1	0	Jasper
1172	Texas	US	04/12/2020	30.74685667	-94.02667579	7	1	0	Jasper
1181	Texas	US	04/13/2020	30.74685667	-94.02667579	7	0	0	Jasper
1185	Texas	US	04/14/2020	30.74685667	-94.02667579	7	1	0	Jasper
1191	Texas	US	04/15/2020	30.74685667	-94.02667579	7	1	0	Jasper
1194	Texas	US	04/16/2020	30.74685667	-94.02667579	7	1	0	Jasper
1194	Texas	US	04/17/2020	30.74685667	-94.02667579	7	1	0	Jasper
1199	Texas	US	04/18/2020	30.74685667	-94.02667579	9	1	0	Jasper
1209	Texas	US	04/19/2020	30.74685667	-94.02667579	9	1	0	Jasper
1213	Texas	US	04/20/2020	30.74685667	-94.02667579	9	1	0	Jasper
1219	Texas	US	04/21/2020	30.74685667	-94.02667579	13	1	0	Jasper
1223	Texas	US	04/22/2020	30.74685667	-94.02667579	13	1	0	Jasper
