	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2841	Texas	US	03/22/2020	30.06040006	-99.34930144	0	0	0	Kerr
1496	Texas	US	03/23/2020	30.06040006	-99.34930144	0	0	0	Kerr
1496	Texas	US	03/24/2020	30.06040006	-99.34930144	0	0	0	Kerr
1496	Texas	US	03/25/2020	30.06040006	-99.34930144	0	0	0	Kerr
1495	Texas	US	03/26/2020	30.06040006	-99.34930144	0	0	0	Kerr
1495	Texas	US	03/27/2020	30.06040006	-99.34930144	0	0	0	Kerr
1495	Texas	US	03/28/2020	30.06040006	-99.34930144	0	0	0	Kerr
1495	Texas	US	03/29/2020	30.06040006	-99.34930144	0	0	0	Kerr
1495	Texas	US	03/30/2020	30.06040006	-99.34930144	0	0	0	Kerr
1010	Texas	US	03/31/2020	30.06040006	-99.34930144	1	0	0	Kerr
1037	Texas	US	04/01/2020	30.06040006	-99.34930144	0	0	0	Kerr
1076	Texas	US	04/02/2020	30.06040006	-99.34930144	1	0	0	Kerr
1095	Texas	US	04/03/2020	30.06040006	-99.34930144	1	0	0	Kerr
1121	Texas	US	04/04/2020	30.06040006	-99.34930144	1	0	0	Kerr
1161	Texas	US	04/05/2020	30.06040006	-99.34930144	1	0	0	Kerr
1176	Texas	US	04/06/2020	30.06040006	-99.34930144	1	0	0	Kerr
1201	Texas	US	04/07/2020	30.06040006	-99.34930144	1	0	0	Kerr
1216	Texas	US	04/08/2020	30.06040006	-99.34930144	1	0	0	Kerr
1229	Texas	US	04/09/2020	30.06040006	-99.34930144	1	0	0	Kerr
1236	Texas	US	04/10/2020	30.06040006	-99.34930144	1	0	0	Kerr
1249	Texas	US	04/11/2020	30.06040006	-99.34930144	1	0	0	Kerr
1258	Texas	US	04/12/2020	30.06040006	-99.34930144	2	0	0	Kerr
1268	Texas	US	04/13/2020	30.06040006	-99.34930144	2	0	0	Kerr
1274	Texas	US	04/14/2020	30.06040006	-99.34930144	2	0	0	Kerr
1280	Texas	US	04/15/2020	30.06040006	-99.34930144	2	0	0	Kerr
1283	Texas	US	04/16/2020	30.06040006	-99.34930144	2	0	0	Kerr
1282	Texas	US	04/17/2020	30.06040006	-99.34930144	2	0	0	Kerr
1287	Texas	US	04/18/2020	30.06040006	-99.34930144	2	0	0	Kerr
1297	Texas	US	04/19/2020	30.06040006	-99.34930144	2	0	0	Kerr
1301	Texas	US	04/20/2020	30.06040006	-99.34930144	2	0	0	Kerr
1307	Texas	US	04/21/2020	30.06040006	-99.34930144	2	0	0	Kerr
1311	Texas	US	04/22/2020	30.06040006	-99.34930144	2	0	0	Kerr
1320	Texas	US	04/23/2020	30.06040006	-99.34930144	2	0	0	Kerr
1322	Texas	US	04/24/2020	30.06040006	-99.34930144	2	0	0	Kerr
1323	Texas	US	04/25/2020	30.06040006	-99.34930144	2	0	0	Kerr
1329	Texas	US	04/26/2020	30.06040006	-99.34930144	2	0	0	Kerr
1331	Texas	US	04/27/2020	30.06040006	-99.34930144	2	0	0	Kerr
1336	Texas	US	04/28/2020	30.06040006	-99.34930144	2	0	0	Kerr
1338	Texas	US	04/29/2020	30.06040006	-99.34930144	2	0	0	Kerr
1344	Texas	US	04/30/2020	30.06040006	-99.34930144	2	0	0	Kerr
1351	Texas	US	05/01/2020	30.06040006	-99.34930144	2	0	0	Kerr
1355	Texas	US	05/02/2020	30.06040006	-99.34930144	2	0	0	Kerr
1357	Texas	US	05/03/2020	30.06040006	-99.34930144	2	0	0	Kerr
1359	Texas	US	05/04/2020	30.06040006	-99.34930144	2	0	0	Kerr
1364	Texas	US	05/05/2020	30.06040006	-99.34930144	2	0	0	Kerr
1367	Texas	US	05/06/2020	30.06040006	-99.34930144	2	0	0	Kerr
1370	Texas	US	05/07/2020	30.06040006	-99.34930144	3	0	0	Kerr
1374	Texas	US	05/08/2020	30.06040006	-99.34930144	3	0	0	Kerr
1374	Texas	US	05/09/2020	30.06040006	-99.34930144	3	0	0	Kerr
1375	Texas	US	05/10/2020	30.06040006	-99.34930144	3	0	0	Kerr
1375	Texas	US	05/11/2020	30.06040006	-99.34930144	3	0	0	Kerr
1377	Texas	US	05/12/2020	30.06040006	-99.34930144	3	0	0	Kerr
