	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2857	Texas	US	03/22/2020	33.17657705	-101.8162849	0	0	0	Lynn
1739	Texas	US	03/23/2020	33.17657705	-101.8162849	0	0	0	Lynn
1739	Texas	US	03/24/2020	33.17657705	-101.8162849	0	0	0	Lynn
1739	Texas	US	03/25/2020	33.17657705	-101.8162849	0	0	0	Lynn
1738	Texas	US	03/26/2020	33.17657705	-101.8162849	0	0	0	Lynn
1738	Texas	US	03/27/2020	33.17657705	-101.8162849	0	0	0	Lynn
1738	Texas	US	03/28/2020	33.17657705	-101.8162849	1	0	0	Lynn
1738	Texas	US	03/29/2020	33.17657705	-101.8162849	2	0	0	Lynn
1738	Texas	US	03/30/2020	33.17657705	-101.8162849	2	0	0	Lynn
1168	Texas	US	03/31/2020	33.17657705	-101.8162849	2	0	0	Lynn
1199	Texas	US	04/01/2020	33.17657705	-101.8162849	2	0	0	Lynn
1246	Texas	US	04/02/2020	33.17657705	-101.8162849	3	0	0	Lynn
1270	Texas	US	04/03/2020	33.17657705	-101.8162849	3	0	0	Lynn
1300	Texas	US	04/04/2020	33.17657705	-101.8162849	3	0	0	Lynn
1344	Texas	US	04/05/2020	33.17657705	-101.8162849	3	0	0	Lynn
1365	Texas	US	04/06/2020	33.17657705	-101.8162849	3	0	0	Lynn
1395	Texas	US	04/07/2020	33.17657705	-101.8162849	4	0	0	Lynn
1410	Texas	US	04/08/2020	33.17657705	-101.8162849	4	0	0	Lynn
1426	Texas	US	04/09/2020	33.17657705	-101.8162849	4	0	0	Lynn
1433	Texas	US	04/10/2020	33.17657705	-101.8162849	5	0	0	Lynn
1449	Texas	US	04/11/2020	33.17657705	-101.8162849	5	0	0	Lynn
1461	Texas	US	04/12/2020	33.17657705	-101.8162849	5	0	0	Lynn
1471	Texas	US	04/13/2020	33.17657705	-101.8162849	5	0	0	Lynn
1477	Texas	US	04/14/2020	33.17657705	-101.8162849	5	0	0	Lynn
1485	Texas	US	04/15/2020	33.17657705	-101.8162849	5	0	0	Lynn
1490	Texas	US	04/16/2020	33.17657705	-101.8162849	5	0	0	Lynn
1489	Texas	US	04/17/2020	33.17657705	-101.8162849	5	0	0	Lynn
1495	Texas	US	04/18/2020	33.17657705	-101.8162849	5	0	0	Lynn
1505	Texas	US	04/19/2020	33.17657705	-101.8162849	5	0	0	Lynn
1509	Texas	US	04/20/2020	33.17657705	-101.8162849	5	0	0	Lynn
1516	Texas	US	04/21/2020	33.17657705	-101.8162849	5	0	0	Lynn
