	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2861	Texas	US	03/22/2020	30.71780434	-99.22629416	0	0	0	Mason
1835	Texas	US	03/23/2020	30.71780434	-99.22629416	0	0	0	Mason
1835	Texas	US	03/24/2020	30.71780434	-99.22629416	0	0	0	Mason
1835	Texas	US	03/25/2020	30.71780434	-99.22629416	0	0	0	Mason
1834	Texas	US	03/26/2020	30.71780434	-99.22629416	0	0	0	Mason
1834	Texas	US	03/27/2020	30.71780434	-99.22629416	0	0	0	Mason
1834	Texas	US	03/28/2020	30.71780434	-99.22629416	0	0	0	Mason
1834	Texas	US	03/29/2020	30.71780434	-99.22629416	0	0	0	Mason
1834	Texas	US	03/30/2020	30.71780434	-99.22629416	0	0	0	Mason
1381	Texas	US	04/04/2020	30.71780434	-99.22629416	2	0	0	Mason
1427	Texas	US	04/05/2020	30.71780434	-99.22629416	2	0	0	Mason
1449	Texas	US	04/06/2020	30.71780434	-99.22629416	2	0	0	Mason
1481	Texas	US	04/07/2020	30.71780434	-99.22629416	2	0	0	Mason
1496	Texas	US	04/08/2020	30.71780434	-99.22629416	2	0	0	Mason
1514	Texas	US	04/09/2020	30.71780434	-99.22629416	2	0	0	Mason
1521	Texas	US	04/10/2020	30.71780434	-99.22629416	2	0	0	Mason
1538	Texas	US	04/11/2020	30.71780434	-99.22629416	2	0	0	Mason
1550	Texas	US	04/12/2020	30.71780434	-99.22629416	2	0	0	Mason
1560	Texas	US	04/13/2020	30.71780434	-99.22629416	2	0	0	Mason
1566	Texas	US	04/14/2020	30.71780434	-99.22629416	2	0	0	Mason
1574	Texas	US	04/15/2020	30.71780434	-99.22629416	2	0	0	Mason
1580	Texas	US	04/16/2020	30.71780434	-99.22629416	2	0	0	Mason
1579	Texas	US	04/17/2020	30.71780434	-99.22629416	2	0	0	Mason
1585	Texas	US	04/18/2020	30.71780434	-99.22629416	2	0	0	Mason
1596	Texas	US	04/19/2020	30.71780434	-99.22629416	2	0	0	Mason
1600	Texas	US	04/20/2020	30.71780434	-99.22629416	2	0	0	Mason
1608	Texas	US	04/21/2020	30.71780434	-99.22629416	2	0	0	Mason
1613	Texas	US	04/22/2020	30.71780434	-99.22629416	2	0	0	Mason
1623	Texas	US	04/23/2020	30.71780434	-99.22629416	2	0	0	Mason
1625	Texas	US	04/24/2020	30.71780434	-99.22629416	2	0	0	Mason
1628	Texas	US	04/25/2020	30.71780434	-99.22629416	6	0	0	Mason
1634	Texas	US	04/26/2020	30.71780434	-99.22629416	7	0	0	Mason
1636	Texas	US	04/27/2020	30.71780434	-99.22629416	9	0	0	Mason
1642	Texas	US	04/28/2020	30.71780434	-99.22629416	13	0	0	Mason
1645	Texas	US	04/29/2020	30.71780434	-99.22629416	17	0	0	Mason
1651	Texas	US	04/30/2020	30.71780434	-99.22629416	21	0	0	Mason
1659	Texas	US	05/01/2020	30.71780434	-99.22629416	26	0	0	Mason
1663	Texas	US	05/02/2020	30.71780434	-99.22629416	26	0	0	Mason
1665	Texas	US	05/03/2020	30.71780434	-99.22629416	26	0	0	Mason
1667	Texas	US	05/04/2020	30.71780434	-99.22629416	27	0	0	Mason
1673	Texas	US	05/05/2020	30.71780434	-99.22629416	28	0	0	Mason
1676	Texas	US	05/06/2020	30.71780434	-99.22629416	30	0	0	Mason
1680	Texas	US	05/07/2020	30.71780434	-99.22629416	30	0	0	Mason
1685	Texas	US	05/08/2020	30.71780434	-99.22629416	30	0	0	Mason
1686	Texas	US	05/09/2020	30.71780434	-99.22629416	30	0	0	Mason
1687	Texas	US	05/10/2020	30.71780434	-99.22629416	30	0	0	Mason
1687	Texas	US	05/11/2020	30.71780434	-99.22629416	30	0	0	Mason
