	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
349	Texas	US	03/22/2020	29.3557301	-99.11030298	1	0	0	Medina
1886	Texas	US	03/23/2020	29.3557301	-99.11030298	1	0	0	Medina
1886	Texas	US	03/24/2020	29.3557301	-99.11030298	1	0	0	Medina
1886	Texas	US	03/25/2020	29.3557301	-99.11030298	1	0	0	Medina
1885	Texas	US	03/26/2020	29.3557301	-99.11030298	1	0	0	Medina
1885	Texas	US	03/27/2020	29.3557301	-99.11030298	3	0	0	Medina
1885	Texas	US	03/28/2020	29.3557301	-99.11030298	3	0	0	Medina
1885	Texas	US	03/29/2020	29.3557301	-99.11030298	3	0	0	Medina
1885	Texas	US	03/30/2020	29.3557301	-99.11030298	3	0	0	Medina
1272	Texas	US	03/31/2020	29.3557301	-99.11030298	3	0	0	Medina
1306	Texas	US	04/01/2020	29.3557301	-99.11030298	3	0	0	Medina
1358	Texas	US	04/02/2020	29.3557301	-99.11030298	3	0	0	Medina
1387	Texas	US	04/03/2020	29.3557301	-99.11030298	3	0	0	Medina
1423	Texas	US	04/04/2020	29.3557301	-99.11030298	3	0	0	Medina
1470	Texas	US	04/05/2020	29.3557301	-99.11030298	4	0	0	Medina
1492	Texas	US	04/06/2020	29.3557301	-99.11030298	4	0	0	Medina
1526	Texas	US	04/07/2020	29.3557301	-99.11030298	6	0	0	Medina
1541	Texas	US	04/08/2020	29.3557301	-99.11030298	7	0	0	Medina
1559	Texas	US	04/09/2020	29.3557301	-99.11030298	9	1	0	Medina
1566	Texas	US	04/10/2020	29.3557301	-99.11030298	10	1	0	Medina
1584	Texas	US	04/11/2020	29.3557301	-99.11030298	12	1	0	Medina
1596	Texas	US	04/12/2020	29.3557301	-99.11030298	13	1	0	Medina
1606	Texas	US	04/13/2020	29.3557301	-99.11030298	13	1	0	Medina
1612	Texas	US	04/14/2020	29.3557301	-99.11030298	13	1	0	Medina
1620	Texas	US	04/15/2020	29.3557301	-99.11030298	13	1	0	Medina
1626	Texas	US	04/16/2020	29.3557301	-99.11030298	15	2	0	Medina
1625	Texas	US	04/17/2020	29.3557301	-99.11030298	15	2	0	Medina
1631	Texas	US	04/18/2020	29.3557301	-99.11030298	15	2	0	Medina
1639	Texas	US	04/19/2020	29.3557301	-99.11030298	15	2	0	Medina
1646	Texas	US	04/20/2020	29.3557301	-99.11030298	15	2	0	Medina
1654	Texas	US	04/21/2020	29.3557301	-99.11030298	15	2	0	Medina
1659	Texas	US	04/22/2020	29.3557301	-99.11030298	17	2	0	Medina
1669	Texas	US	04/23/2020	29.3557301	-99.11030298	17	2	0	Medina
1672	Texas	US	04/24/2020	29.3557301	-99.11030298	17	2	0	Medina
1676	Texas	US	04/25/2020	29.3557301	-99.11030298	19	2	0	Medina
1682	Texas	US	04/26/2020	29.3557301	-99.11030298	19	2	0	Medina
1684	Texas	US	04/27/2020	29.3557301	-99.11030298	19	2	0	Medina
1690	Texas	US	04/28/2020	29.3557301	-99.11030298	19	2	0	Medina
1693	Texas	US	04/29/2020	29.3557301	-99.11030298	19	2	0	Medina
1699	Texas	US	04/30/2020	29.3557301	-99.11030298	20	2	0	Medina
1707	Texas	US	05/01/2020	29.3557301	-99.11030298	20	2	0	Medina
1711	Texas	US	05/02/2020	29.3557301	-99.11030298	20	2	0	Medina
1713	Texas	US	05/03/2020	29.3557301	-99.11030298	20	2	0	Medina
1715	Texas	US	05/04/2020	29.3557301	-99.11030298	20	2	0	Medina
1721	Texas	US	05/05/2020	29.3557301	-99.11030298	20	2	0	Medina
1725	Texas	US	05/06/2020	29.3557301	-99.11030298	20	2	0	Medina
1729	Texas	US	05/07/2020	29.3557301	-99.11030298	21	2	0	Medina
1734	Texas	US	05/08/2020	29.3557301	-99.11030298	22	2	0	Medina
1735	Texas	US	05/09/2020	29.3557301	-99.11030298	22	2	0	Medina
1736	Texas	US	05/10/2020	29.3557301	-99.11030298	31	2	0	Medina
1736	Texas	US	05/11/2020	29.3557301	-99.11030298	32	2	0	Medina
1738	Texas	US	05/12/2020	29.3557301	-99.11030298	38	2	0	Medina
1738	Texas	US	05/13/2020	29.3557301	-99.11030298	45	2	0	Medina
1739	Texas	US	05/14/2020	29.3557301	-99.11030298	47	2	0	Medina
1743	Texas	US	05/15/2020	29.3557301	-99.11030298	48	2	0	Medina
1746	Texas	US	05/16/2020	29.3557301	-99.11030298	49	2	0	Medina
1748	Texas	US	05/17/2020	29.3557301	-99.11030298	50	2	0	Medina
1749	Texas	US	05/18/2020	29.3557301	-99.11030298	58	2	0	Medina
1751	Texas	US	05/19/2020	29.3557301	-99.11030298	59	2	0	Medina
1756	Texas	US	05/20/2020	29.3557301	-99.11030298	60	2	0	Medina
1757	Texas	US	05/21/2020	29.3557301	-99.11030298	64	2	0	Medina
1762	Texas	US	05/22/2020	29.3557301	-99.11030298	64	2	0	Medina
1764	Texas	US	05/23/2020	29.3557301	-99.11030298	64	2	0	Medina
1767	Texas	US	05/24/2020	29.3557301	-99.11030298	67	2	0	Medina
1767	Texas	US	05/25/2020	29.3557301	-99.11030298	67	2	0	Medina
