	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2868	Texas	US	03/22/2020	33.67521893	-97.72500958	0	0	0	Montague
1974	Texas	US	03/23/2020	33.67521893	-97.72500958	0	0	0	Montague
1974	Texas	US	03/24/2020	33.67521893	-97.72500958	0	0	0	Montague
1974	Texas	US	03/25/2020	33.67521893	-97.72500958	0	0	0	Montague
1973	Texas	US	03/26/2020	33.67521893	-97.72500958	0	0	0	Montague
1973	Texas	US	03/27/2020	33.67521893	-97.72500958	1	0	0	Montague
1973	Texas	US	03/28/2020	33.67521893	-97.72500958	1	0	0	Montague
1973	Texas	US	03/29/2020	33.67521893	-97.72500958	1	0	0	Montague
1973	Texas	US	03/30/2020	33.67521893	-97.72500958	1	0	0	Montague
1327	Texas	US	03/31/2020	33.67521893	-97.72500958	1	0	0	Montague
1363	Texas	US	04/01/2020	33.67521893	-97.72500958	1	0	0	Montague
1417	Texas	US	04/02/2020	33.67521893	-97.72500958	1	0	0	Montague
1448	Texas	US	04/03/2020	33.67521893	-97.72500958	1	0	0	Montague
1487	Texas	US	04/04/2020	33.67521893	-97.72500958	1	0	0	Montague
1537	Texas	US	04/05/2020	33.67521893	-97.72500958	1	0	0	Montague
1559	Texas	US	04/06/2020	33.67521893	-97.72500958	1	0	0	Montague
1595	Texas	US	04/07/2020	33.67521893	-97.72500958	1	0	0	Montague
1610	Texas	US	04/08/2020	33.67521893	-97.72500958	1	0	0	Montague
1629	Texas	US	04/09/2020	33.67521893	-97.72500958	1	0	0	Montague
1639	Texas	US	04/10/2020	33.67521893	-97.72500958	1	0	0	Montague
1657	Texas	US	04/11/2020	33.67521893	-97.72500958	2	0	0	Montague
1669	Texas	US	04/12/2020	33.67521893	-97.72500958	2	0	0	Montague
1681	Texas	US	04/13/2020	33.67521893	-97.72500958	2	0	0	Montague
1687	Texas	US	04/14/2020	33.67521893	-97.72500958	5	0	0	Montague
1695	Texas	US	04/15/2020	33.67521893	-97.72500958	5	0	0	Montague
1701	Texas	US	04/16/2020	33.67521893	-97.72500958	5	0	0	Montague
1702	Texas	US	04/17/2020	33.67521893	-97.72500958	5	0	0	Montague
1708	Texas	US	04/18/2020	33.67521893	-97.72500958	5	0	0	Montague
1716	Texas	US	04/19/2020	33.67521893	-97.72500958	5	0	0	Montague
1723	Texas	US	04/20/2020	33.67521893	-97.72500958	5	0	0	Montague
1731	Texas	US	04/21/2020	33.67521893	-97.72500958	6	1	0	Montague
1738	Texas	US	04/22/2020	33.67521893	-97.72500958	6	1	0	Montague
1748	Texas	US	04/23/2020	33.67521893	-97.72500958	6	1	0	Montague
1751	Texas	US	04/24/2020	33.67521893	-97.72500958	6	1	0	Montague
1755	Texas	US	04/25/2020	33.67521893	-97.72500958	6	1	0	Montague
1761	Texas	US	04/26/2020	33.67521893	-97.72500958	6	1	0	Montague
1763	Texas	US	04/27/2020	33.67521893	-97.72500958	6	1	0	Montague
1770	Texas	US	04/28/2020	33.67521893	-97.72500958	6	1	0	Montague
1773	Texas	US	04/29/2020	33.67521893	-97.72500958	6	1	0	Montague
1779	Texas	US	04/30/2020	33.67521893	-97.72500958	6	1	0	Montague
1787	Texas	US	05/01/2020	33.67521893	-97.72500958	6	1	0	Montague
1791	Texas	US	05/02/2020	33.67521893	-97.72500958	6	1	0	Montague
1794	Texas	US	05/03/2020	33.67521893	-97.72500958	6	1	0	Montague
1796	Texas	US	05/04/2020	33.67521893	-97.72500958	7	1	0	Montague
1802	Texas	US	05/05/2020	33.67521893	-97.72500958	8	1	0	Montague
1806	Texas	US	05/06/2020	33.67521893	-97.72500958	9	1	0	Montague
1810	Texas	US	05/07/2020	33.67521893	-97.72500958	9	1	0	Montague
1815	Texas	US	05/08/2020	33.67521893	-97.72500958	9	1	0	Montague
1816	Texas	US	05/09/2020	33.67521893	-97.72500958	9	1	0	Montague
1817	Texas	US	05/10/2020	33.67521893	-97.72500958	9	1	0	Montague
1817	Texas	US	05/11/2020	33.67521893	-97.72500958	9	1	0	Montague
1820	Texas	US	05/12/2020	33.67521893	-97.72500958	9	1	0	Montague
1820	Texas	US	05/13/2020	33.67521893	-97.72500958	9	1	0	Montague
1821	Texas	US	05/14/2020	33.67521893	-97.72500958	9	1	0	Montague
1825	Texas	US	05/15/2020	33.67521893	-97.72500958	9	1	0	Montague
1828	Texas	US	05/16/2020	33.67521893	-97.72500958	9	1	0	Montague
1830	Texas	US	05/17/2020	33.67521893	-97.72500958	9	1	0	Montague
1831	Texas	US	05/18/2020	33.67521893	-97.72500958	9	1	0	Montague
1833	Texas	US	05/19/2020	33.67521893	-97.72500958	9	1	0	Montague
1838	Texas	US	05/20/2020	33.67521893	-97.72500958	9	1	0	Montague
1839	Texas	US	05/21/2020	33.67521893	-97.72500958	9	1	0	Montague
1844	Texas	US	05/22/2020	33.67521893	-97.72500958	9	1	0	Montague
1846	Texas	US	05/23/2020	33.67521893	-97.72500958	9	1	0	Montague
1849	Texas	US	05/24/2020	33.67521893	-97.72500958	9	1	0	Montague
1849	Texas	US	05/25/2020	33.67521893	-97.72500958	9	1	0	Montague
1850	Texas	US	05/26/2020	33.67521893	-97.72500958	9	1	0	Montague
1852	Texas	US	05/27/2020	33.67521893	-97.72500958	9	1	0	Montague
1853	Texas	US	05/28/2020	33.67521893	-97.72500958	9	1	0	Montague
1856	Texas	US	05/29/2020	33.67521893	-97.72500958	9	1	0	Montague
1858	Texas	US	05/30/2020	33.67521893	-97.72500958	9	1	0	Montague
1859	Texas	US	05/31/2020	33.67521893	-97.72500958	9	1	0	Montague
1861	Texas	US	06/01/2020	33.67521893	-97.72500958	9	1	0	Montague
1865	Texas	US	06/02/2020	33.67521893	-97.72500958	9	1	0	Montague
1866	Texas	US	06/03/2020	33.67521893	-97.72500958	9	1	0	Montague
1867	Texas	US	06/04/2020	33.67521893	-97.72500958	9	1	0	Montague
