	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
351	Texas	US	03/22/2020	27.736286	-97.5433285	1	0	0	Nueces
2107	Texas	US	03/23/2020	27.736286	-97.5433285	1	0	0	Nueces
2107	Texas	US	03/24/2020	27.736286	-97.5433285	6	0	0	Nueces
2107	Texas	US	03/25/2020	27.736286	-97.5433285	10	0	0	Nueces
2106	Texas	US	03/26/2020	27.736286	-97.5433285	14	0	0	Nueces
2106	Texas	US	03/27/2020	27.736286	-97.5433285	18	0	0	Nueces
2106	Texas	US	03/28/2020	27.736286	-97.5433285	21	0	0	Nueces
2106	Texas	US	03/29/2020	27.736286	-97.5433285	22	0	0	Nueces
2106	Texas	US	03/30/2020	27.736286	-97.5433285	22	0	0	Nueces
1424	Texas	US	03/31/2020	27.736286	-97.5433285	34	0	0	Nueces
1461	Texas	US	04/01/2020	27.736286	-97.5433285	46	0	0	Nueces
1517	Texas	US	04/02/2020	27.736286	-97.5433285	48	0	0	Nueces
1549	Texas	US	04/03/2020	27.736286	-97.5433285	56	0	0	Nueces
1587	Texas	US	04/04/2020	27.736286	-97.5433285	58	0	0	Nueces
1639	Texas	US	04/05/2020	27.736286	-97.5433285	61	0	0	Nueces
1665	Texas	US	04/06/2020	27.736286	-97.5433285	68	0	0	Nueces
1702	Texas	US	04/07/2020	27.736286	-97.5433285	72	0	0	Nueces
1717	Texas	US	04/08/2020	27.736286	-97.5433285	72	0	0	Nueces
1737	Texas	US	04/09/2020	27.736286	-97.5433285	76	0	0	Nueces
1749	Texas	US	04/10/2020	27.736286	-97.5433285	80	0	0	Nueces
1767	Texas	US	04/11/2020	27.736286	-97.5433285	81	0	0	Nueces
1780	Texas	US	04/12/2020	27.736286	-97.5433285	81	0	0	Nueces
1794	Texas	US	04/13/2020	27.736286	-97.5433285	84	0	0	Nueces
1801	Texas	US	04/14/2020	27.736286	-97.5433285	89	0	0	Nueces
1811	Texas	US	04/15/2020	27.736286	-97.5433285	90	0	0	Nueces
1819	Texas	US	04/16/2020	27.736286	-97.5433285	94	0	0	Nueces
1821	Texas	US	04/17/2020	27.736286	-97.5433285	95	0	0	Nueces
1827	Texas	US	04/18/2020	27.736286	-97.5433285	95	0	0	Nueces
1838	Texas	US	04/19/2020	27.736286	-97.5433285	95	0	0	Nueces
1845	Texas	US	04/20/2020	27.736286	-97.5433285	95	0	0	Nueces
1853	Texas	US	04/21/2020	27.736286	-97.5433285	95	1	0	Nueces
1860	Texas	US	04/22/2020	27.736286	-97.5433285	95	1	0	Nueces
1871	Texas	US	04/23/2020	27.736286	-97.5433285	97	0	0	Nueces
1875	Texas	US	04/24/2020	27.736286	-97.5433285	98	0	0	Nueces
1879	Texas	US	04/25/2020	27.736286	-97.5433285	99	1	0	Nueces
1885	Texas	US	04/26/2020	27.736286	-97.5433285	99	1	0	Nueces
1888	Texas	US	04/27/2020	27.736286	-97.5433285	104	1	0	Nueces
1895	Texas	US	04/28/2020	27.736286	-97.5433285	104	3	0	Nueces
1898	Texas	US	04/29/2020	27.736286	-97.5433285	105	3	0	Nueces
1904	Texas	US	04/30/2020	27.736286	-97.5433285	110	3	0	Nueces
1913	Texas	US	05/01/2020	27.736286	-97.5433285	112	3	0	Nueces
1917	Texas	US	05/02/2020	27.736286	-97.5433285	113	3	0	Nueces
1920	Texas	US	05/03/2020	27.736286	-97.5433285	113	1	0	Nueces
1922	Texas	US	05/04/2020	27.736286	-97.5433285	116	1	0	Nueces
1928	Texas	US	05/05/2020	27.736286	-97.5433285	116	1	0	Nueces
1932	Texas	US	05/06/2020	27.736286	-97.5433285	120	1	0	Nueces
1936	Texas	US	05/07/2020	27.736286	-97.5433285	122	1	0	Nueces
1941	Texas	US	05/08/2020	27.736286	-97.5433285	126	3	0	Nueces
1942	Texas	US	05/09/2020	27.736286	-97.5433285	126	3	0	Nueces
1943	Texas	US	05/10/2020	27.736286	-97.5433285	128	3	0	Nueces
1943	Texas	US	05/11/2020	27.736286	-97.5433285	150	3	0	Nueces
1946	Texas	US	05/12/2020	27.736286	-97.5433285	160	1	0	Nueces
1946	Texas	US	05/13/2020	27.736286	-97.5433285	173	1	0	Nueces
1947	Texas	US	05/14/2020	27.736286	-97.5433285	197	3	0	Nueces
1951	Texas	US	05/15/2020	27.736286	-97.5433285	204	1	0	Nueces
1955	Texas	US	05/16/2020	27.736286	-97.5433285	207	1	0	Nueces
1957	Texas	US	05/17/2020	27.736286	-97.5433285	209	3	0	Nueces
1959	Texas	US	05/18/2020	27.736286	-97.5433285	212	3	0	Nueces
1961	Texas	US	05/19/2020	27.736286	-97.5433285	221	2	0	Nueces
1967	Texas	US	05/20/2020	27.736286	-97.5433285	222	3	0	Nueces
1968	Texas	US	05/21/2020	27.736286	-97.5433285	225	2	0	Nueces
