	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2916	Texas	US	03/22/2020	33.17751417	-99.21226795	0	0	0	Throckmorton
2795	Texas	US	03/23/2020	33.17751417	-99.21226795	0	0	0	Throckmorton
2795	Texas	US	03/24/2020	33.17751417	-99.21226795	0	0	0	Throckmorton
2795	Texas	US	03/25/2020	33.17751417	-99.21226795	0	0	0	Throckmorton
2794	Texas	US	03/26/2020	33.17751417	-99.21226795	0	0	0	Throckmorton
2794	Texas	US	03/27/2020	33.17751417	-99.21226795	0	0	0	Throckmorton
2794	Texas	US	03/28/2020	33.17751417	-99.21226795	0	0	0	Throckmorton
2794	Texas	US	03/29/2020	33.17751417	-99.21226795	0	0	0	Throckmorton
2794	Texas	US	03/30/2020	33.17751417	-99.21226795	0	0	0	Throckmorton
2649	Texas	US	06/05/2020	33.17751417	-99.21226795	1	0	0	Throckmorton
2651	Texas	US	06/06/2020	33.17751417	-99.21226795	1	0	0	Throckmorton
2651	Texas	US	06/07/2020	33.17751417	-99.21226795	1	0	0	Throckmorton
2651	Texas	US	06/08/2020	33.17751417	-99.21226795	1	0	0	Throckmorton
2653	Texas	US	06/09/2020	33.17751417	-99.21226795	1	0	0	Throckmorton
2655	Texas	US	06/10/2020	33.17751417	-99.21226795	1	0	0	Throckmorton
2657	Texas	US	06/11/2020	33.17751417	-99.21226795	1	0	0	Throckmorton
2671	Texas	US	06/12/2020	33.17751417	-99.21226795	1	0	0	Throckmorton
2674	Texas	US	06/13/2020	33.17751417	-99.21226795	1	0	0	Throckmorton
2674	Texas	US	06/14/2020	33.17751417	-99.21226795	1	0	0	Throckmorton
2678	Texas	US	06/15/2020	33.17751417	-99.21226795	1	0	0	Throckmorton
2676	Texas	US	06/16/2020	33.17751417	-99.21226795	1	0	0	Throckmorton
2678	Texas	US	06/17/2020	33.17751417	-99.21226795	1	0	0	Throckmorton
2678	Texas	US	06/18/2020	33.17751417	-99.21226795	1	0	0	Throckmorton
