	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2924	Victoria	0	US	0	28.79780988	-96.96813006	Texas	0	03/22/2020
2924	Victoria	0	US	0	28.79780988	-96.96813006	Texas	0	03/23/2020
2923	Victoria	3	US	0	28.79780988	-96.96813006	Texas	0	03/24/2020
2923	Victoria	3	US	0	28.79780988	-96.96813006	Texas	0	03/25/2020
2920	Victoria	3	US	0	28.79780988	-96.96813006	Texas	0	03/26/2020
2927	Victoria	3	US	0	28.79780988	-96.96813006	Texas	0	03/27/2020
2924	Victoria	3	US	0	28.79780988	-96.96813006	Texas	0	03/28/2020
2928	Victoria	3	US	0	28.79780988	-96.96813006	Texas	0	03/29/2020
2932	Victoria	6	US	0	28.79780988	-96.96813006	Texas	0	03/30/2020
1990	Victoria	15	US	0	28.79780988	-96.96813006	Texas	0	03/31/2020
2037	Victoria	16	US	0	28.79780988	-96.96813006	Texas	0	04/01/2020
2116	Victoria	20	US	0	28.79780988	-96.96813006	Texas	0	04/02/2020
2161	Victoria	27	US	0	28.79780988	-96.96813006	Texas	0	04/03/2020
2216	Victoria	32	US	0	28.79780988	-96.96813006	Texas	0	04/04/2020
2292	Victoria	32	US	0	28.79780988	-96.96813006	Texas	0	04/05/2020
2331	Victoria	35	US	0	28.79780988	-96.96813006	Texas	0	04/06/2020
2381	Victoria	50	US	0	28.79780988	-96.96813006	Texas	0	04/07/2020
2405	Victoria	59	US	0	28.79780988	-96.96813006	Texas	0	04/08/2020
2432	Victoria	66	US	0	28.79780988	-96.96813006	Texas	0	04/09/2020
2458	Victoria	73	US	0	28.79780988	-96.96813006	Texas	0	04/10/2020
2480	Victoria	76	US	0	28.79780988	-96.96813006	Texas	0	04/11/2020
2503	Victoria	77	US	0	28.79780988	-96.96813006	Texas	0	04/12/2020
2517	Victoria	81	US	0	28.79780988	-96.96813006	Texas	0	04/13/2020
2528	Victoria	87	US	0	28.79780988	-96.96813006	Texas	0	04/14/2020
2541	Victoria	89	US	1	28.79780988	-96.96813006	Texas	0	04/15/2020
2555	Victoria	89	US	1	28.79780988	-96.96813006	Texas	0	04/16/2020
2557	Victoria	89	US	1	28.79780988	-96.96813006	Texas	0	04/17/2020
2564	Victoria	89	US	1	28.79780988	-96.96813006	Texas	0	04/18/2020
2582	Victoria	93	US	1	28.79780988	-96.96813006	Texas	0	04/19/2020
2591	Victoria	93	US	1	28.79780988	-96.96813006	Texas	0	04/20/2020
2600	Victoria	95	US	1	28.79780988	-96.96813006	Texas	0	04/21/2020
2607	Victoria	96	US	1	28.79780988	-96.96813006	Texas	0	04/22/2020
2627	Victoria	105	US	2	28.79780988	-96.96813006	Texas	0	04/23/2020
2634	Victoria	105	US	2	28.79780988	-96.96813006	Texas	0	04/24/2020
2640	Victoria	114	US	2	28.79780988	-96.96813006	Texas	0	04/25/2020
2648	Victoria	117	US	2	28.79780988	-96.96813006	Texas	0	04/26/2020
2656	Victoria	121	US	2	28.79780988	-96.96813006	Texas	0	04/27/2020
2665	Victoria	127	US	3	28.79780988	-96.96813006	Texas	0	04/28/2020
2670	Victoria	127	US	3	28.79780988	-96.96813006	Texas	0	04/29/2020
2676	Victoria	132	US	3	28.79780988	-96.96813006	Texas	0	04/30/2020
2686	Victoria	137	US	3	28.79780988	-96.96813006	Texas	0	05/01/2020
2690	Victoria	139	US	5	28.79780988	-96.96813006	Texas	0	05/02/2020
2695	Victoria	139	US	5	28.79780988	-96.96813006	Texas	0	05/03/2020
2698	Victoria	139	US	5	28.79780988	-96.96813006	Texas	0	05/04/2020
2706	Victoria	143	US	5	28.79780988	-96.96813006	Texas	0	05/05/2020
2712	Victoria	146	US	5	28.79780988	-96.96813006	Texas	0	05/06/2020
2719	Victoria	146	US	5	28.79780988	-96.96813006	Texas	0	05/07/2020
2726	Victoria	146	US	5	28.79780988	-96.96813006	Texas	0	05/08/2020
2728	Victoria	148	US	5	28.79780988	-96.96813006	Texas	0	05/09/2020
2730	Victoria	150	US	5	28.79780988	-96.96813006	Texas	0	05/10/2020
2730	Victoria	150	US	5	28.79780988	-96.96813006	Texas	0	05/11/2020
2733	Victoria	150	US	6	28.79780988	-96.96813006	Texas	0	05/12/2020
2734	Victoria	150	US	6	28.79780988	-96.96813006	Texas	0	05/13/2020
2736	Victoria	154	US	6	28.79780988	-96.96813006	Texas	0	05/14/2020
2741	Victoria	154	US	6	28.79780988	-96.96813006	Texas	0	05/15/2020
2745	Victoria	154	US	6	28.79780988	-96.96813006	Texas	0	05/16/2020
2748	Victoria	154	US	7	28.79780988	-96.96813006	Texas	0	05/17/2020
2750	Victoria	156	US	7	28.79780988	-96.96813006	Texas	0	05/18/2020
2754	Victoria	157	US	7	28.79780988	-96.96813006	Texas	0	05/19/2020
2760	Victoria	157	US	7	28.79780988	-96.96813006	Texas	0	05/20/2020
2762	Victoria	157	US	7	28.79780988	-96.96813006	Texas	0	05/21/2020
2769	Victoria	157	US	7	28.79780988	-96.96813006	Texas	0	05/22/2020
2771	Victoria	157	US	7	28.79780988	-96.96813006	Texas	0	05/23/2020
2774	Victoria	157	US	7	28.79780988	-96.96813006	Texas	0	05/24/2020
2775	Victoria	157	US	7	28.79780988	-96.96813006	Texas	0	05/25/2020
2776	Victoria	157	US	7	28.79780988	-96.96813006	Texas	0	05/26/2020
2779	Victoria	157	US	7	28.79780988	-96.96813006	Texas	0	05/27/2020
2782	Victoria	159	US	7	28.79780988	-96.96813006	Texas	0	05/28/2020
2785	Victoria	159	US	7	28.79780988	-96.96813006	Texas	0	05/29/2020
2787	Victoria	160	US	7	28.79780988	-96.96813006	Texas	0	05/30/2020
2788	Victoria	160	US	7	28.79780988	-96.96813006	Texas	0	05/31/2020
2790	Victoria	160	US	7	28.79780988	-96.96813006	Texas	0	06/01/2020
2795	Victoria	160	US	7	28.79780988	-96.96813006	Texas	0	06/02/2020
2797	Victoria	162	US	7	28.79780988	-96.96813006	Texas	0	06/03/2020
2798	Victoria	167	US	7	28.79780988	-96.96813006	Texas	0	06/04/2020
2802	Victoria	170	US	7	28.79780988	-96.96813006	Texas	0	06/05/2020
2804	Victoria	170	US	7	28.79780988	-96.96813006	Texas	0	06/06/2020
