	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2470	TriCounty	10	US	0	40.12491499	-109.5174415	Utah	0	04/19/2020
2478	TriCounty	10	US	0	40.12491499	-109.5174415	Utah	0	04/20/2020
2487	TriCounty	10	US	0	40.12491499	-109.5174415	Utah	0	04/21/2020
2494	TriCounty	9	US	0	40.12491499	-109.5174415	Utah	0	04/22/2020
2511	TriCounty	9	US	0	40.12491499	-109.5174415	Utah	0	04/23/2020
2517	TriCounty	9	US	0	40.12491499	-109.5174415	Utah	0	04/24/2020
2522	TriCounty	9	US	0	40.12491499	-109.5174415	Utah	0	04/25/2020
2530	TriCounty	10	US	0	40.12491499	-109.5174415	Utah	0	04/26/2020
2537	TriCounty	11	US	0	40.12491499	-109.5174415	Utah	0	04/27/2020
2546	TriCounty	11	US	0	40.12491499	-109.5174415	Utah	0	04/28/2020
2551	TriCounty	11	US	0	40.12491499	-109.5174415	Utah	0	04/29/2020
2557	TriCounty	13	US	0	40.12491499	-109.5174415	Utah	0	04/30/2020
2568	TriCounty	13	US	0	40.12491499	-109.5174415	Utah	0	05/01/2020
2571	TriCounty	13	US	0	40.12491499	-109.5174415	Utah	0	05/02/2020
2576	TriCounty	14	US	0	40.12491499	-109.5174415	Utah	0	05/03/2020
2579	TriCounty	14	US	0	40.12491499	-109.5174415	Utah	0	05/04/2020
2587	TriCounty	14	US	0	40.12491499	-109.5174415	Utah	0	05/05/2020
2593	TriCounty	14	US	0	40.12491499	-109.5174415	Utah	0	05/06/2020
2600	TriCounty	14	US	0	40.12491499	-109.5174415	Utah	0	05/07/2020
2607	TriCounty	14	US	0	40.12491499	-109.5174415	Utah	0	05/08/2020
2608	TriCounty	16	US	0	40.12491499	-109.5174415	Utah	0	05/09/2020
2610	TriCounty	16	US	0	40.12491499	-109.5174415	Utah	0	05/10/2020
2610	TriCounty	16	US	0	40.12491499	-109.5174415	Utah	0	05/11/2020
2613	TriCounty	16	US	0	40.12491499	-109.5174415	Utah	0	05/12/2020
2614	TriCounty	16	US	0	40.12491499	-109.5174415	Utah	0	05/13/2020
2615	TriCounty	16	US	0	40.12491499	-109.5174415	Utah	0	05/14/2020
2620	TriCounty	16	US	0	40.12491499	-109.5174415	Utah	0	05/15/2020
2624	TriCounty	19	US	0	40.12491499	-109.5174415	Utah	0	05/16/2020
2627	TriCounty	19	US	0	40.12491499	-109.5174415	Utah	0	05/17/2020
2629	TriCounty	22	US	0	40.12491499	-109.5174415	Utah	0	05/18/2020
2633	TriCounty	19	US	0	40.12491499	-109.5174415	Utah	0	05/19/2020
2639	TriCounty	20	US	0	40.12491499	-109.5174415	Utah	0	05/20/2020
2641	TriCounty	20	US	0	40.12491499	-109.5174415	Utah	0	05/21/2020
2648	TriCounty	21	US	0	40.12491499	-109.5174415	Utah	0	05/22/2020
2650	TriCounty	20	US	0	40.12491499	-109.5174415	Utah	0	05/23/2020
2653	TriCounty	20	US	0	40.12491499	-109.5174415	Utah	0	05/24/2020
2654	TriCounty	20	US	0	40.12491499	-109.5174415	Utah	0	05/25/2020
2655	TriCounty	20	US	0	40.12491499	-109.5174415	Utah	0	05/26/2020
2658	TriCounty	20	US	0	40.12491499	-109.5174415	Utah	0	05/27/2020
2661	TriCounty	20	US	0	40.12491499	-109.5174415	Utah	0	05/28/2020
