	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2978	Virginia	US	03/22/2020	36.73066666	-80.73455942	0	0	0	Carroll
405	Virginia	US	03/23/2020	36.73066666	-80.73455942	0	0	0	Carroll
405	Virginia	US	03/24/2020	36.73066666	-80.73455942	0	0	0	Carroll
405	Virginia	US	03/25/2020	36.73066666	-80.73455942	0	0	0	Carroll
405	Virginia	US	03/26/2020	36.73066666	-80.73455942	0	0	0	Carroll
405	Virginia	US	03/27/2020	36.73066666	-80.73455942	0	0	0	Carroll
405	Virginia	US	03/28/2020	36.73066666	-80.73455942	0	0	0	Carroll
405	Virginia	US	03/29/2020	36.73066666	-80.73455942	0	0	0	Carroll
405	Virginia	US	03/30/2020	36.73066666	-80.73455942	0	0	0	Carroll
283	Virginia	US	03/31/2020	36.73066666	-80.73455942	1	0	0	Carroll
292	Virginia	US	04/01/2020	36.73066666	-80.73455942	1	0	0	Carroll
302	Virginia	US	04/02/2020	36.73066666	-80.73455942	1	0	0	Carroll
306	Virginia	US	04/03/2020	36.73066666	-80.73455942	1	0	0	Carroll
311	Virginia	US	04/04/2020	36.73066666	-80.73455942	1	0	0	Carroll
324	Virginia	US	04/05/2020	36.73066666	-80.73455942	1	0	0	Carroll
325	Virginia	US	04/06/2020	36.73066666	-80.73455942	1	0	0	Carroll
333	Virginia	US	04/07/2020	36.73066666	-80.73455942	2	0	0	Carroll
337	Virginia	US	04/08/2020	36.73066666	-80.73455942	2	0	0	Carroll
340	Virginia	US	04/09/2020	36.73066666	-80.73455942	3	0	0	Carroll
341	Virginia	US	04/10/2020	36.73066666	-80.73455942	3	0	0	Carroll
344	Virginia	US	04/11/2020	36.73066666	-80.73455942	3	0	0	Carroll
347	Virginia	US	04/12/2020	36.73066666	-80.73455942	3	0	0	Carroll
349	Virginia	US	04/13/2020	36.73066666	-80.73455942	3	0	0	Carroll
350	Virginia	US	04/14/2020	36.73066666	-80.73455942	3	0	0	Carroll
352	Virginia	US	04/15/2020	36.73066666	-80.73455942	3	0	0	Carroll
352	Virginia	US	04/16/2020	36.73066666	-80.73455942	3	0	0	Carroll
353	Virginia	US	04/17/2020	36.73066666	-80.73455942	3	0	0	Carroll
354	Virginia	US	04/18/2020	36.73066666	-80.73455942	3	0	0	Carroll
354	Virginia	US	04/19/2020	36.73066666	-80.73455942	3	0	0	Carroll
354	Virginia	US	04/20/2020	36.73066666	-80.73455942	3	0	0	Carroll
355	Virginia	US	04/21/2020	36.73066666	-80.73455942	3	0	0	Carroll
357	Virginia	US	04/22/2020	36.73066666	-80.73455942	3	0	0	Carroll
358	Virginia	US	04/23/2020	36.73066666	-80.73455942	3	0	0	Carroll
358	Virginia	US	04/24/2020	36.73066666	-80.73455942	3	0	0	Carroll
358	Virginia	US	04/25/2020	36.73066666	-80.73455942	3	0	0	Carroll
359	Virginia	US	04/26/2020	36.73066666	-80.73455942	3	0	0	Carroll
360	Virginia	US	04/27/2020	36.73066666	-80.73455942	4	0	0	Carroll
361	Virginia	US	04/28/2020	36.73066666	-80.73455942	4	0	0	Carroll
361	Virginia	US	04/29/2020	36.73066666	-80.73455942	9	0	0	Carroll
361	Virginia	US	04/30/2020	36.73066666	-80.73455942	11	0	0	Carroll
364	Virginia	US	05/01/2020	36.73066666	-80.73455942	12	0	0	Carroll
365	Virginia	US	05/02/2020	36.73066666	-80.73455942	13	0	0	Carroll
366	Virginia	US	05/03/2020	36.73066666	-80.73455942	15	0	0	Carroll
367	Virginia	US	05/04/2020	36.73066666	-80.73455942	19	0	0	Carroll
369	Virginia	US	05/05/2020	36.73066666	-80.73455942	19	0	0	Carroll
370	Virginia	US	05/06/2020	36.73066666	-80.73455942	19	0	0	Carroll
371	Virginia	US	05/07/2020	36.73066666	-80.73455942	25	0	0	Carroll
371	Virginia	US	05/08/2020	36.73066666	-80.73455942	26	0	0	Carroll
371	Virginia	US	05/09/2020	36.73066666	-80.73455942	28	0	0	Carroll
372	Virginia	US	05/10/2020	36.73066666	-80.73455942	33	0	0	Carroll
372	Virginia	US	05/11/2020	36.73066666	-80.73455942	34	0	0	Carroll
372	Virginia	US	05/12/2020	36.73066666	-80.73455942	34	0	0	Carroll
372	Virginia	US	05/13/2020	36.73066666	-80.73455942	39	0	0	Carroll
373	Virginia	US	05/14/2020	36.73066666	-80.73455942	40	0	0	Carroll
374	Virginia	US	05/15/2020	36.73066666	-80.73455942	42	0	0	Carroll
375	Virginia	US	05/16/2020	36.73066666	-80.73455942	45	0	0	Carroll
376	Virginia	US	05/17/2020	36.73066666	-80.73455942	48	0	0	Carroll
377	Virginia	US	05/18/2020	36.73066666	-80.73455942	49	0	0	Carroll
379	Virginia	US	05/19/2020	36.73066666	-80.73455942	50	0	0	Carroll
379	Virginia	US	05/20/2020	36.73066666	-80.73455942	64	1	0	Carroll
379	Virginia	US	05/21/2020	36.73066666	-80.73455942	64	1	0	Carroll
380	Virginia	US	05/22/2020	36.73066666	-80.73455942	66	1	0	Carroll
380	Virginia	US	05/23/2020	36.73066666	-80.73455942	66	1	0	Carroll
380	Virginia	US	05/24/2020	36.73066666	-80.73455942	74	1	0	Carroll
380	Virginia	US	05/25/2020	36.73066666	-80.73455942	77	1	0	Carroll
380	Virginia	US	05/26/2020	36.73066666	-80.73455942	84	1	0	Carroll
381	Virginia	US	05/27/2020	36.73066666	-80.73455942	86	1	0	Carroll
381	Virginia	US	05/28/2020	36.73066666	-80.73455942	88	1	0	Carroll
381	Virginia	US	05/29/2020	36.73066666	-80.73455942	90	1	0	Carroll
381	Virginia	US	05/30/2020	36.73066666	-80.73455942	91	1	0	Carroll
381	Virginia	US	05/31/2020	36.73066666	-80.73455942	96	1	0	Carroll
382	Virginia	US	06/01/2020	36.73066666	-80.73455942	97	1	0	Carroll
382	Virginia	US	06/02/2020	36.73066666	-80.73455942	100	1	0	Carroll
382	Virginia	US	06/03/2020	36.73066666	-80.73455942	105	1	0	Carroll
382	Virginia	US	06/04/2020	36.73066666	-80.73455942	122	1	0	Carroll
383	Virginia	US	06/05/2020	36.73066666	-80.73455942	122	1	0	Carroll
383	Virginia	US	06/06/2020	36.73066666	-80.73455942	125	1	0	Carroll
383	Virginia	US	06/07/2020	36.73066666	-80.73455942	130	2	0	Carroll
383	Virginia	US	06/08/2020	36.73066666	-80.73455942	141	4	0	Carroll
383	Virginia	US	06/09/2020	36.73066666	-80.73455942	149	5	0	Carroll
384	Virginia	US	06/10/2020	36.73066666	-80.73455942	153	5	0	Carroll
385	Virginia	US	06/11/2020	36.73066666	-80.73455942	158	5	0	Carroll
