	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2984	Craig	0	US	0	37.48133648	-80.21072274	Virginia	0	03/22/2020
651	Craig	0	US	0	37.48133648	-80.21072274	Virginia	0	03/23/2020
651	Craig	0	US	0	37.48133648	-80.21072274	Virginia	0	03/24/2020
651	Craig	0	US	0	37.48133648	-80.21072274	Virginia	0	03/25/2020
651	Craig	0	US	0	37.48133648	-80.21072274	Virginia	0	03/26/2020
651	Craig	0	US	0	37.48133648	-80.21072274	Virginia	0	03/27/2020
651	Craig	0	US	0	37.48133648	-80.21072274	Virginia	0	03/28/2020
651	Craig	0	US	0	37.48133648	-80.21072274	Virginia	0	03/29/2020
651	Craig	0	US	0	37.48133648	-80.21072274	Virginia	0	03/30/2020
540	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/07/2020
545	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/08/2020
549	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/09/2020
553	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/10/2020
558	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/11/2020
561	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/12/2020
565	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/13/2020
567	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/14/2020
570	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/15/2020
571	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/16/2020
573	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/17/2020
574	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/18/2020
578	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/19/2020
579	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/20/2020
583	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/21/2020
585	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/22/2020
588	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/23/2020
589	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/24/2020
589	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/25/2020
590	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/26/2020
592	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/27/2020
594	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/28/2020
594	Craig	2	US	0	37.48133648	-80.21072274	Virginia	0	04/29/2020
594	Craig	3	US	0	37.48133648	-80.21072274	Virginia	0	04/30/2020
597	Craig	3	US	0	37.48133648	-80.21072274	Virginia	0	05/01/2020
598	Craig	3	US	0	37.48133648	-80.21072274	Virginia	0	05/02/2020
599	Craig	3	US	0	37.48133648	-80.21072274	Virginia	0	05/03/2020
600	Craig	3	US	0	37.48133648	-80.21072274	Virginia	0	05/04/2020
604	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/05/2020
605	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/06/2020
606	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/07/2020
609	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/08/2020
609	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/09/2020
610	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/10/2020
610	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/11/2020
610	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/12/2020
610	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/13/2020
611	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/14/2020
612	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/15/2020
613	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/16/2020
614	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/17/2020
615	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/18/2020
617	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/19/2020
618	Craig	4	US	0	37.48133648	-80.21072274	Virginia	0	05/20/2020
618	Craig	5	US	0	37.48133648	-80.21072274	Virginia	0	05/21/2020
620	Craig	5	US	0	37.48133648	-80.21072274	Virginia	0	05/22/2020
620	Craig	5	US	0	37.48133648	-80.21072274	Virginia	0	05/23/2020
621	Craig	5	US	0	37.48133648	-80.21072274	Virginia	0	05/24/2020
621	Craig	5	US	0	37.48133648	-80.21072274	Virginia	0	05/25/2020
621	Craig	5	US	0	37.48133648	-80.21072274	Virginia	0	05/26/2020
622	Craig	5	US	0	37.48133648	-80.21072274	Virginia	0	05/27/2020
622	Craig	5	US	0	37.48133648	-80.21072274	Virginia	0	05/28/2020
622	Craig	5	US	0	37.48133648	-80.21072274	Virginia	0	05/29/2020
622	Craig	5	US	0	37.48133648	-80.21072274	Virginia	0	05/30/2020
622	Craig	5	US	0	37.48133648	-80.21072274	Virginia	0	05/31/2020
623	Craig	5	US	0	37.48133648	-80.21072274	Virginia	0	06/01/2020
623	Craig	5	US	0	37.48133648	-80.21072274	Virginia	0	06/02/2020
623	Craig	5	US	0	37.48133648	-80.21072274	Virginia	0	06/03/2020
