	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
702	Franklin	1	US	0	36.99536167	-79.88023649	Virginia	0	03/22/2020
979	Franklin	1	US	0	36.99536167	-79.88023649	Virginia	0	03/23/2020
979	Franklin	1	US	0	36.99536167	-79.88023649	Virginia	0	03/24/2020
979	Franklin	1	US	0	36.99536167	-79.88023649	Virginia	0	03/25/2020
978	Franklin	1	US	0	36.99536167	-79.88023649	Virginia	0	03/26/2020
978	Franklin	1	US	0	36.99536167	-79.88023649	Virginia	0	03/27/2020
978	Franklin	1	US	0	36.99536167	-79.88023649	Virginia	0	03/28/2020
978	Franklin	5	US	0	36.99536167	-79.88023649	Virginia	0	03/29/2020
978	Franklin	5	US	0	36.99536167	-79.88023649	Virginia	0	03/30/2020
681	Franklin	5	US	0	36.99536167	-79.88023649	Virginia	0	03/31/2020
699	Franklin	5	US	0	36.99536167	-79.88023649	Virginia	0	04/01/2020
722	Franklin	6	US	0	36.99536167	-79.88023649	Virginia	0	04/02/2020
735	Franklin	9	US	0	36.99536167	-79.88023649	Virginia	0	04/03/2020
750	Franklin	10	US	0	36.99536167	-79.88023649	Virginia	0	04/04/2020
777	Franklin	10	US	0	36.99536167	-79.88023649	Virginia	0	04/05/2020
788	Franklin	10	US	0	36.99536167	-79.88023649	Virginia	0	04/06/2020
805	Franklin	11	US	0	36.99536167	-79.88023649	Virginia	0	04/07/2020
811	Franklin	12	US	0	36.99536167	-79.88023649	Virginia	0	04/08/2020
817	Franklin	13	US	0	36.99536167	-79.88023649	Virginia	0	04/09/2020
822	Franklin	13	US	0	36.99536167	-79.88023649	Virginia	0	04/10/2020
829	Franklin	14	US	0	36.99536167	-79.88023649	Virginia	0	04/11/2020
835	Franklin	14	US	0	36.99536167	-79.88023649	Virginia	0	04/12/2020
841	Franklin	14	US	0	36.99536167	-79.88023649	Virginia	0	04/13/2020
844	Franklin	15	US	0	36.99536167	-79.88023649	Virginia	0	04/14/2020
848	Franklin	15	US	0	36.99536167	-79.88023649	Virginia	0	04/15/2020
849	Franklin	15	US	0	36.99536167	-79.88023649	Virginia	0	04/16/2020
850	Franklin	15	US	0	36.99536167	-79.88023649	Virginia	0	04/17/2020
852	Franklin	15	US	0	36.99536167	-79.88023649	Virginia	0	04/18/2020
856	Franklin	15	US	0	36.99536167	-79.88023649	Virginia	0	04/19/2020
859	Franklin	16	US	0	36.99536167	-79.88023649	Virginia	0	04/20/2020
863	Franklin	16	US	0	36.99536167	-79.88023649	Virginia	0	04/21/2020
866	Franklin	17	US	0	36.99536167	-79.88023649	Virginia	0	04/22/2020
870	Franklin	17	US	0	36.99536167	-79.88023649	Virginia	0	04/23/2020
871	Franklin	19	US	0	36.99536167	-79.88023649	Virginia	0	04/24/2020
871	Franklin	19	US	0	36.99536167	-79.88023649	Virginia	0	04/25/2020
874	Franklin	19	US	0	36.99536167	-79.88023649	Virginia	0	04/26/2020
876	Franklin	19	US	0	36.99536167	-79.88023649	Virginia	0	04/27/2020
879	Franklin	20	US	0	36.99536167	-79.88023649	Virginia	0	04/28/2020
881	Franklin	21	US	0	36.99536167	-79.88023649	Virginia	0	04/29/2020
882	Franklin	21	US	0	36.99536167	-79.88023649	Virginia	0	04/30/2020
888	Franklin	21	US	0	36.99536167	-79.88023649	Virginia	0	05/01/2020
889	Franklin	22	US	0	36.99536167	-79.88023649	Virginia	0	05/02/2020
890	Franklin	23	US	0	36.99536167	-79.88023649	Virginia	0	05/03/2020
892	Franklin	23	US	0	36.99536167	-79.88023649	Virginia	0	05/04/2020
897	Franklin	23	US	0	36.99536167	-79.88023649	Virginia	0	05/05/2020
899	Franklin	23	US	0	36.99536167	-79.88023649	Virginia	0	05/06/2020
900	Franklin	24	US	0	36.99536167	-79.88023649	Virginia	0	05/07/2020
903	Franklin	25	US	0	36.99536167	-79.88023649	Virginia	0	05/08/2020
903	Franklin	26	US	0	36.99536167	-79.88023649	Virginia	0	05/09/2020
904	Franklin	27	US	0	36.99536167	-79.88023649	Virginia	0	05/10/2020
904	Franklin	28	US	0	36.99536167	-79.88023649	Virginia	0	05/11/2020
904	Franklin	28	US	0	36.99536167	-79.88023649	Virginia	0	05/12/2020
905	Franklin	30	US	0	36.99536167	-79.88023649	Virginia	0	05/13/2020
906	Franklin	30	US	1	36.99536167	-79.88023649	Virginia	0	05/14/2020
909	Franklin	30	US	1	36.99536167	-79.88023649	Virginia	0	05/15/2020
910	Franklin	30	US	1	36.99536167	-79.88023649	Virginia	0	05/16/2020
911	Franklin	30	US	1	36.99536167	-79.88023649	Virginia	0	05/17/2020
912	Franklin	30	US	1	36.99536167	-79.88023649	Virginia	0	05/18/2020
914	Franklin	30	US	1	36.99536167	-79.88023649	Virginia	0	05/19/2020
916	Franklin	30	US	1	36.99536167	-79.88023649	Virginia	0	05/20/2020
916	Franklin	30	US	1	36.99536167	-79.88023649	Virginia	0	05/21/2020
918	Franklin	31	US	1	36.99536167	-79.88023649	Virginia	0	05/22/2020
918	Franklin	32	US	1	36.99536167	-79.88023649	Virginia	0	05/23/2020
919	Franklin	32	US	1	36.99536167	-79.88023649	Virginia	0	05/24/2020
919	Franklin	33	US	2	36.99536167	-79.88023649	Virginia	0	05/25/2020
919	Franklin	34	US	2	36.99536167	-79.88023649	Virginia	0	05/26/2020
920	Franklin	35	US	2	36.99536167	-79.88023649	Virginia	0	05/27/2020
920	Franklin	35	US	1	36.99536167	-79.88023649	Virginia	0	05/28/2020
921	Franklin	35	US	1	36.99536167	-79.88023649	Virginia	0	05/29/2020
922	Franklin	36	US	1	36.99536167	-79.88023649	Virginia	0	05/30/2020
922	Franklin	36	US	1	36.99536167	-79.88023649	Virginia	0	05/31/2020
923	Franklin	36	US	1	36.99536167	-79.88023649	Virginia	0	06/01/2020
925	Franklin	36	US	1	36.99536167	-79.88023649	Virginia	0	06/02/2020
925	Franklin	36	US	1	36.99536167	-79.88023649	Virginia	0	06/03/2020
926	Franklin	37	US	1	36.99536167	-79.88023649	Virginia	0	06/04/2020
928	Franklin	38	US	1	36.99536167	-79.88023649	Virginia	0	06/05/2020
928	Franklin	39	US	1	36.99536167	-79.88023649	Virginia	0	06/06/2020
