	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
3019	Middlesex	0	US	0	37.63191998	-76.55064617	Virginia	0	03/22/2020
1918	Middlesex	0	US	0	37.63191998	-76.55064617	Virginia	0	03/23/2020
1918	Middlesex	0	US	0	37.63191998	-76.55064617	Virginia	0	03/24/2020
1918	Middlesex	0	US	0	37.63191998	-76.55064617	Virginia	0	03/25/2020
1917	Middlesex	0	US	0	37.63191998	-76.55064617	Virginia	0	03/26/2020
1917	Middlesex	0	US	0	37.63191998	-76.55064617	Virginia	0	03/27/2020
1917	Middlesex	0	US	0	37.63191998	-76.55064617	Virginia	0	03/28/2020
1917	Middlesex	0	US	0	37.63191998	-76.55064617	Virginia	0	03/29/2020
1917	Middlesex	0	US	0	37.63191998	-76.55064617	Virginia	0	03/30/2020
1496	Middlesex	0	US	0	37.63191998	-76.55064617	Virginia	0	04/05/2020
1518	Middlesex	0	US	0	37.63191998	-76.55064617	Virginia	0	04/06/2020
1553	Middlesex	0	US	0	37.63191998	-76.55064617	Virginia	0	04/07/2020
1568	Middlesex	0	US	0	37.63191998	-76.55064617	Virginia	0	04/08/2020
1586	Middlesex	2	US	0	37.63191998	-76.55064617	Virginia	0	04/09/2020
1594	Middlesex	3	US	0	37.63191998	-76.55064617	Virginia	0	04/10/2020
1612	Middlesex	3	US	0	37.63191998	-76.55064617	Virginia	0	04/11/2020
1624	Middlesex	3	US	0	37.63191998	-76.55064617	Virginia	0	04/12/2020
1635	Middlesex	3	US	0	37.63191998	-76.55064617	Virginia	0	04/13/2020
1641	Middlesex	3	US	0	37.63191998	-76.55064617	Virginia	0	04/14/2020
1649	Middlesex	3	US	0	37.63191998	-76.55064617	Virginia	0	04/15/2020
1655	Middlesex	3	US	0	37.63191998	-76.55064617	Virginia	0	04/16/2020
1654	Middlesex	3	US	0	37.63191998	-76.55064617	Virginia	0	04/17/2020
1660	Middlesex	3	US	0	37.63191998	-76.55064617	Virginia	0	04/18/2020
1668	Middlesex	3	US	0	37.63191998	-76.55064617	Virginia	0	04/19/2020
1675	Middlesex	3	US	0	37.63191998	-76.55064617	Virginia	0	04/20/2020
1683	Middlesex	3	US	0	37.63191998	-76.55064617	Virginia	0	04/21/2020
1688	Middlesex	3	US	0	37.63191998	-76.55064617	Virginia	0	04/22/2020
1698	Middlesex	3	US	0	37.63191998	-76.55064617	Virginia	0	04/23/2020
1701	Middlesex	3	US	0	37.63191998	-76.55064617	Virginia	0	04/24/2020
1705	Middlesex	4	US	0	37.63191998	-76.55064617	Virginia	0	04/25/2020
1711	Middlesex	4	US	0	37.63191998	-76.55064617	Virginia	0	04/26/2020
1713	Middlesex	4	US	0	37.63191998	-76.55064617	Virginia	0	04/27/2020
1720	Middlesex	4	US	0	37.63191998	-76.55064617	Virginia	0	04/28/2020
1723	Middlesex	4	US	0	37.63191998	-76.55064617	Virginia	0	04/29/2020
