	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
3023	Virginia	US	03/22/2020	37.34062933	-75.87751591	0	0	0	Northampton
2097	Virginia	US	03/23/2020	37.34062933	-75.87751591	0	0	0	Northampton
2097	Virginia	US	03/24/2020	37.34062933	-75.87751591	0	0	0	Northampton
2097	Virginia	US	03/25/2020	37.34062933	-75.87751591	0	0	0	Northampton
2096	Virginia	US	03/26/2020	37.34062933	-75.87751591	0	0	0	Northampton
2096	Virginia	US	03/27/2020	37.34062933	-75.87751591	1	0	0	Northampton
2096	Virginia	US	03/28/2020	37.34062933	-75.87751591	1	0	0	Northampton
2096	Virginia	US	03/29/2020	37.34062933	-75.87751591	1	0	0	Northampton
2096	Virginia	US	03/30/2020	37.34062933	-75.87751591	1	0	0	Northampton
1418	Virginia	US	03/31/2020	37.34062933	-75.87751591	1	0	0	Northampton
1455	Virginia	US	04/01/2020	37.34062933	-75.87751591	1	0	0	Northampton
1511	Virginia	US	04/02/2020	37.34062933	-75.87751591	1	0	0	Northampton
1543	Virginia	US	04/03/2020	37.34062933	-75.87751591	2	0	0	Northampton
1581	Virginia	US	04/04/2020	37.34062933	-75.87751591	2	0	0	Northampton
1632	Virginia	US	04/05/2020	37.34062933	-75.87751591	2	0	0	Northampton
1658	Virginia	US	04/06/2020	37.34062933	-75.87751591	2	0	0	Northampton
1695	Virginia	US	04/07/2020	37.34062933	-75.87751591	2	0	0	Northampton
1710	Virginia	US	04/08/2020	37.34062933	-75.87751591	2	0	0	Northampton
1730	Virginia	US	04/09/2020	37.34062933	-75.87751591	2	0	0	Northampton
1742	Virginia	US	04/10/2020	37.34062933	-75.87751591	4	0	0	Northampton
1760	Virginia	US	04/11/2020	37.34062933	-75.87751591	4	0	0	Northampton
1773	Virginia	US	04/12/2020	37.34062933	-75.87751591	4	0	0	Northampton
1787	Virginia	US	04/13/2020	37.34062933	-75.87751591	4	0	0	Northampton
1794	Virginia	US	04/14/2020	37.34062933	-75.87751591	4	0	0	Northampton
1804	Virginia	US	04/15/2020	37.34062933	-75.87751591	4	0	0	Northampton
1812	Virginia	US	04/16/2020	37.34062933	-75.87751591	4	0	0	Northampton
1814	Virginia	US	04/17/2020	37.34062933	-75.87751591	5	0	0	Northampton
1820	Virginia	US	04/18/2020	37.34062933	-75.87751591	5	0	0	Northampton
1831	Virginia	US	04/19/2020	37.34062933	-75.87751591	7	0	0	Northampton
1838	Virginia	US	04/20/2020	37.34062933	-75.87751591	7	0	0	Northampton
1846	Virginia	US	04/21/2020	37.34062933	-75.87751591	7	0	0	Northampton
1853	Virginia	US	04/22/2020	37.34062933	-75.87751591	8	0	0	Northampton
1864	Virginia	US	04/23/2020	37.34062933	-75.87751591	12	0	0	Northampton
1868	Virginia	US	04/24/2020	37.34062933	-75.87751591	15	0	0	Northampton
1872	Virginia	US	04/25/2020	37.34062933	-75.87751591	20	0	0	Northampton
1878	Virginia	US	04/26/2020	37.34062933	-75.87751591	24	0	0	Northampton
1881	Virginia	US	04/27/2020	37.34062933	-75.87751591	28	0	0	Northampton
