	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
684	Virginia	US	03/22/2020	38.18574462	-77.655399	2	0	0	Spotsylvania
2652	Virginia	US	03/23/2020	38.18574462	-77.655399	2	0	0	Spotsylvania
2652	Virginia	US	03/24/2020	38.18574462	-77.655399	2	0	0	Spotsylvania
2652	Virginia	US	03/25/2020	38.18574462	-77.655399	3	0	0	Spotsylvania
2651	Virginia	US	03/26/2020	38.18574462	-77.655399	3	0	0	Spotsylvania
2651	Virginia	US	03/27/2020	38.18574462	-77.655399	3	0	0	Spotsylvania
2651	Virginia	US	03/28/2020	38.18574462	-77.655399	3	0	0	Spotsylvania
2651	Virginia	US	03/29/2020	38.18574462	-77.655399	3	0	0	Spotsylvania
2651	Virginia	US	03/30/2020	38.18574462	-77.655399	6	0	0	Spotsylvania
1781	Virginia	US	03/31/2020	38.18574462	-77.655399	7	0	0	Spotsylvania
1825	Virginia	US	04/01/2020	38.18574462	-77.655399	8	0	0	Spotsylvania
1892	Virginia	US	04/02/2020	38.18574462	-77.655399	9	0	0	Spotsylvania
1937	Virginia	US	04/03/2020	38.18574462	-77.655399	11	0	0	Spotsylvania
1984	Virginia	US	04/04/2020	38.18574462	-77.655399	18	0	0	Spotsylvania
2055	Virginia	US	04/05/2020	38.18574462	-77.655399	24	0	0	Spotsylvania
2089	Virginia	US	04/06/2020	38.18574462	-77.655399	26	0	0	Spotsylvania
2133	Virginia	US	04/07/2020	38.18574462	-77.655399	29	0	0	Spotsylvania
2154	Virginia	US	04/08/2020	38.18574462	-77.655399	31	0	0	Spotsylvania
2178	Virginia	US	04/09/2020	38.18574462	-77.655399	36	0	0	Spotsylvania
2200	Virginia	US	04/10/2020	38.18574462	-77.655399	43	0	0	Spotsylvania
2225	Virginia	US	04/11/2020	38.18574462	-77.655399	47	0	0	Spotsylvania
2242	Virginia	US	04/12/2020	38.18574462	-77.655399	50	0	0	Spotsylvania
2256	Virginia	US	04/13/2020	38.18574462	-77.655399	51	0	0	Spotsylvania
2265	Virginia	US	04/14/2020	38.18574462	-77.655399	56	0	0	Spotsylvania
2277	Virginia	US	04/15/2020	38.18574462	-77.655399	60	0	0	Spotsylvania
2290	Virginia	US	04/16/2020	38.18574462	-77.655399	62	0	0	Spotsylvania
2293	Virginia	US	04/17/2020	38.18574462	-77.655399	69	0	0	Spotsylvania
2300	Virginia	US	04/18/2020	38.18574462	-77.655399	72	0	0	Spotsylvania
2315	Virginia	US	04/19/2020	38.18574462	-77.655399	74	0	0	Spotsylvania
2323	Virginia	US	04/20/2020	38.18574462	-77.655399	77	0	0	Spotsylvania
2332	Virginia	US	04/21/2020	38.18574462	-77.655399	79	0	0	Spotsylvania
2339	Virginia	US	04/22/2020	38.18574462	-77.655399	83	3	0	Spotsylvania
2355	Virginia	US	04/23/2020	38.18574462	-77.655399	94	3	0	Spotsylvania
2360	Virginia	US	04/24/2020	38.18574462	-77.655399	97	3	0	Spotsylvania
2365	Virginia	US	04/25/2020	38.18574462	-77.655399	101	3	0	Spotsylvania
2373	Virginia	US	04/26/2020	38.18574462	-77.655399	107	3	0	Spotsylvania
2380	Virginia	US	04/27/2020	38.18574462	-77.655399	119	3	0	Spotsylvania
2389	Virginia	US	04/28/2020	38.18574462	-77.655399	126	3	0	Spotsylvania
2393	Virginia	US	04/29/2020	38.18574462	-77.655399	131	3	0	Spotsylvania
2399	Virginia	US	04/30/2020	38.18574462	-77.655399	143	3	0	Spotsylvania
2410	Virginia	US	05/01/2020	38.18574462	-77.655399	155	4	0	Spotsylvania
2413	Virginia	US	05/02/2020	38.18574462	-77.655399	174	4	0	Spotsylvania
2417	Virginia	US	05/03/2020	38.18574462	-77.655399	186	4	0	Spotsylvania
2420	Virginia	US	05/04/2020	38.18574462	-77.655399	195	4	0	Spotsylvania
2427	Virginia	US	05/05/2020	38.18574462	-77.655399	206	4	0	Spotsylvania
2432	Virginia	US	05/06/2020	38.18574462	-77.655399	206	4	0	Spotsylvania
2437	Virginia	US	05/07/2020	38.18574462	-77.655399	230	4	0	Spotsylvania
2444	Virginia	US	05/08/2020	38.18574462	-77.655399	233	4	0	Spotsylvania
2445	Virginia	US	05/09/2020	38.18574462	-77.655399	239	4	0	Spotsylvania
2447	Virginia	US	05/10/2020	38.18574462	-77.655399	248	4	0	Spotsylvania
2447	Virginia	US	05/11/2020	38.18574462	-77.655399	257	4	0	Spotsylvania
2450	Virginia	US	05/12/2020	38.18574462	-77.655399	261	4	0	Spotsylvania
2451	Virginia	US	05/13/2020	38.18574462	-77.655399	270	4	0	Spotsylvania
2452	Virginia	US	05/14/2020	38.18574462	-77.655399	282	4	0	Spotsylvania
2456	Virginia	US	05/15/2020	38.18574462	-77.655399	291	4	0	Spotsylvania
2461	Virginia	US	05/16/2020	38.18574462	-77.655399	304	4	0	Spotsylvania
2463	Virginia	US	05/17/2020	38.18574462	-77.655399	312	4	0	Spotsylvania
2465	Virginia	US	05/18/2020	38.18574462	-77.655399	319	4	0	Spotsylvania
2469	Virginia	US	05/19/2020	38.18574462	-77.655399	339	4	0	Spotsylvania
2475	Virginia	US	05/20/2020	38.18574462	-77.655399	351	4	0	Spotsylvania
2476	Virginia	US	05/21/2020	38.18574462	-77.655399	366	4	0	Spotsylvania
2482	Virginia	US	05/22/2020	38.18574462	-77.655399	373	4	0	Spotsylvania
2484	Virginia	US	05/23/2020	38.18574462	-77.655399	386	4	0	Spotsylvania
2487	Virginia	US	05/24/2020	38.18574462	-77.655399	401	5	0	Spotsylvania
2488	Virginia	US	05/25/2020	38.18574462	-77.655399	422	6	0	Spotsylvania
2489	Virginia	US	05/26/2020	38.18574462	-77.655399	463	6	0	Spotsylvania
2492	Virginia	US	05/27/2020	38.18574462	-77.655399	474	6	0	Spotsylvania
2494	Virginia	US	05/28/2020	38.18574462	-77.655399	487	6	0	Spotsylvania
2497	Virginia	US	05/29/2020	38.18574462	-77.655399	500	7	0	Spotsylvania
2499	Virginia	US	05/30/2020	38.18574462	-77.655399	524	7	0	Spotsylvania
2500	Virginia	US	05/31/2020	38.18574462	-77.655399	556	7	0	Spotsylvania
2502	Virginia	US	06/01/2020	38.18574462	-77.655399	571	7	0	Spotsylvania
2507	Virginia	US	06/02/2020	38.18574462	-77.655399	586	7	0	Spotsylvania
2509	Virginia	US	06/03/2020	38.18574462	-77.655399	590	7	0	Spotsylvania
2510	Virginia	US	06/04/2020	38.18574462	-77.655399	593	7	0	Spotsylvania
2513	Virginia	US	06/05/2020	38.18574462	-77.655399	615	7	0	Spotsylvania
2515	Virginia	US	06/06/2020	38.18574462	-77.655399	634	7	0	Spotsylvania
2515	Virginia	US	06/07/2020	38.18574462	-77.655399	695	7	0	Spotsylvania
2515	Virginia	US	06/08/2020	38.18574462	-77.655399	707	7	0	Spotsylvania
2517	Virginia	US	06/09/2020	38.18574462	-77.655399	712	9	0	Spotsylvania
2519	Virginia	US	06/10/2020	38.18574462	-77.655399	723	10	0	Spotsylvania
2521	Virginia	US	06/11/2020	38.18574462	-77.655399	729	11	0	Spotsylvania
2535	Virginia	US	06/12/2020	38.18574462	-77.655399	739	12	0	Spotsylvania
2538	Virginia	US	06/13/2020	38.18574462	-77.655399	752	13	0	Spotsylvania
2538	Virginia	US	06/14/2020	38.18574462	-77.655399	813	15	0	Spotsylvania
2542	Virginia	US	06/15/2020	38.18574462	-77.655399	837	16	0	Spotsylvania
2540	Virginia	US	06/16/2020	38.18574462	-77.655399	849	17	0	Spotsylvania
2542	Virginia	US	06/17/2020	38.18574462	-77.655399	858	17	0	Spotsylvania
2542	Virginia	US	06/18/2020	38.18574462	-77.655399	862	17	0	Spotsylvania
2542	Virginia	US	06/19/2020	38.18574462	-77.655399	874	19	0	Spotsylvania
2546	Virginia	US	06/20/2020	38.18574462	-77.655399	891	20	0	Spotsylvania
2546	Virginia	US	06/21/2020	38.18574462	-77.655399	902	20	0	Spotsylvania
2548	Virginia	US	06/22/2020	38.18574462	-77.655399	909	21	0	Spotsylvania
2552	Virginia	US	06/23/2020	38.18574462	-77.655399	917	24	0	Spotsylvania
2563	Virginia	US	06/24/2020	38.18574462	-77.655399	924	26	0	Spotsylvania
2568	Virginia	US	06/25/2020	38.18574462	-77.655399	931	26	0	Spotsylvania
2569	Virginia	US	06/26/2020	38.18574462	-77.655399	945	28	0	Spotsylvania
2570	Virginia	US	06/27/2020	38.18574462	-77.655399	975	29	0	Spotsylvania
2570	Virginia	US	06/28/2020	38.18574462	-77.655399	981	29	0	Spotsylvania
2572	Virginia	US	06/29/2020	38.18574462	-77.655399	985	29	0	Spotsylvania
2574	Virginia	US	06/30/2020	38.18574462	-77.655399	993	29	0	Spotsylvania
2576	Virginia	US	07/01/2020	38.18574462	-77.655399	994	30	0	Spotsylvania
2578	Virginia	US	07/02/2020	38.18574462	-77.655399	1001	31	0	Spotsylvania
2583	Virginia	US	07/03/2020	38.18574462	-77.655399	1010	31	0	Spotsylvania
2584	Virginia	US	07/04/2020	38.18574462	-77.655399	1027	31	0	Spotsylvania
