	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
697	Suffolk	1	US	0	36.70155394	-76.63603554	Virginia	0	03/22/2020
2722	Suffolk	1	US	0	36.70155394	-76.63603554	Virginia	0	03/23/2020
2722	Suffolk	1	US	0	36.70155394	-76.63603554	Virginia	0	03/24/2020
2722	Suffolk	1	US	0	36.70155394	-76.63603554	Virginia	0	03/25/2020
2721	Suffolk	1	US	0	36.70155394	-76.63603554	Virginia	0	03/26/2020
2721	Suffolk	1	US	0	36.70155394	-76.63603554	Virginia	0	03/27/2020
2721	Suffolk	1	US	0	36.70155394	-76.63603554	Virginia	0	03/28/2020
2721	Suffolk	1	US	0	36.70155394	-76.63603554	Virginia	0	03/29/2020
2721	Suffolk	3	US	0	36.70155394	-76.63603554	Virginia	0	03/30/2020
1834	Suffolk	4	US	0	36.70155394	-76.63603554	Virginia	0	03/31/2020
1879	Suffolk	5	US	0	36.70155394	-76.63603554	Virginia	0	04/01/2020
1947	Suffolk	6	US	0	36.70155394	-76.63603554	Virginia	0	04/02/2020
1991	Suffolk	10	US	0	36.70155394	-76.63603554	Virginia	0	04/03/2020
2040	Suffolk	20	US	0	36.70155394	-76.63603554	Virginia	0	04/04/2020
2112	Suffolk	22	US	0	36.70155394	-76.63603554	Virginia	0	04/05/2020
2147	Suffolk	28	US	0	36.70155394	-76.63603554	Virginia	0	04/06/2020
2191	Suffolk	30	US	0	36.70155394	-76.63603554	Virginia	0	04/07/2020
2214	Suffolk	31	US	0	36.70155394	-76.63603554	Virginia	0	04/08/2020
2239	Suffolk	31	US	0	36.70155394	-76.63603554	Virginia	0	04/09/2020
2263	Suffolk	35	US	0	36.70155394	-76.63603554	Virginia	0	04/10/2020
2288	Suffolk	40	US	0	36.70155394	-76.63603554	Virginia	0	04/11/2020
2306	Suffolk	48	US	0	36.70155394	-76.63603554	Virginia	0	04/12/2020
2320	Suffolk	51	US	0	36.70155394	-76.63603554	Virginia	0	04/13/2020
2329	Suffolk	57	US	0	36.70155394	-76.63603554	Virginia	0	04/14/2020
2341	Suffolk	59	US	0	36.70155394	-76.63603554	Virginia	0	04/15/2020
2354	Suffolk	65	US	0	36.70155394	-76.63603554	Virginia	0	04/16/2020
2357	Suffolk	70	US	0	36.70155394	-76.63603554	Virginia	0	04/17/2020
2364	Suffolk	81	US	0	36.70155394	-76.63603554	Virginia	0	04/18/2020
2379	Suffolk	91	US	0	36.70155394	-76.63603554	Virginia	0	04/19/2020
2387	Suffolk	92	US	0	36.70155394	-76.63603554	Virginia	0	04/20/2020
2396	Suffolk	111	US	0	36.70155394	-76.63603554	Virginia	0	04/21/2020
2403	Suffolk	126	US	3	36.70155394	-76.63603554	Virginia	0	04/22/2020
2420	Suffolk	136	US	3	36.70155394	-76.63603554	Virginia	0	04/23/2020
2426	Suffolk	138	US	4	36.70155394	-76.63603554	Virginia	0	04/24/2020
2431	Suffolk	141	US	5	36.70155394	-76.63603554	Virginia	0	04/25/2020
2439	Suffolk	147	US	5	36.70155394	-76.63603554	Virginia	0	04/26/2020
2446	Suffolk	147	US	5	36.70155394	-76.63603554	Virginia	0	04/27/2020
2455	Suffolk	152	US	8	36.70155394	-76.63603554	Virginia	0	04/28/2020
2459	Suffolk	154	US	12	36.70155394	-76.63603554	Virginia	0	04/29/2020
2465	Suffolk	169	US	12	36.70155394	-76.63603554	Virginia	0	04/30/2020
2476	Suffolk	175	US	13	36.70155394	-76.63603554	Virginia	0	05/01/2020
2479	Suffolk	178	US	13	36.70155394	-76.63603554	Virginia	0	05/02/2020
2483	Suffolk	190	US	14	36.70155394	-76.63603554	Virginia	0	05/03/2020
2486	Suffolk	190	US	14	36.70155394	-76.63603554	Virginia	0	05/04/2020
2493	Suffolk	205	US	15	36.70155394	-76.63603554	Virginia	0	05/05/2020
2498	Suffolk	205	US	15	36.70155394	-76.63603554	Virginia	0	05/06/2020
2504	Suffolk	208	US	19	36.70155394	-76.63603554	Virginia	0	05/07/2020
2511	Suffolk	209	US	19	36.70155394	-76.63603554	Virginia	0	05/08/2020
2512	Suffolk	215	US	19	36.70155394	-76.63603554	Virginia	0	05/09/2020
2514	Suffolk	215	US	19	36.70155394	-76.63603554	Virginia	0	05/10/2020
2514	Suffolk	216	US	19	36.70155394	-76.63603554	Virginia	0	05/11/2020
2517	Suffolk	219	US	20	36.70155394	-76.63603554	Virginia	0	05/12/2020
2518	Suffolk	221	US	21	36.70155394	-76.63603554	Virginia	0	05/13/2020
2519	Suffolk	221	US	22	36.70155394	-76.63603554	Virginia	0	05/14/2020
2523	Suffolk	255	US	22	36.70155394	-76.63603554	Virginia	0	05/15/2020
2527	Suffolk	260	US	22	36.70155394	-76.63603554	Virginia	0	05/16/2020
2530	Suffolk	264	US	22	36.70155394	-76.63603554	Virginia	0	05/17/2020
2532	Suffolk	269	US	22	36.70155394	-76.63603554	Virginia	0	05/18/2020
2536	Suffolk	269	US	25	36.70155394	-76.63603554	Virginia	0	05/19/2020
2542	Suffolk	274	US	25	36.70155394	-76.63603554	Virginia	0	05/20/2020
2543	Suffolk	278	US	25	36.70155394	-76.63603554	Virginia	0	05/21/2020
2549	Suffolk	283	US	25	36.70155394	-76.63603554	Virginia	0	05/22/2020
2551	Suffolk	290	US	25	36.70155394	-76.63603554	Virginia	0	05/23/2020
2554	Suffolk	295	US	29	36.70155394	-76.63603554	Virginia	0	05/24/2020
2555	Suffolk	300	US	31	36.70155394	-76.63603554	Virginia	0	05/25/2020
2556	Suffolk	303	US	31	36.70155394	-76.63603554	Virginia	0	05/26/2020
2559	Suffolk	308	US	31	36.70155394	-76.63603554	Virginia	0	05/27/2020
2562	Suffolk	308	US	31	36.70155394	-76.63603554	Virginia	0	05/28/2020
2565	Suffolk	311	US	32	36.70155394	-76.63603554	Virginia	0	05/29/2020
2567	Suffolk	314	US	32	36.70155394	-76.63603554	Virginia	0	05/30/2020
2568	Suffolk	315	US	32	36.70155394	-76.63603554	Virginia	0	05/31/2020
2570	Suffolk	316	US	33	36.70155394	-76.63603554	Virginia	0	06/01/2020
2575	Suffolk	317	US	33	36.70155394	-76.63603554	Virginia	0	06/02/2020
2577	Suffolk	318	US	33	36.70155394	-76.63603554	Virginia	0	06/03/2020
2578	Suffolk	320	US	33	36.70155394	-76.63603554	Virginia	0	06/04/2020
