	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
60	Washington	US	03/22/2020	47.12521214	-120.679439	4	0	0	Kittitas
1521	Washington	US	03/23/2020	47.12521214	-120.679439	4	0	0	Kittitas
1521	Washington	US	03/24/2020	47.12521214	-120.679439	5	0	0	Kittitas
1521	Washington	US	03/25/2020	47.12521214	-120.679439	18	0	0	Kittitas
1520	Washington	US	03/26/2020	47.12521214	-120.679439	8	0	0	Kittitas
1520	Washington	US	03/27/2020	47.12521214	-120.679439	8	0	0	Kittitas
1520	Washington	US	03/28/2020	47.12521214	-120.679439	8	0	0	Kittitas
1520	Washington	US	03/29/2020	47.12521214	-120.679439	8	0	0	Kittitas
1520	Washington	US	03/30/2020	47.12521214	-120.679439	9	0	0	Kittitas
1021	Washington	US	03/31/2020	47.12521214	-120.679439	9	0	0	Kittitas
1049	Washington	US	04/01/2020	47.12521214	-120.679439	9	0	0	Kittitas
1090	Washington	US	04/02/2020	47.12521214	-120.679439	10	0	0	Kittitas
1108	Washington	US	04/03/2020	47.12521214	-120.679439	10	0	0	Kittitas
1134	Washington	US	04/04/2020	47.12521214	-120.679439	10	0	0	Kittitas
1175	Washington	US	04/05/2020	47.12521214	-120.679439	10	0	0	Kittitas
1191	Washington	US	04/06/2020	47.12521214	-120.679439	12	0	0	Kittitas
1216	Washington	US	04/07/2020	47.12521214	-120.679439	13	0	0	Kittitas
1231	Washington	US	04/08/2020	47.12521214	-120.679439	13	0	0	Kittitas
1244	Washington	US	04/09/2020	47.12521214	-120.679439	15	0	0	Kittitas
1251	Washington	US	04/10/2020	47.12521214	-120.679439	15	0	0	Kittitas
1264	Washington	US	04/11/2020	47.12521214	-120.679439	15	0	0	Kittitas
1273	Washington	US	04/12/2020	47.12521214	-120.679439	13	0	0	Kittitas
1283	Washington	US	04/13/2020	47.12521214	-120.679439	14	0	0	Kittitas
1289	Washington	US	04/14/2020	47.12521214	-120.679439	14	0	0	Kittitas
1295	Washington	US	04/15/2020	47.12521214	-120.679439	14	0	0	Kittitas
1298	Washington	US	04/16/2020	47.12521214	-120.679439	14	0	0	Kittitas
1297	Washington	US	04/17/2020	47.12521214	-120.679439	14	0	0	Kittitas
1302	Washington	US	04/18/2020	47.12521214	-120.679439	14	0	0	Kittitas
1312	Washington	US	04/19/2020	47.12521214	-120.679439	14	0	0	Kittitas
1316	Washington	US	04/20/2020	47.12521214	-120.679439	14	0	0	Kittitas
1322	Washington	US	04/21/2020	47.12521214	-120.679439	14	0	0	Kittitas
1326	Washington	US	04/22/2020	47.12521214	-120.679439	14	0	0	Kittitas
1336	Washington	US	04/23/2020	47.12521214	-120.679439	14	0	0	Kittitas
1338	Washington	US	04/24/2020	47.12521214	-120.679439	14	0	0	Kittitas
1339	Washington	US	04/25/2020	47.12521214	-120.679439	14	0	0	Kittitas
1345	Washington	US	04/26/2020	47.12521214	-120.679439	14	0	0	Kittitas
1347	Washington	US	04/27/2020	47.12521214	-120.679439	14	0	0	Kittitas
1352	Washington	US	04/28/2020	47.12521214	-120.679439	15	0	0	Kittitas
1354	Washington	US	04/29/2020	47.12521214	-120.679439	14	0	0	Kittitas
1360	Washington	US	04/30/2020	47.12521214	-120.679439	14	0	0	Kittitas
1367	Washington	US	05/01/2020	47.12521214	-120.679439	15	0	0	Kittitas
1371	Washington	US	05/02/2020	47.12521214	-120.679439	15	0	0	Kittitas
1373	Washington	US	05/03/2020	47.12521214	-120.679439	15	0	0	Kittitas
