	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
73	San Juan	1	US	0	48.60182783	-122.96745	Washington	0	03/22/2020
2515	San Juan	1	US	0	48.60182783	-122.96745	Washington	0	03/23/2020
2515	San Juan	1	US	0	48.60182783	-122.96745	Washington	0	03/24/2020
2515	San Juan	1	US	0	48.60182783	-122.96745	Washington	0	03/25/2020
2514	San Juan	2	US	0	48.60182783	-122.96745	Washington	0	03/26/2020
2514	San Juan	2	US	0	48.60182783	-122.96745	Washington	0	03/27/2020
2514	San Juan	3	US	0	48.60182783	-122.96745	Washington	0	03/28/2020
2514	San Juan	4	US	0	48.60182783	-122.96745	Washington	0	03/29/2020
2514	San Juan	4	US	0	48.60182783	-122.96745	Washington	0	03/30/2020
1690	San Juan	4	US	0	48.60182783	-122.96745	Washington	0	03/31/2020
1732	San Juan	4	US	0	48.60182783	-122.96745	Washington	0	04/01/2020
1797	San Juan	6	US	0	48.60182783	-122.96745	Washington	0	04/02/2020
1841	San Juan	6	US	0	48.60182783	-122.96745	Washington	0	04/03/2020
1887	San Juan	6	US	0	48.60182783	-122.96745	Washington	0	04/04/2020
1953	San Juan	7	US	0	48.60182783	-122.96745	Washington	0	04/05/2020
1986	San Juan	9	US	0	48.60182783	-122.96745	Washington	0	04/06/2020
2027	San Juan	10	US	0	48.60182783	-122.96745	Washington	0	04/07/2020
2047	San Juan	12	US	0	48.60182783	-122.96745	Washington	0	04/08/2020
2070	San Juan	12	US	0	48.60182783	-122.96745	Washington	0	04/09/2020
2089	San Juan	12	US	0	48.60182783	-122.96745	Washington	0	04/10/2020
2113	San Juan	13	US	0	48.60182783	-122.96745	Washington	0	04/11/2020
2130	San Juan	13	US	0	48.60182783	-122.96745	Washington	0	04/12/2020
2144	San Juan	13	US	0	48.60182783	-122.96745	Washington	0	04/13/2020
2152	San Juan	13	US	0	48.60182783	-122.96745	Washington	0	04/14/2020
2164	San Juan	13	US	0	48.60182783	-122.96745	Washington	0	04/15/2020
2176	San Juan	13	US	0	48.60182783	-122.96745	Washington	0	04/16/2020
2178	San Juan	13	US	0	48.60182783	-122.96745	Washington	0	04/17/2020
2185	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	04/18/2020
2198	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	04/19/2020
2205	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	04/20/2020
2214	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	04/21/2020
2221	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	04/22/2020
2235	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	04/23/2020
2240	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	04/24/2020
2245	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	04/25/2020
2253	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	04/26/2020
2259	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	04/27/2020
2268	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	04/28/2020
2271	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	04/29/2020
2277	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	04/30/2020
2288	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	05/01/2020
2292	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	05/02/2020
2296	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	05/03/2020
2299	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	05/04/2020
2306	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	05/05/2020
2311	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	05/06/2020
2315	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	05/07/2020
2322	San Juan	14	US	0	48.60182783	-122.96745	Washington	0	05/08/2020
2323	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	05/09/2020
2325	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	05/10/2020
2325	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	05/11/2020
2328	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	05/12/2020
2329	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	05/13/2020
2330	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	05/14/2020
2334	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	05/15/2020
2339	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	05/16/2020
2341	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	05/17/2020
2343	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	05/18/2020
2346	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	05/19/2020
2352	San Juan	15	US	0	48.60182783	-122.96745	Washington	0	05/20/2020
