	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
3095	West Virginia	US	03/22/2020	39.55439028	-78.26311676	0	0	0	Morgan
2015	West Virginia	US	03/23/2020	39.55439028	-78.26311676	0	0	0	Morgan
2015	West Virginia	US	03/24/2020	39.55439028	-78.26311676	0	0	0	Morgan
2015	West Virginia	US	03/25/2020	39.55439028	-78.26311676	0	0	0	Morgan
2014	West Virginia	US	03/26/2020	39.55439028	-78.26311676	0	0	0	Morgan
2014	West Virginia	US	03/27/2020	39.55439028	-78.26311676	0	0	0	Morgan
2014	West Virginia	US	03/28/2020	39.55439028	-78.26311676	0	0	0	Morgan
2014	West Virginia	US	03/29/2020	39.55439028	-78.26311676	0	0	0	Morgan
2014	West Virginia	US	03/30/2020	39.55439028	-78.26311676	1	0	0	Morgan
1359	West Virginia	US	03/31/2020	39.55439028	-78.26311676	1	0	0	Morgan
1395	West Virginia	US	04/01/2020	39.55439028	-78.26311676	1	0	0	Morgan
1449	West Virginia	US	04/02/2020	39.55439028	-78.26311676	1	0	0	Morgan
1480	West Virginia	US	04/03/2020	39.55439028	-78.26311676	1	0	0	Morgan
1519	West Virginia	US	04/04/2020	39.55439028	-78.26311676	1	0	0	Morgan
1569	West Virginia	US	04/05/2020	39.55439028	-78.26311676	3	0	0	Morgan
1593	West Virginia	US	04/06/2020	39.55439028	-78.26311676	3	0	0	Morgan
1629	West Virginia	US	04/07/2020	39.55439028	-78.26311676	4	0	0	Morgan
1644	West Virginia	US	04/08/2020	39.55439028	-78.26311676	4	0	0	Morgan
1663	West Virginia	US	04/09/2020	39.55439028	-78.26311676	4	0	0	Morgan
1673	West Virginia	US	04/10/2020	39.55439028	-78.26311676	5	0	0	Morgan
1691	West Virginia	US	04/11/2020	39.55439028	-78.26311676	6	0	0	Morgan
1704	West Virginia	US	04/12/2020	39.55439028	-78.26311676	6	0	0	Morgan
1717	West Virginia	US	04/13/2020	39.55439028	-78.26311676	6	0	0	Morgan
1724	West Virginia	US	04/14/2020	39.55439028	-78.26311676	6	0	0	Morgan
1732	West Virginia	US	04/15/2020	39.55439028	-78.26311676	6	0	0	Morgan
1739	West Virginia	US	04/16/2020	39.55439028	-78.26311676	7	0	0	Morgan
1740	West Virginia	US	04/17/2020	39.55439028	-78.26311676	8	0	0	Morgan
1746	West Virginia	US	04/18/2020	39.55439028	-78.26311676	8	0	0	Morgan
1754	West Virginia	US	04/19/2020	39.55439028	-78.26311676	8	0	0	Morgan
1761	West Virginia	US	04/20/2020	39.55439028	-78.26311676	9	0	0	Morgan
1769	West Virginia	US	04/21/2020	39.55439028	-78.26311676	9	0	0	Morgan
1776	West Virginia	US	04/22/2020	39.55439028	-78.26311676	7	0	0	Morgan
1787	West Virginia	US	04/23/2020	39.55439028	-78.26311676	7	0	0	Morgan
1790	West Virginia	US	04/24/2020	39.55439028	-78.26311676	9	0	0	Morgan
1794	West Virginia	US	04/25/2020	39.55439028	-78.26311676	9	0	0	Morgan
1800	West Virginia	US	04/26/2020	39.55439028	-78.26311676	9	0	0	Morgan
1802	West Virginia	US	04/27/2020	39.55439028	-78.26311676	9	0	0	Morgan
1809	West Virginia	US	04/28/2020	39.55439028	-78.26311676	9	0	0	Morgan
1812	West Virginia	US	04/29/2020	39.55439028	-78.26311676	10	0	0	Morgan
1818	West Virginia	US	04/30/2020	39.55439028	-78.26311676	11	0	0	Morgan
1826	West Virginia	US	05/01/2020	39.55439028	-78.26311676	12	0	0	Morgan
1830	West Virginia	US	05/02/2020	39.55439028	-78.26311676	13	0	0	Morgan
1833	West Virginia	US	05/03/2020	39.55439028	-78.26311676	13	0	0	Morgan
1835	West Virginia	US	05/04/2020	39.55439028	-78.26311676	13	0	0	Morgan
1841	West Virginia	US	05/05/2020	39.55439028	-78.26311676	14	0	0	Morgan
1845	West Virginia	US	05/06/2020	39.55439028	-78.26311676	14	0	0	Morgan
1849	West Virginia	US	05/07/2020	39.55439028	-78.26311676	16	0	0	Morgan
1854	West Virginia	US	05/08/2020	39.55439028	-78.26311676	16	0	0	Morgan
1855	West Virginia	US	05/09/2020	39.55439028	-78.26311676	16	0	0	Morgan
1856	West Virginia	US	05/10/2020	39.55439028	-78.26311676	16	0	0	Morgan
1856	West Virginia	US	05/11/2020	39.55439028	-78.26311676	16	0	0	Morgan
1859	West Virginia	US	05/12/2020	39.55439028	-78.26311676	17	0	0	Morgan
1859	West Virginia	US	05/13/2020	39.55439028	-78.26311676	17	0	0	Morgan
1860	West Virginia	US	05/14/2020	39.55439028	-78.26311676	17	0	0	Morgan
1864	West Virginia	US	05/15/2020	39.55439028	-78.26311676	17	0	0	Morgan
1867	West Virginia	US	05/16/2020	39.55439028	-78.26311676	17	0	0	Morgan
1869	West Virginia	US	05/17/2020	39.55439028	-78.26311676	17	0	0	Morgan
1870	West Virginia	US	05/18/2020	39.55439028	-78.26311676	17	0	0	Morgan
1872	West Virginia	US	05/19/2020	39.55439028	-78.26311676	17	0	0	Morgan
1877	West Virginia	US	05/20/2020	39.55439028	-78.26311676	17	0	0	Morgan
1878	West Virginia	US	05/21/2020	39.55439028	-78.26311676	17	0	0	Morgan
1883	West Virginia	US	05/22/2020	39.55439028	-78.26311676	17	0	0	Morgan
1885	West Virginia	US	05/23/2020	39.55439028	-78.26311676	17	0	0	Morgan
1888	West Virginia	US	05/24/2020	39.55439028	-78.26311676	17	0	0	Morgan
1888	West Virginia	US	05/25/2020	39.55439028	-78.26311676	18	0	0	Morgan
1889	West Virginia	US	05/26/2020	39.55439028	-78.26311676	18	0	0	Morgan
1891	West Virginia	US	05/27/2020	39.55439028	-78.26311676	18	0	0	Morgan
1892	West Virginia	US	05/28/2020	39.55439028	-78.26311676	18	0	0	Morgan
1895	West Virginia	US	05/29/2020	39.55439028	-78.26311676	18	0	0	Morgan
1897	West Virginia	US	05/30/2020	39.55439028	-78.26311676	18	0	0	Morgan
1898	West Virginia	US	05/31/2020	39.55439028	-78.26311676	18	0	0	Morgan
1900	West Virginia	US	06/01/2020	39.55439028	-78.26311676	18	0	0	Morgan
1904	West Virginia	US	06/02/2020	39.55439028	-78.26311676	19	0	0	Morgan
1905	West Virginia	US	06/03/2020	39.55439028	-78.26311676	19	0	0	Morgan
1906	West Virginia	US	06/04/2020	39.55439028	-78.26311676	19	0	0	Morgan
1908	West Virginia	US	06/05/2020	39.55439028	-78.26311676	19	0	0	Morgan
1909	West Virginia	US	06/06/2020	39.55439028	-78.26311676	19	0	0	Morgan
1909	West Virginia	US	06/07/2020	39.55439028	-78.26311676	19	0	0	Morgan
1909	West Virginia	US	06/08/2020	39.55439028	-78.26311676	19	0	0	Morgan
1911	West Virginia	US	06/09/2020	39.55439028	-78.26311676	19	0	0	Morgan
1913	West Virginia	US	06/10/2020	39.55439028	-78.26311676	19	0	0	Morgan
1914	West Virginia	US	06/11/2020	39.55439028	-78.26311676	19	0	0	Morgan
1924	West Virginia	US	06/12/2020	39.55439028	-78.26311676	19	0	0	Morgan
1926	West Virginia	US	06/13/2020	39.55439028	-78.26311676	19	0	0	Morgan
1926	West Virginia	US	06/14/2020	39.55439028	-78.26311676	19	0	0	Morgan
1928	West Virginia	US	06/15/2020	39.55439028	-78.26311676	19	0	0	Morgan
1927	West Virginia	US	06/16/2020	39.55439028	-78.26311676	19	0	0	Morgan
