	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
3097	West Virginia	US	03/22/2020	40.0955451	-80.62203992	0	0	0	Ohio
2124	West Virginia	US	03/23/2020	40.0955451	-80.62203992	0	0	0	Ohio
2124	West Virginia	US	03/24/2020	40.0955451	-80.62203992	0	0	0	Ohio
2124	West Virginia	US	03/25/2020	40.0955451	-80.62203992	0	0	0	Ohio
2123	West Virginia	US	03/26/2020	40.0955451	-80.62203992	2	0	0	Ohio
2123	West Virginia	US	03/27/2020	40.0955451	-80.62203992	1	0	0	Ohio
2123	West Virginia	US	03/28/2020	40.0955451	-80.62203992	6	0	0	Ohio
2123	West Virginia	US	03/29/2020	40.0955451	-80.62203992	6	0	0	Ohio
2123	West Virginia	US	03/30/2020	40.0955451	-80.62203992	9	0	0	Ohio
1436	West Virginia	US	03/31/2020	40.0955451	-80.62203992	10	0	0	Ohio
1474	West Virginia	US	04/01/2020	40.0955451	-80.62203992	11	0	0	Ohio
1531	West Virginia	US	04/02/2020	40.0955451	-80.62203992	10	0	0	Ohio
1563	West Virginia	US	04/03/2020	40.0955451	-80.62203992	11	0	0	Ohio
1602	West Virginia	US	04/04/2020	40.0955451	-80.62203992	11	0	0	Ohio
1654	West Virginia	US	04/05/2020	40.0955451	-80.62203992	18	0	0	Ohio
1680	West Virginia	US	04/06/2020	40.0955451	-80.62203992	15	0	0	Ohio
1717	West Virginia	US	04/07/2020	40.0955451	-80.62203992	19	0	0	Ohio
1733	West Virginia	US	04/08/2020	40.0955451	-80.62203992	18	0	0	Ohio
1753	West Virginia	US	04/09/2020	40.0955451	-80.62203992	20	0	0	Ohio
1765	West Virginia	US	04/10/2020	40.0955451	-80.62203992	21	0	0	Ohio
1783	West Virginia	US	04/11/2020	40.0955451	-80.62203992	21	0	0	Ohio
1796	West Virginia	US	04/12/2020	40.0955451	-80.62203992	21	0	0	Ohio
1810	West Virginia	US	04/13/2020	40.0955451	-80.62203992	25	0	0	Ohio
1817	West Virginia	US	04/14/2020	40.0955451	-80.62203992	23	0	0	Ohio
1827	West Virginia	US	04/15/2020	40.0955451	-80.62203992	22	0	0	Ohio
1835	West Virginia	US	04/16/2020	40.0955451	-80.62203992	22	0	0	Ohio
1837	West Virginia	US	04/17/2020	40.0955451	-80.62203992	22	0	0	Ohio
1843	West Virginia	US	04/18/2020	40.0955451	-80.62203992	23	0	0	Ohio
1854	West Virginia	US	04/19/2020	40.0955451	-80.62203992	22	0	0	Ohio
1861	West Virginia	US	04/20/2020	40.0955451	-80.62203992	22	0	0	Ohio
1869	West Virginia	US	04/21/2020	40.0955451	-80.62203992	22	0	0	Ohio
1876	West Virginia	US	04/22/2020	40.0955451	-80.62203992	23	0	0	Ohio
1887	West Virginia	US	04/23/2020	40.0955451	-80.62203992	24	1	0	Ohio
1892	West Virginia	US	04/24/2020	40.0955451	-80.62203992	25	1	0	Ohio
1896	West Virginia	US	04/25/2020	40.0955451	-80.62203992	25	1	0	Ohio
1902	West Virginia	US	04/26/2020	40.0955451	-80.62203992	26	1	0	Ohio
1905	West Virginia	US	04/27/2020	40.0955451	-80.62203992	26	1	0	Ohio
1912	West Virginia	US	04/28/2020	40.0955451	-80.62203992	26	1	0	Ohio
1915	West Virginia	US	04/29/2020	40.0955451	-80.62203992	27	1	0	Ohio
1921	West Virginia	US	04/30/2020	40.0955451	-80.62203992	27	1	0	Ohio
1930	West Virginia	US	05/01/2020	40.0955451	-80.62203992	29	1	0	Ohio
1934	West Virginia	US	05/02/2020	40.0955451	-80.62203992	33	1	0	Ohio
1937	West Virginia	US	05/03/2020	40.0955451	-80.62203992	33	1	0	Ohio
1939	West Virginia	US	05/04/2020	40.0955451	-80.62203992	33	1	0	Ohio
1945	West Virginia	US	05/05/2020	40.0955451	-80.62203992	34	1	0	Ohio
1949	West Virginia	US	05/06/2020	40.0955451	-80.62203992	34	1	0	Ohio
1953	West Virginia	US	05/07/2020	40.0955451	-80.62203992	34	1	0	Ohio
1958	West Virginia	US	05/08/2020	40.0955451	-80.62203992	35	1	0	Ohio
1959	West Virginia	US	05/09/2020	40.0955451	-80.62203992	35	1	0	Ohio
1960	West Virginia	US	05/10/2020	40.0955451	-80.62203992	37	1	0	Ohio
1960	West Virginia	US	05/11/2020	40.0955451	-80.62203992	38	1	0	Ohio
