	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
3100	West Virginia	US	03/22/2020	38.32758728	-80.00993811	0	0	0	Pocahontas
2298	West Virginia	US	03/23/2020	38.32758728	-80.00993811	0	0	0	Pocahontas
2298	West Virginia	US	03/24/2020	38.32758728	-80.00993811	0	0	0	Pocahontas
2298	West Virginia	US	03/25/2020	38.32758728	-80.00993811	0	0	0	Pocahontas
2297	West Virginia	US	03/26/2020	38.32758728	-80.00993811	0	0	0	Pocahontas
2297	West Virginia	US	03/27/2020	38.32758728	-80.00993811	0	0	0	Pocahontas
2297	West Virginia	US	03/28/2020	38.32758728	-80.00993811	0	0	0	Pocahontas
2297	West Virginia	US	03/29/2020	38.32758728	-80.00993811	0	0	0	Pocahontas
2297	West Virginia	US	03/30/2020	38.32758728	-80.00993811	0	0	0	Pocahontas
2070	West Virginia	US	04/27/2020	38.32758728	-80.00993811	1	0	0	Pocahontas
2078	West Virginia	US	04/28/2020	38.32758728	-80.00993811	2	0	0	Pocahontas
2081	West Virginia	US	04/29/2020	38.32758728	-80.00993811	2	0	0	Pocahontas
2087	West Virginia	US	04/30/2020	38.32758728	-80.00993811	2	0	0	Pocahontas
2096	West Virginia	US	05/01/2020	38.32758728	-80.00993811	2	0	0	Pocahontas
2100	West Virginia	US	05/02/2020	38.32758728	-80.00993811	2	0	0	Pocahontas
2103	West Virginia	US	05/03/2020	38.32758728	-80.00993811	2	0	0	Pocahontas
2105	West Virginia	US	05/04/2020	38.32758728	-80.00993811	2	0	0	Pocahontas
2111	West Virginia	US	05/05/2020	38.32758728	-80.00993811	2	0	0	Pocahontas
2116	West Virginia	US	05/06/2020	38.32758728	-80.00993811	2	0	0	Pocahontas
2120	West Virginia	US	05/07/2020	38.32758728	-80.00993811	2	0	0	Pocahontas
2126	West Virginia	US	05/08/2020	38.32758728	-80.00993811	2	0	0	Pocahontas
2127	West Virginia	US	05/09/2020	38.32758728	-80.00993811	2	0	0	Pocahontas
2129	West Virginia	US	05/10/2020	38.32758728	-80.00993811	2	0	0	Pocahontas
