	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
544	Wisconsin	US	03/22/2020	43.02054068	-88.77529134	2	0	0	Jefferson
1425	Wisconsin	US	03/23/2020	43.02054068	-88.77529134	2	0	0	Jefferson
1425	Wisconsin	US	03/24/2020	43.02054068	-88.77529134	4	0	0	Jefferson
1425	Wisconsin	US	03/25/2020	43.02054068	-88.77529134	5	0	0	Jefferson
1424	Wisconsin	US	03/26/2020	43.02054068	-88.77529134	5	0	0	Jefferson
1424	Wisconsin	US	03/27/2020	43.02054068	-88.77529134	6	0	0	Jefferson
1424	Wisconsin	US	03/28/2020	43.02054068	-88.77529134	8	0	0	Jefferson
1424	Wisconsin	US	03/29/2020	43.02054068	-88.77529134	8	0	0	Jefferson
1424	Wisconsin	US	03/30/2020	43.02054068	-88.77529134	10	0	0	Jefferson
961	Wisconsin	US	03/31/2020	43.02054068	-88.77529134	11	0	0	Jefferson
988	Wisconsin	US	04/01/2020	43.02054068	-88.77529134	12	0	0	Jefferson
1025	Wisconsin	US	04/02/2020	43.02054068	-88.77529134	12	0	0	Jefferson
1043	Wisconsin	US	04/03/2020	43.02054068	-88.77529134	13	0	0	Jefferson
1067	Wisconsin	US	04/04/2020	43.02054068	-88.77529134	13	0	0	Jefferson
1106	Wisconsin	US	04/05/2020	43.02054068	-88.77529134	14	0	0	Jefferson
1122	Wisconsin	US	04/06/2020	43.02054068	-88.77529134	14	0	0	Jefferson
1146	Wisconsin	US	04/07/2020	43.02054068	-88.77529134	15	0	0	Jefferson
1159	Wisconsin	US	04/08/2020	43.02054068	-88.77529134	15	0	0	Jefferson
1170	Wisconsin	US	04/09/2020	43.02054068	-88.77529134	19	0	0	Jefferson
1177	Wisconsin	US	04/10/2020	43.02054068	-88.77529134	21	0	0	Jefferson
1190	Wisconsin	US	04/11/2020	43.02054068	-88.77529134	22	0	0	Jefferson
1198	Wisconsin	US	04/12/2020	43.02054068	-88.77529134	23	0	0	Jefferson
1207	Wisconsin	US	04/13/2020	43.02054068	-88.77529134	24	0	0	Jefferson
1212	Wisconsin	US	04/14/2020	43.02054068	-88.77529134	24	0	0	Jefferson
1218	Wisconsin	US	04/15/2020	43.02054068	-88.77529134	24	0	0	Jefferson
1221	Wisconsin	US	04/16/2020	43.02054068	-88.77529134	24	0	0	Jefferson
1221	Wisconsin	US	04/17/2020	43.02054068	-88.77529134	27	0	0	Jefferson
1226	Wisconsin	US	04/18/2020	43.02054068	-88.77529134	27	0	0	Jefferson
1236	Wisconsin	US	04/19/2020	43.02054068	-88.77529134	32	0	0	Jefferson
