	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
3135	Langlade	0	US	0	45.26271619	-89.07483625	Wisconsin	0	03/22/2020
1590	Langlade	0	US	0	45.26271619	-89.07483625	Wisconsin	0	03/23/2020
1590	Langlade	0	US	0	45.26271619	-89.07483625	Wisconsin	0	03/24/2020
1590	Langlade	0	US	0	45.26271619	-89.07483625	Wisconsin	0	03/25/2020
1589	Langlade	0	US	0	45.26271619	-89.07483625	Wisconsin	0	03/26/2020
1589	Langlade	0	US	0	45.26271619	-89.07483625	Wisconsin	0	03/27/2020
1589	Langlade	0	US	0	45.26271619	-89.07483625	Wisconsin	0	03/28/2020
1589	Langlade	0	US	0	45.26271619	-89.07483625	Wisconsin	0	03/29/2020
1589	Langlade	0	US	0	45.26271619	-89.07483625	Wisconsin	0	03/30/2020
1471	Langlade	1	US	0	45.26271619	-89.07483625	Wisconsin	0	05/21/2020
1476	Langlade	1	US	0	45.26271619	-89.07483625	Wisconsin	0	05/22/2020
1477	Langlade	1	US	0	45.26271619	-89.07483625	Wisconsin	0	05/23/2020
1480	Langlade	1	US	0	45.26271619	-89.07483625	Wisconsin	0	05/24/2020
1480	Langlade	1	US	0	45.26271619	-89.07483625	Wisconsin	0	05/25/2020
1481	Langlade	3	US	0	45.26271619	-89.07483625	Wisconsin	0	05/26/2020
1483	Langlade	2	US	0	45.26271619	-89.07483625	Wisconsin	0	05/27/2020
1483	Langlade	2	US	0	45.26271619	-89.07483625	Wisconsin	0	05/28/2020
1486	Langlade	2	US	0	45.26271619	-89.07483625	Wisconsin	0	05/29/2020
1488	Langlade	2	US	0	45.26271619	-89.07483625	Wisconsin	0	05/30/2020
1489	Langlade	3	US	0	45.26271619	-89.07483625	Wisconsin	0	05/31/2020
1491	Langlade	3	US	0	45.26271619	-89.07483625	Wisconsin	0	06/01/2020
1495	Langlade	3	US	0	45.26271619	-89.07483625	Wisconsin	0	06/02/2020
1496	Langlade	3	US	0	45.26271619	-89.07483625	Wisconsin	0	06/03/2020
1497	Langlade	4	US	0	45.26271619	-89.07483625	Wisconsin	0	06/04/2020
1499	Langlade	4	US	0	45.26271619	-89.07483625	Wisconsin	0	06/05/2020
1500	Langlade	4	US	0	45.26271619	-89.07483625	Wisconsin	0	06/06/2020
1500	Langlade	4	US	0	45.26271619	-89.07483625	Wisconsin	0	06/07/2020
1500	Langlade	8	US	0	45.26271619	-89.07483625	Wisconsin	0	06/08/2020
1502	Langlade	5	US	0	45.26271619	-89.07483625	Wisconsin	0	06/09/2020
1504	Langlade	5	US	0	45.26271619	-89.07483625	Wisconsin	0	06/10/2020
1505	Langlade	6	US	0	45.26271619	-89.07483625	Wisconsin	0	06/11/2020
1513	Langlade	5	US	0	45.26271619	-89.07483625	Wisconsin	0	06/12/2020
1514	Langlade	5	US	0	45.26271619	-89.07483625	Wisconsin	0	06/13/2020
1514	Langlade	5	US	0	45.26271619	-89.07483625	Wisconsin	0	06/14/2020
1516	Langlade	6	US	0	45.26271619	-89.07483625	Wisconsin	0	06/15/2020
1515	Langlade	6	US	0	45.26271619	-89.07483625	Wisconsin	0	06/16/2020
1517	Langlade	6	US	0	45.26271619	-89.07483625	Wisconsin	0	06/17/2020
1517	Langlade	7	US	0	45.26271619	-89.07483625	Wisconsin	0	06/18/2020
1517	Langlade	7	US	0	45.26271619	-89.07483625	Wisconsin	0	06/19/2020
1521	Langlade	7	US	0	45.26271619	-89.07483625	Wisconsin	0	06/20/2020
1521	Langlade	7	US	0	45.26271619	-89.07483625	Wisconsin	0	06/21/2020
1522	Langlade	7	US	0	45.26271619	-89.07483625	Wisconsin	0	06/22/2020
1524	Langlade	7	US	0	45.26271619	-89.07483625	Wisconsin	0	06/23/2020
1527	Langlade	7	US	0	45.26271619	-89.07483625	Wisconsin	0	06/24/2020
1535	Langlade	8	US	0	45.26271619	-89.07483625	Wisconsin	0	06/25/2020
1533	Langlade	7	US	0	45.26271619	-89.07483625	Wisconsin	0	06/26/2020
1537	Langlade	7	US	0	45.26271619	-89.07483625	Wisconsin	0	06/27/2020
1537	Langlade	7	US	0	45.26271619	-89.07483625	Wisconsin	0	06/28/2020
1534	Langlade	8	US	0	45.26271619	-89.07483625	Wisconsin	0	06/29/2020
1538	Langlade	8	US	0	45.26271619	-89.07483625	Wisconsin	0	06/30/2020
1538	Langlade	10	US	0	45.26271619	-89.07483625	Wisconsin	0	07/01/2020
1540	Langlade	10	US	0	45.26271619	-89.07483625	Wisconsin	0	07/02/2020
1543	Langlade	11	US	0	45.26271619	-89.07483625	Wisconsin	0	07/03/2020
1543	Langlade	11	US	0	45.26271619	-89.07483625	Wisconsin	0	07/04/2020
1543	Langlade	11	US	0	45.26271619	-89.07483625	Wisconsin	0	07/05/2020
1546	Langlade	11	US	0	45.26271619	-89.07483625	Wisconsin	0	07/06/2020
