	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
533	Winnebago	5	US	0	44.06886922	-88.64477096	Wisconsin	0	03/22/2020
3107	Winnebago	5	US	0	44.06886922	-88.64477096	Wisconsin	0	03/23/2020
3106	Winnebago	5	US	0	44.06886922	-88.64477096	Wisconsin	0	03/24/2020
3106	Winnebago	5	US	0	44.06886922	-88.64477096	Wisconsin	0	03/25/2020
3103	Winnebago	6	US	0	44.06886922	-88.64477096	Wisconsin	0	03/26/2020
3110	Winnebago	6	US	0	44.06886922	-88.64477096	Wisconsin	0	03/27/2020
3107	Winnebago	7	US	0	44.06886922	-88.64477096	Wisconsin	0	03/28/2020
3111	Winnebago	8	US	0	44.06886922	-88.64477096	Wisconsin	0	03/29/2020
3115	Winnebago	10	US	0	44.06886922	-88.64477096	Wisconsin	0	03/30/2020
2128	Winnebago	11	US	0	44.06886922	-88.64477096	Wisconsin	0	03/31/2020
2176	Winnebago	19	US	0	44.06886922	-88.64477096	Wisconsin	0	04/01/2020
2256	Winnebago	24	US	0	44.06886922	-88.64477096	Wisconsin	0	04/02/2020
2309	Winnebago	24	US	0	44.06886922	-88.64477096	Wisconsin	0	04/03/2020
2363	Winnebago	24	US	0	44.06886922	-88.64477096	Wisconsin	0	04/04/2020
2442	Winnebago	20	US	0	44.06886922	-88.64477096	Wisconsin	0	04/05/2020
2485	Winnebago	24	US	1	44.06886922	-88.64477096	Wisconsin	0	04/06/2020
2533	Winnebago	24	US	1	44.06886922	-88.64477096	Wisconsin	0	04/07/2020
2558	Winnebago	24	US	1	44.06886922	-88.64477096	Wisconsin	0	04/08/2020
2586	Winnebago	25	US	1	44.06886922	-88.64477096	Wisconsin	0	04/09/2020
2615	Winnebago	25	US	1	44.06886922	-88.64477096	Wisconsin	0	04/10/2020
2639	Winnebago	25	US	1	44.06886922	-88.64477096	Wisconsin	0	04/11/2020
2663	Winnebago	27	US	1	44.06886922	-88.64477096	Wisconsin	0	04/12/2020
2677	Winnebago	27	US	1	44.06886922	-88.64477096	Wisconsin	0	04/13/2020
2689	Winnebago	29	US	1	44.06886922	-88.64477096	Wisconsin	0	04/14/2020
2702	Winnebago	31	US	1	44.06886922	-88.64477096	Wisconsin	0	04/15/2020
2717	Winnebago	32	US	1	44.06886922	-88.64477096	Wisconsin	0	04/16/2020
2720	Winnebago	34	US	1	44.06886922	-88.64477096	Wisconsin	0	04/17/2020
2728	Winnebago	38	US	1	44.06886922	-88.64477096	Wisconsin	0	04/18/2020
2745	Winnebago	41	US	1	44.06886922	-88.64477096	Wisconsin	0	04/19/2020
2754	Winnebago	41	US	1	44.06886922	-88.64477096	Wisconsin	0	04/20/2020
2764	Winnebago	41	US	1	44.06886922	-88.64477096	Wisconsin	0	04/21/2020
2773	Winnebago	43	US	1	44.06886922	-88.64477096	Wisconsin	0	04/22/2020
2793	Winnebago	46	US	1	44.06886922	-88.64477096	Wisconsin	0	04/23/2020
2802	Winnebago	46	US	1	44.06886922	-88.64477096	Wisconsin	0	04/24/2020
2808	Winnebago	48	US	1	44.06886922	-88.64477096	Wisconsin	0	04/25/2020
2816	Winnebago	48	US	1	44.06886922	-88.64477096	Wisconsin	0	04/26/2020
2824	Winnebago	48	US	1	44.06886922	-88.64477096	Wisconsin	0	04/27/2020
2835	Winnebago	48	US	1	44.06886922	-88.64477096	Wisconsin	0	04/28/2020
2840	Winnebago	51	US	1	44.06886922	-88.64477096	Wisconsin	0	04/29/2020
2847	Winnebago	53	US	1	44.06886922	-88.64477096	Wisconsin	0	04/30/2020
2858	Winnebago	62	US	1	44.06886922	-88.64477096	Wisconsin	0	05/01/2020
2862	Winnebago	67	US	1	44.06886922	-88.64477096	Wisconsin	0	05/02/2020
2867	Winnebago	69	US	1	44.06886922	-88.64477096	Wisconsin	0	05/03/2020
2870	Winnebago	72	US	1	44.06886922	-88.64477096	Wisconsin	0	05/04/2020
2878	Winnebago	83	US	1	44.06886922	-88.64477096	Wisconsin	0	05/05/2020
2884	Winnebago	85	US	1	44.06886922	-88.64477096	Wisconsin	0	05/06/2020
2891	Winnebago	88	US	1	44.06886922	-88.64477096	Wisconsin	0	05/07/2020
2898	Winnebago	91	US	1	44.06886922	-88.64477096	Wisconsin	0	05/08/2020
2900	Winnebago	98	US	1	44.06886922	-88.64477096	Wisconsin	0	05/09/2020
2902	Winnebago	98	US	1	44.06886922	-88.64477096	Wisconsin	0	05/10/2020
2902	Winnebago	100	US	1	44.06886922	-88.64477096	Wisconsin	0	05/11/2020
2905	Winnebago	101	US	1	44.06886922	-88.64477096	Wisconsin	0	05/12/2020
2906	Winnebago	102	US	1	44.06886922	-88.64477096	Wisconsin	0	05/13/2020
2908	Winnebago	108	US	1	44.06886922	-88.64477096	Wisconsin	0	05/14/2020
2914	Winnebago	112	US	1	44.06886922	-88.64477096	Wisconsin	0	05/15/2020
2918	Winnebago	117	US	1	44.06886922	-88.64477096	Wisconsin	0	05/16/2020
2921	Winnebago	123	US	1	44.06886922	-88.64477096	Wisconsin	0	05/17/2020
2922	Winnebago	124	US	1	44.06886922	-88.64477096	Wisconsin	0	05/18/2020
2926	Winnebago	126	US	1	44.06886922	-88.64477096	Wisconsin	0	05/19/2020
2932	Winnebago	134	US	1	44.06886922	-88.64477096	Wisconsin	0	05/20/2020
2934	Winnebago	141	US	1	44.06886922	-88.64477096	Wisconsin	0	05/21/2020
2941	Winnebago	160	US	1	44.06886922	-88.64477096	Wisconsin	0	05/22/2020
2943	Winnebago	166	US	1	44.06886922	-88.64477096	Wisconsin	0	05/23/2020
2947	Winnebago	172	US	1	44.06886922	-88.64477096	Wisconsin	0	05/24/2020
2948	Winnebago	182	US	1	44.06886922	-88.64477096	Wisconsin	0	05/25/2020
2949	Winnebago	191	US	1	44.06886922	-88.64477096	Wisconsin	0	05/26/2020
2953	Winnebago	199	US	3	44.06886922	-88.64477096	Wisconsin	0	05/27/2020
2956	Winnebago	205	US	3	44.06886922	-88.64477096	Wisconsin	0	05/28/2020
2959	Winnebago	224	US	4	44.06886922	-88.64477096	Wisconsin	0	05/29/2020
2961	Winnebago	238	US	6	44.06886922	-88.64477096	Wisconsin	0	05/30/2020
2962	Winnebago	244	US	7	44.06886922	-88.64477096	Wisconsin	0	05/31/2020
2964	Winnebago	249	US	7	44.06886922	-88.64477096	Wisconsin	0	06/01/2020
2969	Winnebago	270	US	7	44.06886922	-88.64477096	Wisconsin	0	06/02/2020
2971	Winnebago	284	US	7	44.06886922	-88.64477096	Wisconsin	0	06/03/2020
2972	Winnebago	309	US	7	44.06886922	-88.64477096	Wisconsin	0	06/04/2020
2976	Winnebago	334	US	7	44.06886922	-88.64477096	Wisconsin	0	06/05/2020
2978	Winnebago	354	US	7	44.06886922	-88.64477096	Wisconsin	0	06/06/2020
2978	Winnebago	385	US	7	44.06886922	-88.64477096	Wisconsin	0	06/07/2020
2978	Winnebago	397	US	7	44.06886922	-88.64477096	Wisconsin	0	06/08/2020
2980	Winnebago	431	US	7	44.06886922	-88.64477096	Wisconsin	0	06/09/2020
2982	Winnebago	457	US	8	44.06886922	-88.64477096	Wisconsin	0	06/10/2020
2984	Winnebago	473	US	8	44.06886922	-88.64477096	Wisconsin	0	06/11/2020
2999	Winnebago	485	US	9	44.06886922	-88.64477096	Wisconsin	0	06/12/2020
3002	Winnebago	506	US	9	44.06886922	-88.64477096	Wisconsin	0	06/13/2020
3002	Winnebago	518	US	9	44.06886922	-88.64477096	Wisconsin	0	06/14/2020
3007	Winnebago	532	US	9	44.06886922	-88.64477096	Wisconsin	0	06/15/2020
3005	Winnebago	537	US	9	44.06886922	-88.64477096	Wisconsin	0	06/16/2020
3008	Winnebago	551	US	10	44.06886922	-88.64477096	Wisconsin	0	06/17/2020
3009	Winnebago	569	US	10	44.06886922	-88.64477096	Wisconsin	0	06/18/2020
3010	Winnebago	579	US	10	44.06886922	-88.64477096	Wisconsin	0	06/19/2020
3014	Winnebago	593	US	11	44.06886922	-88.64477096	Wisconsin	0	06/20/2020
3014	Winnebago	601	US	11	44.06886922	-88.64477096	Wisconsin	0	06/21/2020
3017	Winnebago	608	US	11	44.06886922	-88.64477096	Wisconsin	0	06/22/2020
3022	Winnebago	619	US	11	44.06886922	-88.64477096	Wisconsin	0	06/23/2020
3035	Winnebago	626	US	11	44.06886922	-88.64477096	Wisconsin	0	06/24/2020
3042	Winnebago	634	US	11	44.06886922	-88.64477096	Wisconsin	0	06/25/2020
3043	Winnebago	639	US	11	44.06886922	-88.64477096	Wisconsin	0	06/26/2020
3044	Winnebago	643	US	11	44.06886922	-88.64477096	Wisconsin	0	06/27/2020
3044	Winnebago	655	US	11	44.06886922	-88.64477096	Wisconsin	0	06/28/2020
3046	Winnebago	662	US	11	44.06886922	-88.64477096	Wisconsin	0	06/29/2020
3048	Winnebago	669	US	11	44.06886922	-88.64477096	Wisconsin	0	06/30/2020
3050	Winnebago	683	US	11	44.06886922	-88.64477096	Wisconsin	0	07/01/2020
3053	Winnebago	692	US	11	44.06886922	-88.64477096	Wisconsin	0	07/02/2020
3058	Winnebago	692	US	13	44.06886922	-88.64477096	Wisconsin	0	07/03/2020
3059	Winnebago	701	US	13	44.06886922	-88.64477096	Wisconsin	0	07/04/2020
3060	Winnebago	711	US	13	44.06886922	-88.64477096	Wisconsin	0	07/05/2020
3062	Winnebago	715	US	13	44.06886922	-88.64477096	Wisconsin	0	07/06/2020
