	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
3165	Johnson	0	US	0	44.04057166	-106.58451740000001	Wyoming	0	03/22/2020
1449	Johnson	0	US	0	44.04057166	-106.5845174	Wyoming	0	03/23/2020
1449	Johnson	0	US	0	44.04057166	-106.5845174	Wyoming	0	03/24/2020
1449	Johnson	0	US	0	44.04057166	-106.5845174	Wyoming	0	03/25/2020
1448	Johnson	1	US	0	44.04057166	-106.5845174	Wyoming	0	03/26/2020
1448	Johnson	4	US	0	44.04057166	-106.5845174	Wyoming	0	03/27/2020
1448	Johnson	5	US	0	44.04057166	-106.58451740000001	Wyoming	0	03/28/2020
1448	Johnson	5	US	0	44.04057166	-106.58451740000001	Wyoming	0	03/29/2020
1448	Johnson	5	US	0	44.04057166	-106.58451740000001	Wyoming	0	03/30/2020
976	Johnson	7	US	0	44.04057166	-106.5845174	Wyoming	0	03/31/2020
1003	Johnson	7	US	0	44.04057166	-106.5845174	Wyoming	0	04/01/2020
1041	Johnson	8	US	0	44.04057166	-106.58451740000001	Wyoming	0	04/02/2020
1060	Johnson	8	US	0	44.04057166	-106.5845174	Wyoming	0	04/03/2020
1086	Johnson	8	US	0	44.04057166	-106.58451740000001	Wyoming	0	04/04/2020
1126	Johnson	8	US	0	44.04057166	-106.5845174	Wyoming	0	04/05/2020
1141	Johnson	8	US	0	44.04057166	-106.58451740000001	Wyoming	0	04/06/2020
1165	Johnson	8	US	0	44.04057166	-106.5845174	Wyoming	0	04/07/2020
1179	Johnson	8	US	0	44.04057166	-106.5845174	Wyoming	0	04/08/2020
1192	Johnson	8	US	0	44.04057166	-106.5845174	Wyoming	0	04/09/2020
1199	Johnson	9	US	0	44.04057166	-106.5845174	Wyoming	0	04/10/2020
1212	Johnson	10	US	0	44.04057166	-106.5845174	Wyoming	0	04/11/2020
1220	Johnson	11	US	0	44.04057166	-106.58451740000001	Wyoming	0	04/12/2020
1230	Johnson	11	US	1	44.04057166	-106.5845174	Wyoming	0	04/13/2020
1235	Johnson	11	US	1	44.04057166	-106.5845174	Wyoming	0	04/14/2020
1241	Johnson	11	US	1	44.04057166	-106.5845174	Wyoming	0	04/15/2020
